onboroughcode,onstreetname,communitydistrictleft,maintenancesector
,HUTCHINSON RIVER PARKWAY,,0
B,SHORE PARKWAY,311.0,0
M,WEST  225 STREET BRIDGE,208.0,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
M,F D R DRIVE,,0
B,SHORE PARKWAY,,0
X,WILLIS AVENUE,201.0,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
X,3 AVENUE,201.0,1
X,BRUCKNER EXPRESSWAY,,0
Q,CROSS BAY BOULEVARD,,0
,CITY ISLAND AVENUE,,0
X,WEST  239 STREET,,0
,SHORE PARKWAY,,0
,FDR DRIVE,,0
B,SHORE PARKWAY,,0
Q,CROSS ISLAND PARKWAY,,0
M,12 AVENUE,,64
B,BROOKLYN QNS EXPRESSWAY,,0
,FDR DRIVE EXIT,,0
Q,37 STREET,,0
,LAURELTON PARKWAY,,0
X,EAST  158 STREET,,0
Q,LAURELTON PARKWAY,,0
M,H HUDSON PARKWAY ENTRANCE SB,,0
B,CONDUIT BOULEVARD,,0
,11 AVENUE,,0
X,EAST  241 STREET,,0
Q,UNION TURNPIKE,406.0,0
,FDR DRIVE ENTRANCE NB,,0
X,WILLIS AVENUE BRIDGE,201.0,0
M,11 AVENUE,,0
S,VICTORY BOULEVARD,501.0,0
,FDR DRIVE EAST SR,,0
,JOE DIMAGGIO HIGHWAY,,0
Q,31 STREET,,0
M,BROOKLYN BRIDGE,103.0,0
Q,CROSS BAY BOULEVARD,410.0,0
Q,72 STREET,,0
M,F D R DRIVE,,0
,FDR DRIVE EAST SERVICE ROAD,,0
M,11 AVENUE,,0
Q,32 AVENUE,401.0,0
M,H HUDSON PARKWAY ENTRANCE NB,,0
,GRAND AVENUE,,0
B,CONDUIT BOULEVARD,,0
M,BATTERY PARK VIADUCT,,0
,WEST   54 STREET,104.0,40
B,GREENPOINT AVENUE,,0
B,GRAND STREET,301.0,0
Q,BELT PARKWAY,,0
,BROOKLYN QUEENS EXPRESSWAY,,0
Q,HORACE HARDING EXPRESSWAY,,0
,FDR DRIVE EXIT,,0
,PELHAM PARKWAY SOUTH,,0
M,WEST DRIVE,,0
,CROSS ISLAND PARKWAY,,33
,ATLANTIC AVENUE,,0
B,SHORE PARKWAY,,0
Q,HONEYWELL STREET,,0
S,BEACH AVENUE,,47
M,CENTRAL PARK DRIVEWAY,164.0,0
,WEST SIDE HIGHWAY,,0
X,EAST  161 STREET,,0
S,JOHN STREET,,0
B,BELT PARKWAY EASTBOUND EXIT    4,310.0,29
,HUTCH RIVER PARKWAY EXIT NB,,0
M,F D R DRIVE,108.0,49
Q,HEMPSTEAD AVENUE,,0
X,FAILE STREET,202.0,0
S,CLOVE LAKES PARK PATH,,0
X,3 AVENUE,201.0,0
X,MELROSE AVENUE,,0
Q,MURRAY STREET,407.0,36
M,F D R DRIVE,,0
,BRUCKNER BOULEVARD,202.0,41
,H HUDSON PARKWAY EXIT NB,,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
S,VICTORY BOULEVARD,501.0,0
,HENRY HUDSON PARKWAY,,0
M,F D R DRIVE,111.0,65
B,SHORE PARKWAY,,0
,35 STREET,,0
B,GREENPOINT AVENUE,,0
Q,BROOKLYN QNS EXPRESSWAY,403.0,17
,44 STREET,,0
B,SHORE PARKWAY,,0
M,BRIDGE ARCH,,0
X,AMTRAK RR,,0
Q,GREENPOINT AVENUE,,0
M,JOE DIMAGGIO HIGHWAY,112.0,0
X,WILLIS AVENUE,201.0,0
M,THIRD AVENUE BR APPROACH,,0
B,HAMILTON AVENUE,,0
,SOUTH STREET,,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
X,EAST  175 STREET,,17
Q,BROOKLYN QNS EXPRESSWAY,,0
M,BROADWAY,208.0,0
Q,ASTORIA BOULEVARD SOUTH,401.0,0
,EAST  161 STREET,203.0,7
Q,NORTHERN BOULEVARD,,0
Q,THOMSON AVENUE,,0
Q,22 STREET,402.0,0
,JOE DIMAGGIO HIGHWAY,,0
X,BRUCKNER BOULEVARD,202.0,0
,MANHATTAN BRIDGE,,0
Q,31 STREET,401.0,0
X,WILLIS AVENUE BRIDGE,201.0,0
,WEST SIDE HIGHWAY,,0
,BQE ENTRANCE NB,,0
,FAILE STREET,,0
Q,30 AVENUE,401.0,0
,QUEENS PLAZA NORTH,,0
Q,LAURELTON PARKWAY,,0
,BELT PARKWAY,,0
Q,STEINWAY STREET,,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
Q,70 STREET,402.0,0
M,WEST  145 STREET,109.0,0
X,WILLIS AVENUE BRIDGE,201.0,0
,GRAND AVENUE,,0
X,BRUCKNER BOULEVARD,,0
M,JOE DIMAGGIO HIGHWAY,,0
X,BRONX RIVER PARKWAY,,0
M,FDR DRIVE NORTHBOUND EXIT    2,101.0,3
,31 STREET,,0
X,BRUCKNER BOULEVARD,202.0,0
M,WEST   39 STREET,104.0,32
,WEST STREET,,0
M,FDR DRIVE NB EN BROOKLYN BR,101.0,3
,MARTLING AVENUE,,0
M,JOE DIMAGGIO HIGHWAY,101.0,0
X,EAST FORDHAM ROAD,206.0,24
B,HIGHLAND BOULEVARD,305.0,0
,HUTCH RIVER PARKWAY EXIT NB,,0
Q,GRAND CENTRL PARKWAY,,0
M,FDR DRIVE ENTRANCE NB,,0
B,MANHATTAN BRIDGE,302.0,0
M,CENTRAL PARK WEST DRIVE,,0
Q,167 STREET,,0
