tostreetname,inspectiondistrict,modifiedon
BEND,5.0,2015-12-03T17:54:48.000
,95.0,2015-12-03T17:54:48.000
OCEAN PARKWAY,25.0,2015-12-03T17:54:48.000
BROOKLYN QNS EXPRESSWAY,3.0,2015-12-03T17:54:48.000
BK BRIDGE ENTRANCE RAMP,57.0,2015-12-03T17:54:48.000
,8.0,2015-12-03T17:54:48.000
RIVERSIDE DRIVE,72.0,2015-12-03T17:54:48.000
EAST  132 STREET,2.0,2015-12-03T17:54:48.000
69 STREET,13.0,2015-12-03T17:54:48.000
METRO NORTH RR,5.0,2015-12-03T17:54:48.000
H HUDSON PARKWAY EXIT SB,32.0,2015-12-03T17:54:48.000
,71.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
,15.0,2015-12-03T17:54:48.000
AMTRAK RR,5.0,2015-12-03T17:54:48.000
LINCOLN TUNNEL EXIT,32.0,2015-12-03T17:54:48.000
HENRY HUDSON PY NB EN W   79 EB,,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
,15.0,2015-12-03T17:54:48.000
WEST THAMES STREET,,2015-12-03T17:54:48.000
,24.0,2015-12-03T17:54:48.000
MARGINAL ST EAST,75.0,2015-12-03T17:54:48.000
,90.0,2015-12-03T17:54:48.000
,3.0,2015-12-03T17:54:48.000
F D R DRIVE,,2015-12-03T17:54:48.000
BEND,14.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
,36.0,2015-12-03T17:54:48.000
,58.0,2015-12-03T17:54:48.000
,2.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
NEW DOCK STREET/BROOKLYN BRIDGE,57.0,2015-12-03T17:54:48.000
QN MIDTOWN EXPRESSWAY EXIT EB,45.0,2015-12-03T17:54:48.000
HARLEM RIVER DRIVE,,2015-12-03T17:54:48.000
AMTRAK RAILROAD,,2015-12-03T17:54:48.000
VAN WYCK EXPRESSWAY ENTRANCE SB,35.0,2015-12-03T17:54:48.000
,37.0,2015-12-03T17:54:48.000
GOE EASTBOUND ENTRANCE   65 ST,33.0,2015-12-03T17:54:48.000
BRP SOUTHBOUND EXIT    5,18.0,2015-12-03T17:54:48.000
,57.0,2015-12-03T17:54:48.000
GROSVENOR AVENUE,35.0,2015-12-03T17:54:48.000
,2.0,2015-12-03T17:54:48.000
AMTRAK RR,67.0,2015-12-03T17:54:48.000
MANHATTAN BRIDGE,9.0,2015-12-03T17:54:48.000
BEND,43.0,2015-12-03T17:54:48.000
,32.0,2015-12-03T17:54:48.000
GREENPOINT AVENUE,10.0,2015-12-03T17:54:48.000
BEND,57.0,2015-12-03T17:54:48.000
CROSS BX EXPRESSWAY EXIT EB,59.0,2015-12-03T17:54:48.000
AMTRAK RAILROAD,10.0,2015-12-03T17:54:48.000
,82.0,2015-12-03T17:54:48.000
FDR DRIVE ENTRY RAMP,3.0,2015-12-03T17:54:48.000
,9.0,2015-12-03T17:54:48.000
BX RIVER PARKWAY EXIT SB,17.0,2015-12-03T17:54:48.000
WASHINGTON BRIDGE,75.0,2015-12-03T17:54:48.000
BQE GRND CNTRL PARKWAY RAMP,17.0,2015-12-03T17:54:48.000
,31.0,2015-12-03T17:54:48.000
QUEENSBORO BRIDGE,49.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
BEND,3.0,2015-12-03T17:54:48.000
,75.0,2015-12-03T17:54:48.000
ERICSON DRIVE ENTRANCE SB,32.0,2015-12-03T17:54:48.000
EAST  161 STREET,7.0,2015-12-03T17:54:48.000
PINEAPPLE STREET,57.0,2015-12-03T17:54:48.000
THIRD AVENUE BRIDGE,1.0,2015-12-03T17:54:48.000
PEDESTRIAN OVERPASS,,2015-12-03T17:54:48.000
WHTSTN EXPRESSWAY X IS PKWY RAMP,32.0,2015-12-03T17:54:48.000
