stipulationid,fromstreetname,specificlocationname
BRIDGE,FDR DRIVE EXIT,EAST   42 STREET
BRIDGE,AMTRAK RR,
BRIDGE,JOE DIMAGGIO HIGHWAY,H HUDSON PARKWAY RAMP
BRIDGE,CLARK STREET,
BRIDGE,BEND,
BRIDGE,BEND,
BRIDGE,FDR DRIVE SB ENTRANCE E  116 ST,FDR DRIVE NORTHBOUND EXIT    9
BRIDGE,ERICSON DRIVE EXIT NB,15 AVENUE
BRIDGE,BROOKLYN QNS EXPRESSWAY,
BRIDGE,GREENPOINT AVENUE,BODY OF WATER
BRIDGE,30 AVENUE,
BRIDGE,BROOKLYN QNS EXPRESSWAY,ASTORIA BOULEVARD
BRIDGE,BEND,
BRIDGE,F D R DRIVE,EAST RIVER SHL WEST
BRIDGE,WILLIS AVENUE BRIDGE,LINCOLN AVENUE
BRIDGE,JJ BYRNE MEM BRIDGE,LIRR NORTH SIDE DIV
BRIDGE,BODY OF WATER,HOLLAND TUNNEL ENTRANCE
BRIDGE,WILLIS AVENUE BRIDGE,
BRIDGE,BEND,TRSMAN EXPRESSWAY EXIT RAMP
BRIDGE,BEND,
BRIDGE,FDR DRIVE ENTRANCE NB,BKLYN BRIDGE ENTRANCE RAMP
BRIDGE,GRACE COURT,
BRIDGE,METRO NORTH RR,
BRIDGE,32 AVENUE,
BRIDGE,METRO-NORTH RR,
BRIDGE,STEINWAY STREET,
BRIDGE,METRO NORTH RR,
BRIDGE,BODY OF WATER,
BRIDGE,AMTRAK RAILROAD,
BRIDGE,QNSBO BR UP RY ENTRANCE RAMP,QNSBO BR UP RY ENTRANCE RAMP
BRIDGE,WEST  158 STREET,
BRIDGE,AMTRAK RR,
BRIDGE,F D R DRIVE,
BRIDGE,ASTORIA BOULEVARD NORTH,24 ROAD
BRIDGE,WILLIS AVENUE BRIDGE,AMTRAK RR
BRIDGE,H HUDSON PARKWAY ENTRANCE SB,HHP NB EXIT   11
BRIDGE,BROOKLYN QNS EXPRESSWAY,HICKS STREET
BRIDGE,AMTRAK RR,
BRIDGE,BROOKLYN QNS EXPRESSWAY,
BRIDGE,JACKSON AVENUE,21 STREET
BRIDGE,NORTH CONDUIT AVENUE,
BRIDGE,ERICSON DRIVE ENTRANCE SB,15 AVENUE
BRIDGE,ASTORIA BOULEVARD,
BRIDGE,CADMAN PLAZA EAST,MONTAGUE STREET
BRIDGE,BKLYN QNS EXPRESSWAY EXIT NB,BROOKLYN QNS EXPRESSWAY
BRIDGE,12 AVENUE,
BRIDGE,AMTRAK RR,AMTRAK RR
BRIDGE,HORACE HARDING EXPRESSWAY,
BRIDGE,BRUCKNER EXPRESSWAY,
BRIDGE,H HUDSON PARKWAY EXIT SB,
BRIDGE,BXRIV PELHAM EB RAMP,BOSTON ROAD
BRIDGE,FDR DRIVE SB ENTRANCE PEARL ST,F D R DRIVE
BRIDGE,BROOKLYN QNS EXPRESSWAY,ASTORIA BOULEVARD
BRIDGE,BRE EASTBOUND EXIT   46,
BRIDGE,AMTRAK RR,
BRIDGE,HENRY HUDSON PKWY NB ET   10 E,WEST   23 STREET
BRIDGE,SOUTH STREET,FDR DRIVE SB ENTRANCE PEARL ST
BRIDGE,CLOVE LAKES PARK PATH,BARRETT PARK BOUNDARY
BRIDGE,1 PLACE,WEST   54 STREET
BRIDGE,CROTONA AVENUE,CAMBRELENG AVENUE
BRIDGE,INTERBOROUGH PARKWAY,
BRIDGE,AMTRAK RR,BEND
BRIDGE,BKLYN QNS EXPRESSWAY EXIT NW,BQE GRND CNTRL PARKWAY RAMP
BRIDGE,BEND,
BRIDGE,MANHATTAN BRIDGE,
BRIDGE,BEND,C P    8 AVENUE APPROACH
BRIDGE,PEDESTRIAN WALK,
BRIDGE,MANHATTAN BRIDGE RAMP,MANHATTAN BRIDGE
BRIDGE,HARLEM RIVER DW RAMP,
BRIDGE,H HUDSON PARKWAY EXIT NB,H HUDSON PARKWAY ENTRANCE NB
BRIDGE,BROOKLYN BRIDGE,
BRIDGE,HORACE HARDING EXPRESSWAY,
BRIDGE,HARLEM RIVER DRIVE,
BRIDGE,AMTRAK RAILROAD,39 AVENUE
BRIDGE,VAN WYCK EXPRESSWAY EXIT NB,WHTSTN EXPWY V WK EXPWY RAMP
BRIDGE,OAK POINT RAIL YARD,AMTRAK RR
BRIDGE,65 STREET,
BRIDGE,AMTRAK RR,
BRIDGE,CADMAN PLAZA EAST,ADAMS STREET
BRIDGE,BEND,
BRIDGE,METRO NORTH HUDSON LINE,
BRIDGE,PELHAM PARKWAY EXIT WB,HUTCH PELHAM EXIT EB
BRIDGE,BODY OF WATER,
BRIDGE,GRAND STREET,
BRIDGE,WHTSTN EXPRESSWAY X IS PKWY RAMP,WHITESTONE EXPRESSWAY EXIT
BRIDGE,JOHN JAY BYRNE BRIDGE,
BRIDGE,BEND,
BRIDGE,HUTCHINSON RIV PARKWAY,
BRIDGE,44 DRIVE,
BRIDGE,PCRR HARLEM DIV,BRONX RIVER PARKWAY
BRIDGE,BKLYN BRIDGE EXIT RAMP,BEND
BRIDGE,BRUCKNER EXPRESSWAY,BRUCKNER EXPWY EB EN BRYANT AVE
BRIDGE,AMTRAK RR,
BRIDGE,BODY OF WATER,HARLEM RIVER DRIVE
BRIDGE,BROOKLYN QNS EXPRESSWAY,1 STREET
BRIDGE,HENRY HUDSON PARKWAY,DELAFIELD AVENUE
BRIDGE,BODY OF WATER,EAST ROAD
BRIDGE,BEND,GRAND ARMY PLAZA
BRIDGE,47 STREET,
BRIDGE,SOUTHERN PARKWAY ENTRANCE EB,STHRN PARKWAY NASS EXPWY RAMP
BRIDGE,SHORE PARKWAY,
BRIDGE,BROOK AVENUE,
BRIDGE,BEND,
BRIDGE,AMTRAK RR,
BRIDGE,F D R DRIVE,SOUTH STREET
BRIDGE,WHITESTONE EXPRESSWAY ENTRANCE,3 AVENUE
BRIDGE,GRND CNTRL PARKWAY EXIT WB,
BRIDGE,BEND,47 STREET
BRIDGE,BRYANT AVENUE,
BRIDGE,BODY OF WATER,EAST ROAD
BRIDGE,BROOKLYN QNS EXPRESSWAY,
BRIDGE,H HUDSON PARKWAY ENTRANCE NB,
BRIDGE,SHORE PARKWAY,
BRIDGE,11 AVENUE,
BRIDGE,FDR DRIVE NORTHBOUND EXIT   17,
BRIDGE,RIVERSIDE DRIVE,HARLEM RIVER DRIVE
BRIDGE,WEST  225 STREET BRIDGE,BROADWAY
BRIDGE,DYCKMAN STREET,
BRIDGE,MAJOR DEEGAN EXPRESSWAY,
BRIDGE,QN MIDTOWN EXPRESSWAY EN WB,
BRIDGE,ROCKAWAY PARKWAY,
BRIDGE,BEND,
BRIDGE,WEST   59 STREET,
BRIDGE,AMTRAK RAILROAD,NORTHERN BOULEVARD
BRIDGE,BEND,BRIGHTON    3 STREET
BRIDGE,HARLEM RIVER DRIVE,EAST  139 STREET
