boroughname,communitydistrictright,createdon
BRONX,,2015-12-03T17:54:48.000
BROOKLYN,311.0,2015-12-03T17:54:48.000
MANHATTAN,207.0,2015-12-03T17:54:48.000
BROOKLYN,302.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
BROOKLYN,302.0,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,409.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
STATEN ISLAND,501.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,1.0,2015-12-03T17:54:48.000
QUEENS,10.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,401.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,104.0,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
BROOKLYN,1.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
