shape_leng,shape_area,healtharea
27543.9782386,41954174.4435,2820
9303.52006515,3754120.95845,300
22826.6269245,25212022.8313,2600
14160.3283633,5838004.00207,3300
12779.8883138,7945991.49708,7110
10855.8906906,7100116.06422,3110
19786.4097425,7708445.41436,8700
23595.5297201,20246235.9698,8722
287620.679913,321137934.456,3612
33122.1391458,35568991.882,200
23900.2571647,20764994.1957,5200
11033.4788288,7405283.80819,1011
19902.6534902,11582225.4503,6500
30327.8605749,46549522.0286,3510
17619.0624542,9617415.89304,520
8319.53449034,4023883.4779,2810
5083.97733688,1496440.14351,3810
93334.8926819,17357837.0758,720
12504.0025811,3837244.89765,6300
37209.625973,52902983.7301,400
18875.5475812,14336711.6512,7220
18781.9322634,8893995.1355,900
8130.46885744,3584363.84342,720
22135.8972317,24134751.1579,2710
32721.0976623,38312378.5491,9100
13368.9170891,9434378.22801,6900
26568.3635732,36278965.3107,820
18084.6414439,17607504.3221,9010
27785.7684636,39381145.891,2130
19334.4632994,10702397.5083,8010
16040.5769392,12519701.4812,1021
11715.8803928,4593842.55099,2120
11549.5841625,6514899.84044,4000
97635.5825618,102995287.933,3800
9007.78660994,4209145.30774,6500
13761.3705087,5205604.22867,1520
51792.9175252,40044605.9045,210
11843.5186145,5733507.33441,1900
44874.1139314,69111299.4077,3532
12514.5484673,5868320.53691,4400
45261.2626558,31473826.2859,3030
32086.713503,55193334.1655,2160
11259.445807,7312432.33617,5600
25872.7232758,16996837.177,920
19178.4155709,19667796.7902,7410
40592.8126933,44699226.3325,1700
19435.0698591,17476239.5398,810
11527.1813476,7844543.01349,9110
24299.5010583,19409841.188,3220
19315.8939618,18373620.5239,300
18268.8710665,10762342.3853,5810
5569.47280775,1741715.73538,1420
14673.3210631,8804613.33656,8020
11693.7271263,4647862.99863,1100
8341.82927415,3076056.55572,1900
10666.4199135,4984955.1279,1400
9995.42912327,5750082.41718,3210
11464.3894009,4582487.4364,6200
71390.1173571,53075053.7755,3220
15182.301561,7053190.66907,5820
16429.3330733,11492388.9056,5020
15384.3161831,11309760.3284,6200
9016.66603315,4283580.27568,4200
51379.3109282,78439152.254,3620
16649.0608884,12765247.9237,110
17380.1889178,17669037.9289,3210
8566.2686733,4596578.27784,3120
