shape_leng,borocode,boroname
11606.3526071,1,Manhattan
27979.271257,3,Brooklyn
27977.015175,4,Queens
8310.46763943,1,Manhattan
44438.8874113,3,Brooklyn
9289.98392271,1,Manhattan
21264.1892225,4,Queens
17762.5403772,3,Brooklyn
29661.1532658,2,Bronx
15373.4771314,3,Brooklyn
21483.781143,1,Manhattan
22348.3218714,4,Queens
12880.3276881,3,Brooklyn
31142.2931018,2,Bronx
16558.8200375,2,Bronx
13838.5903346,3,Brooklyn
29610.299177,4,Queens
33597.0065435,4,Queens
14024.1402769,1,Manhattan
26100.4024856,3,Brooklyn
16626.3527493,2,Bronx
23608.7128105,4,Queens
20121.3834656,3,Brooklyn
15902.5313232,1,Manhattan
18615.7214929,1,Manhattan
24295.0983283,3,Brooklyn
24650.4004842,3,Brooklyn
21455.3521077,3,Brooklyn
15659.6522548,3,Brooklyn
13801.0254549,2,Bronx
15961.174669,1,Manhattan
19572.4505295,1,Manhattan
14162.5814271,1,Manhattan
16124.8274721,1,Manhattan
18897.4869352,2,Bronx
15369.2471397,3,Brooklyn
14980.6538523,3,Brooklyn
7485.76450371,1,Manhattan
11496.6049914,1,Manhattan
14729.8122046,2,Bronx
51880.3068537,4,Queens
10737.7075611,2,Bronx
9631.46490553,1,Manhattan
28775.184467,2,Bronx
26288.4395072,3,Brooklyn
11699.8679933,2,Bronx
28453.9756573,4,Queens
25714.3937395,4,Queens
38562.6148003,5,Staten Island
9406.91738528,1,Manhattan
88670.4305,4,Queens
10613.4172522,2,Bronx
21488.6404717,2,Bronx
35354.5795614,4,Queens
22872.5574257,3,Brooklyn
32672.7388942,4,Queens
48528.1155619,5,Staten Island
8936.42950616,1,Manhattan
21569.7811944,3,Brooklyn
25929.4765632,3,Brooklyn
16456.3500266,3,Brooklyn
27810.1834198,4,Queens
8107.7680658,1,Manhattan
10914.7444672,1,Manhattan
25174.3605478,4,Queens
12206.8938342,1,Manhattan
9226.96014825,3,Brooklyn
