staten_island_cooperatives_comparable_properties_boro_block_lot,staten_island_cooperatives_comparable_properties_address,bin,comparable_rental_2_market_value_per_sqft,borough,comparable_rental_2_est_gross_income,comparable_rental_2_dist_from_coop_in_miles,staten_island_cooperatives_comparable_properties_total_units,staten_island_cooperatives_comparable_properties_neighborhood
5-00101-0525,"{'latitude': '40.634212428287', 'longitude': '-74.099835578569', 'human_address': '{""address"": ""515 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5002334,136.0,5,347890.0,3.9,16,WEST NEW BRIGHTON
5-02925-0479,"{'latitude': '40.613540506446', 'longitude': '-74.079247074334', 'human_address': '{""address"": ""46 CIRCLE LOOP Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5131612,88.0,5,139000.0,0.35,19,CONCORD-FOX HILLS
5-02833-0031,"{'latitude': '40.611177650284', 'longitude': '-74.060606659565', 'human_address': '{""address"": ""20 CLIFF STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5122638,,5,,,122,ARROCHAR-SHORE ACRES
5-05090-0035,"{'latitude': '40.556922389091', 'longitude': '-74.138832019937', 'human_address': '{""address"": ""3482 AMBOY ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5109754,75.0,5,482143.0,0.25,108,GREAT KILLS-BAY TERRACE
5-00130-0049,"{'latitude': '40.631829745729', 'longitude': '-74.097799857022', 'human_address': '{""address"": ""245 FOREST AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5003142,47.2,5,130532.0,0.55,13,WEST NEW BRIGHTON
5-00593-0680,"{'latitude': '40.619607564842', 'longitude': '-74.094791704022', 'human_address': '{""address"": ""151 ARLO ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5113146,20.67,5,138832.0,0.85,24,GRYMES HILL
5-02925-0450,"{'latitude': '40.61300956527', 'longitude': '-74.078916924859', 'human_address': '{""address"": ""295 SKYLINE DRIVE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5000000,88.0,5,139000.0,0.35,11,CONCORD-FOX HILLS
5-03546-0031,"{'latitude': '40.584813458414', 'longitude': '-74.096843962244', 'human_address': '{""address"": ""35 VERA STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5116738,43.8,5,137158.0,1.45,20,GRANT CITY
5-00101-0537,"{'latitude': '40.634362104939', 'longitude': '-74.100657322084', 'human_address': '{""address"": ""545 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5108585,34.3,5,190592.0,1.2,24,WEST NEW BRIGHTON
5-00327-0060,"{'latitude': '40.619132257146', 'longitude': '-74.106602925238', 'human_address': '{""address"": ""1100 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5008972,,5,,,143,CLOVE LAKES
5-00138-0119,"{'latitude': '40.64077829151', 'longitude': '-74.108727735798', 'human_address': '{""address"": ""154 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5108618,47.2,5,130532.0,0.35,60,LIVINGSTON
5-03546-0001,"{'latitude': '40.584665519934', 'longitude': '-74.097034168862', 'human_address': '{""address"": ""45 VERA STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5109575,,5,,,118,GRANT CITY
5-00327-0015,"{'latitude': '40.620624597504', 'longitude': '-74.110049231229', 'human_address': '{""address"": ""1000 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5008970,,5,,,143,CLOVE LAKES
5-00101-0554,"{'latitude': '40.634582571932', 'longitude': '-74.101936218382', 'human_address': '{""address"": ""581 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5002336,47.2,5,130532.0,0.35,12,WEST NEW BRIGHTON
5-00001-0216,"{'latitude': '40.638185748791', 'longitude': '-74.073337656481', 'human_address': '{""address"": ""10 BAY STREET LANDING Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5110065,23.77,5,1833563.0,2.55,128,NEW BRIGHTON-ST. GEORGE
5-03191-0061,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""1160 RICHMOND ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5046935,,5,,,71,DONGAN HILLS
