bin,comparable_rental_1_boro_block_lot,nta,comparable_rental_1_building_classification,comparable_rental_2_building_classification,comparable_rental_2_gross_sqft,comparable_rental_2_boro_block_lot,comparable_rental_1_gross_income_per_sqft
5002334,5-00014-0001,New Brighton-Silver Lake                                                   ,C1-WALK-UP,C9-WALK-UP,12300.0,5-03591-0008,10.98
5131612,5-03591-0008,Grymes Hill-Clifton-Fox Hills                                              ,C9-WALK-UP,C7-WALK-UP,6875.0,5-02972-0070,28.3
5122638,5-03157-0001,Stapleton-Rosebank                                                         ,D1-ELEVATOR,,,,10.16
5109754,5-05460-0001,Great Kills                                                                ,C9-WALK-UP,C9-WALK-UP,25420.0,5-05015-0016,11.97
5003142,5-00120-0105,New Brighton-Silver Lake                                                   ,C1-WALK-UP,C9-WALK-UP,10086.0,5-00140-0051,9.44
5113146,5-01015-0001,Grymes Hill-Clifton-Fox Hills                                              ,C1-WALK-UP,C1-WALK-UP,17320.0,5-00115-0090,13.14
5000000,5-03591-0008,Grymes Hill-Clifton-Fox Hills                                              ,C9-WALK-UP,C7-WALK-UP,6875.0,5-02972-0070,28.3
5116738,5-03594-0001,Old Town-Dongan Hills-South Beach                                          ,C7-WALK-UP,C1-WALK-UP,10800.0,5-04243-0027,15.47
5108585,5-00115-0090,New Brighton-Silver Lake                                                   ,C1-WALK-UP,C9-WALK-UP,17240.0,5-00522-0034,8.02
5008972,5-02877-0025,Westerleigh                                                                ,D1-ELEVATOR,,,,14.8
5108618,5-01015-0001,West New Brighton-New Brighton-St. George                                  ,C1-WALK-UP,C9-WALK-UP,10086.0,5-00140-0051,13.14
5109575,5-03168-0161,Old Town-Dongan Hills-South Beach                                          ,D5-ELEVATOR,,,,11.98
5008970,5-02877-0025,Westerleigh                                                                ,D1-ELEVATOR,,,,14.8
5002336,5-00120-0105,New Brighton-Silver Lake                                                   ,C1-WALK-UP,C9-WALK-UP,10086.0,5-00140-0051,9.44
5110065,5-00051-0001,West New Brighton-New Brighton-St. George                                  ,D3-ELEVATOR,D1-ELEVATOR,180495.0,5-03157-0001,15.77
5046935,5-03168-0161,Old Town-Dongan Hills-South Beach                                          ,D5-ELEVATOR,,,,11.98
5131611,5-03591-0008,Grymes Hill-Clifton-Fox Hills                                              ,C9-WALK-UP,,,,28.3
5113337,5-00014-0001,West New Brighton-New Brighton-St. George                                  ,C1-WALK-UP,C1-WALK-UP,20800.0,5-01015-0001,10.98
5105444,5-05015-0016,Great Kills                                                                ,C9-WALK-UP,C9-WALK-UP,43018.0,5-05016-0005,18.97
5109778,5-05015-0016,Great Kills                                                                ,C9-WALK-UP,C9-WALK-UP,43018.0,5-05016-0005,18.97
5154648,5-00590-0001,Grymes Hill-Clifton-Fox Hills                                              ,D3-ELEVATOR,,,,13.3
5127028,5-03157-0001,Stapleton-Rosebank                                                         ,D1-ELEVATOR,,,,10.16
5003176,5-00120-0105,New Brighton-Silver Lake                                                   ,C1-WALK-UP,C9-WALK-UP,10086.0,5-00140-0051,9.44
