latitude,longitude,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_dist_from_coop_in_miles,staten_island_cooperatives_comparable_properties_year_built,comparable_rental_2_address,comparable_rental_1_neighborhood,comparable_rental_1_market_value_per_sqft,community_board
40.634197,-74.099876,28.3,1920,1.3,1950,"{'latitude': '40.576986694649', 'longitude': '-74.104670051676', 'human_address': '{""address"": ""261 LINCOLN AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",NEW BRIGHTON,34.1,1
40.613569,-74.079128,20.22,1933,2.75,2000,"{'latitude': '40.614004218866', 'longitude': '-74.072557751113', 'human_address': '{""address"": ""162 ST MARY\'S AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GRANT CITY,136.0,1
40.611256,-74.060504,,1973,1.55,1964,,GRASMERE,23.77,1
40.556807,-74.139015,18.97,1973,1.1,1977,"{'latitude': '40.558379717025', 'longitude': '-74.136561398842', 'human_address': '{""address"": ""7 BENTON COURT Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GREAT KILLS,41.3,3
40.631813,-74.097739,12.94,1931,0.5,1968,"{'latitude': '40.636153116782', 'longitude': '-74.106852177363', 'human_address': '{""address"": ""330 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",SILVER LAKE,26.9,1
40.619535,-74.09497,8.02,1933,2.2,1951,"{'latitude': '40.632670281', 'longitude': '-74.086832124013', 'human_address': '{""address"": ""395 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",PORT RICHMOND,47.9,1
40.613034,-74.0789,20.22,1933,2.75,2000,"{'latitude': '40.614004218866', 'longitude': '-74.072557751113', 'human_address': '{""address"": ""162 ST MARY\'S AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GRANT CITY,136.0,1
40.584741,-74.0969,12.7,1939,0.85,1969,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""280 BEACH AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GRANT CITY,61.0,2
40.634366,-74.10082,11.06,1931,0.7,1950,"{'latitude': '40.627181943848', 'longitude': '-74.080839881225', 'human_address': '{""address"": ""20 COURT STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",TOMPKINSVILLE,20.67,1
40.619168,-74.106521,,1973,1.4,1967,,CONCORD-FOX HILLS,34.7,1
40.640837,-74.107835,12.94,1933,1.2,1947,"{'latitude': '40.636153116782', 'longitude': '-74.106852177363', 'human_address': '{""address"": ""330 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",PORT RICHMOND,47.9,1
40.584631,-74.09704,,1972,1.3,1969,,GRASMERE,41.3,2
40.620623,-74.109884,,1973,1.4,1966,,CONCORD-FOX HILLS,34.7,1
40.634538,-74.101779,12.94,1931,0.65,1950,"{'latitude': '40.636153116782', 'longitude': '-74.106852177363', 'human_address': '{""address"": ""330 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",SILVER LAKE,26.9,1
40.638279,-74.073756,10.16,1963,0.85,1984,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",NEW BRIGHTON,36.9,1
40.598436,-74.091972,,1972,0.4,1969,,GRASMERE,41.3,2
40.612556,-74.08011,,1933,2.75,1999,,GRANT CITY,136.0,1
40.640154,-74.073264,13.14,1920,0.75,1985,"{'latitude': '40.636779419508', 'longitude': '-74.131313349744', 'human_address': '{""address"": ""137 HEBERTON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",NEW BRIGHTON,34.1,1
40.552072,-74.144137,16.55,1971,0.6,1974,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""25 BAY TERRACE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GREAT KILLS-BAY TERRACE,75.0,3
40.545041,-74.157884,16.55,1971,1.45,1974,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""25 BAY TERRACE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",GREAT KILLS-BAY TERRACE,75.0,3
40.618875,-74.093701,,1962,0.6,1951,,GRYMES HILL,48.7,1
40.609266,-74.073749,,1973,0.75,1974,,GRASMERE,23.77,1
40.631731,-74.098103,12.94,1931,0.55,1968,"{'latitude': '40.636153116782', 'longitude': '-74.106852177363', 'human_address': '{""address"": ""330 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",SILVER LAKE,26.9,1
