staten_island_cooperatives_comparable_properties_address,staten_island_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_total_units,staten_island_cooperatives_comparable_properties_full_market_value,census_tract,comparable_rental_1_full_market_value,comparable_rental_2_year_built,staten_island_cooperatives_comparable_properties_building_classification,staten_island_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_gross_sqft,staten_island_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value
"{'latitude': '40.634212428287', 'longitude': '-74.099835578569', 'human_address': '{""address"": ""515 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",20.44,14,268000,67,465000,1933.0,C6-WALK-UP,13114,13644,104007,1670000.0
"{'latitude': '40.613540506446', 'longitude': '-74.079247074334', 'human_address': '{""address"": ""46 CIRCLE LOOP Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.8,16,1220000,40,1670000,1931.0,C6-WALK-UP,37220,12300,392183,604000.0
"{'latitude': '40.611177650284', 'longitude': '-74.060606659565', 'human_address': '{""address"": ""20 CLIFF STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",27.0,177,3960000,6,4290000,,D4-ELEVATOR,146640,180495,1388051,
"{'latitude': '40.556922389091', 'longitude': '-74.138832019937', 'human_address': '{""address"": ""3482 AMBOY ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",53.0,24,3530000,13203,793000,1971.0,C6-WALK-UP,67000,19200,966140,1910000.0
"{'latitude': '40.631829745729', 'longitude': '-74.097799857022', 'human_address': '{""address"": ""245 FOREST AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",54.0,12,530000,67,284000,1942.0,C6-WALK-UP,9810,10560,145300,476000.0
"{'latitude': '40.619607564842', 'longitude': '-74.094791704022', 'human_address': '{""address"": ""151 ARLO ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",54.0,28,1550000,39,997000,1931.0,C6-WALK-UP,28600,20800,423606,358000.0
"{'latitude': '40.61300956527', 'longitude': '-74.078916924859', 'human_address': '{""address"": ""295 SKYLINE DRIVE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.7,16,716000,40,1670000,1931.0,C6-WALK-UP,21865,12300,230389,604000.0
"{'latitude': '40.584813458414', 'longitude': '-74.096843962244', 'human_address': '{""address"": ""35 VERA STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",21.8,13,218000,11401,625000,1936.0,C6-WALK-UP,10000,10200,84357,473000.0
"{'latitude': '40.634362104939', 'longitude': '-74.100657322084', 'human_address': '{""address"": ""545 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",20.44,17,356000,67,358000,1941.0,C6-WALK-UP,17418,17320,138143,592000.0
"{'latitude': '40.619132257146', 'longitude': '-74.106602925238', 'human_address': '{""address"": ""1100 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.9,156,4210000,147,5370000,,D4-ELEVATOR,127800,154860,1354513,
"{'latitude': '40.64077829151', 'longitude': '-74.108727735798', 'human_address': '{""address"": ""154 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",42.6,28,1560000,97,997000,1942.0,C6-WALK-UP,36600,20800,385650,476000.0
"{'latitude': '40.584665519934', 'longitude': '-74.097034168862', 'human_address': '{""address"": ""45 VERA STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",21.77,98,1270000,11401,3070000,,C6-WALK-UP,58350,74260,492224,
"{'latitude': '40.620624597504', 'longitude': '-74.110049231229', 'human_address': '{""address"": ""1000 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.9,156,4210000,147,5370000,,D4-ELEVATOR,127800,154860,1354513,
"{'latitude': '40.634582571932', 'longitude': '-74.101936218382', 'human_address': '{""address"": ""581 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",20.45,12,222000,67,284000,1942.0,C6-WALK-UP,10856,10560,86099,476000.0
"{'latitude': '40.638185748791', 'longitude': '-74.073337656481', 'human_address': '{""address"": ""10 BAY STREET LANDING Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",34.3,131,5890000,3,6460000,1973.0,D0-ELEVATOR,171935,174895,1894896,4290000.0
"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""1160 RICHMOND ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.9,98,2090000,9601,3070000,,D4-ELEVATOR,63600,74260,674077,
"{'latitude': '40.612546177166', 'longitude': '-74.080053831898', 'human_address': '{""address"": ""361 SKYLINE DRIVE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",32.7,16,713000,40,1670000,,C6-WALK-UP,21780,12300,229493,
"{'latitude': '40.639293167332', 'longitude': '-74.073321337243', 'human_address': '{""address"": ""44 BAY STREET LANDING Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",34.2,14,862000,3,465000,1933.0,D4-ELEVATOR,25171,13644,277409,997000.0
"{'latitude': '40.552114830397', 'longitude': '-74.144121875072', 'human_address': '{""address"": ""3745 AMBOY ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",67.0,43,1780000,14606,1910000,1976.0,C6-WALK-UP,26490,25420,450197,2820000.0
"{'latitude': '40.544976260737', 'longitude': '-74.157789473528', 'human_address': '{""address"": ""475 ARMSTRONG AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",61.0,43,2360000,15601,1910000,1976.0,C6-WALK-UP,38647,25420,596299,2820000.0
"{'latitude': '40.61860692966', 'longitude': '-74.09378346523', 'human_address': '{""address"": ""556 HOWARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",23.08,228,2810000,39,11800000,,C6-WALK-UP,121750,242500,1088401,
"{'latitude': '40.609357387837', 'longitude': '-74.073612377733', 'human_address': '{""address"": ""390 MARYLAND AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",20.46,177,3180000,2001,4290000,,C6-WALK-UP,155396,180495,1232445,
"{'latitude': '40.631742990383', 'longitude': '-74.09807881413', 'human_address': '{""address"": ""255 FOREST AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",49.0,12,481000,67,284000,1942.0,C6-WALK-UP,9810,10560,131759,476000.0
