expense_type,spending
IT Equipment and Services,205387066
Maintenance Tools and Supplies,50990984
Telecommunications Equipment and Services,159344911
Educational Services and Supplies,69458495
"Emergency and Rescue Equipment, Supplies, and Services",915305003
Public Relations and Advertising,156475687
"Health Care, Hospital, and Laboratory Supplies",1510651865
"Food, Clothing, and Other Supplies",892710522
Warehousing and Storage Supplies and Services,43564551
Consulting and Personal Services,325261761
Cleaning and Disinfecting Supplies and Services,223641298
Economic Development,160747622
"Office Supplies, Furniture and Rent",48094106
