vendorname,amount,cttyp_nm
NEW YORK INDUSTRIAL WORKS INC,50000,WORK/LABOR
PERKINELMER HEALTH SCIENCES INC,96841,SUPPLIES/MATERIALS/EQUIPMENT
LIBERTY MECHANICAL CONTRACTORS INC,27851,WORK/LABOR
EMPIRE ELECTRONICS INC,43065,SUPPLIES/MATERIALS/EQUIPMENT
LINDSAY SALES HOLDING COMPANY LLC,95000,SUPPLIES/MATERIALS/EQUIPMENT
BINDING PRODUCTS INC,41250,SUPPLIES/MATERIALS/EQUIPMENT
"UNITED GRAPHIC SYSTEMS,INC",89215,SUPPLIES/MATERIALS/EQUIPMENT
FINESSE CREATIONS INC,48500,SUPPLIES/MATERIALS/EQUIPMENT
AMIGO CONSTRUCTION INC,100000,WORK/LABOR
KC ENGINEERING AND LAND SURVEYING PC,99950,WORK/LABOR
Alimade LLC,100000,WORK/LABOR
JAMCOB ELECTRIC LLC,25000,WORK/LABOR
GREAT PERFORMANCES/ ARTISTS AS WAITRESSES INC.,99999,WORK/LABOR
ARBON EQUIPMENT CORP,22995,WORK/LABOR
"RECYCLE-A-BICYCLE, INC",80000,CONSULTANT
PINA M. INC,50000,SUPPLIES/MATERIALS/EQUIPMENT
HO PENN MACHINERY CO INC,78450,SUPPLIES/MATERIALS/EQUIPMENT
PINA M. INC,50000,SUPPLIES/MATERIALS/EQUIPMENT
"GRAHAM LAUNDRY MACHINERY CO., INC",100000,WORK/LABOR
NEW COMPUTECH INC,25843,SUPPLIES/MATERIALS/EQUIPMENT
G-SQUARED ELECTRIC LLC,99940,CONSULTANT
HANDSOMELY DONE CLEANERS INC,25000,WORK/LABOR
KRACKELER SCIENTIFIC INC,40000,SUPPLIES/MATERIALS/EQUIPMENT
"DDRT APEX, LLC EXPRESS PERSONNEL SERVICES",40000,WORK/LABOR
CEN-MED ENTERPRISES INC,100000,SUPPLIES/MATERIALS/EQUIPMENT
SAFETY KLEEN SYSTEMS INC,30000,WORK/LABOR
POLYPHASE ELECTRIC INC,80000,WORK/LABOR
AVCO ENTERPRISES DENTSERVE,44081,SUPPLIES/MATERIALS/EQUIPMENT
"DDRT APEX, LLC EXPRESS PERSONNEL SERVICES",99000,WORK/LABOR
ELS ASSOCIATES PLACEMENT SERVICES INC,100000,WORK/LABOR
J M MORALES & ASSOCIATES PC,45600,WORK/LABOR
KC ENGINEERING AND LAND SURVEYING PC,100000,REQUIREMENTS-CONSTRUCTION
ARC TEC WELDING & FABRICATION INC,100000,SUPPLIES/MATERIALS/EQUIPMENT
PRINT FINISHING SYSTEMS INC,69800,SUPPLIES/MATERIALS/EQUIPMENT
HO PENN MACHINERY CO INC,100000,WORK/LABOR
THERMO ELECTRON NORTH AMERICA LLC,81382,SUPPLIES/MATERIALS/EQUIPMENT
"Neta Scientific, Inc.",49646,SUPPLIES/MATERIALS/EQUIPMENT
SHADOWSTONE INC,83704,SUPPLIES/MATERIALS/EQUIPMENT
MIDI INC,29685,SUPPLIES/MATERIALS/EQUIPMENT
ACCREDITED LOCK AND DOOR HARDWARE COMPANY,25000,SUPPLIES/MATERIALS/EQUIPMENT
CHLORINATOR & INSTRUMENT SERVICE INC,96631,SUPPLIES/MATERIALS/EQUIPMENT
LIEBERMAN SOFTWARE CORPORATION,24893,WORK/LABOR
FINESSE CREATIONS INC,99838,SUPPLIES/MATERIALS/EQUIPMENT
QUALITY AND ASSURANCE TECHNOLOGY CORP,93850,SUPPLIES/MATERIALS/EQUIPMENT
QUALITY AND ASSURANCE TECHNOLOGY CORP,83700,SUPPLIES/MATERIALS/EQUIPMENT
UNIVERSAL FASTENERS INC,25875,SUPPLIES/MATERIALS/EQUIPMENT
CUMMINS ALLISON CORP,24452,SUPPLIES/MATERIALS/EQUIPMENT
J FIRE PROTECTION INC STAR FIRE PROTECTION CO,80000,WORK/LABOR
FIRST PRIORITY EMERGENCY VEHICLES INC,29359,SUPPLIES/MATERIALS/EQUIPMENT
M.B. COMPANIES INC.,25000,SUPPLIES/MATERIALS/EQUIPMENT
