description,awd_meth_nm,date
FLOORING INSTALLATION AT DOT FERRY TERMINALS.,SM PURCH GOODS SERVICES 100K,15-Dec-15
FOOD EIQUIPMENT,SM PURCH GOODS SERVICES 100K,22-Oct-15
"TELEVISIONS, TV CART/STAND and WALL MOUNTS",SM PURCH GOODS SERVICES 100K,04-Nov-15
PROVIDE PROGRAM DEVELOPMENT SUPPORT & TECHNICAL ASSISTANCE,SM PURCH GOODS SERVICES 100K,03-Dec-15
RTW/VDT/WPV TRAINING,SM PURCH GOODS SERVICES 100K,20-Oct-15
STORAGE OF DDC'S ARCHIVED RECORDS,SMALL PURCHASE - WRITTEN,08-Oct-15
Elevator & Escalator Parts,SMALL PURCHASE - WRITTEN,27-Oct-15
BLANKET FOR HISTOLOGY LABORATORY CHEMICALS & SUPPLIES,SM PURCH GOODS SERVICES 100K,26-Oct-15
"HOSPITAL AND SURGICAL EQUIPMENT, INSTRUMENTS AND SUPPLIES",SM PURCH GOODS SERVICES 100K,28-Dec-15
ELEVATOR MAINTENANCE SERVICES,SM PURCH GOODS SERVICES 100K,07-Oct-15
on-call repair and replacement of electronic security system,SM PURCH GOODS SERVICES 100K,05-Nov-15
"Traffic Surveillance Cameras for
DOT/TRFF SIGNALS",SM PURCH GOODS SERVICES 100K,19-Oct-15
CONSULTANT TO CONDUCT SCIENTIFIC WRITING & RESEARCH TOBACCO,SM PURCH GOODS SERVICES 100K,27-Oct-15
CMA - ECTP TECHNICAL RECRUITER,SM PURCH GOODS SERVICES 100K,16-Dec-15
"REMOVAL TRANSPORT & DISPOSAL of SANITARY WASTE
for DOT/FM",SMALL PURCHASE - WRITTEN,10-Nov-15
Service and repair for the standby Generator Systems,SM PURCH GOODS SERVICES 100K,14-Dec-15
Fuel storage tank level device service,SM PURCH GOODS SERVICES 100K,22-Oct-15
"Repair Environmental Testing @ 
Various ELCS in NYC",SM PURCH GOODS SERVICES 100K,05-Oct-15
MOBILE MEDICAL LEAD ENVIROMENT TESTING,SM PURCH GOODS SERVICES 100K,22-Dec-15
Professional Services Consulting,SM PURCH GOODS SERVICES 100K,21-Dec-15
B/O for carbon brushes and related parts for elevators,SMALL PURCHASE - WRITTEN,09-Nov-15
Sony XDCam Discs.,SMALL PURCHASE - WRITTEN,07-Oct-15
"Blanket PO for on-call Painting Work
@Juveline Detention C",SM PURCH GOODS SERVICES 100K,14-Oct-15
STORAGE CONTAINERS for DOT/RRM,SM PURCH GOODS SERVICES 100K,09-Nov-15
LIGHT REFRESHMENTS,SM PURCH GOODS SERVICES 100K,26-Oct-15
DIAGNOSTIC REAGENTS AND TEST,SM PURCH GOODS SERVICES 100K,06-Oct-15
"PO to Provide Temp Porter Cleaner @ Beach ave, Group Home",SMALL PURCHASE - WRITTEN,10-Dec-15
MANHOLE RISER RINGS for DOT/RRM,SM PURCH GOODS SERVICES 100K,16-Nov-15
ELEVATOR & ESCALATOR PARTS,SM PURCH GOODS SERVICES 100K,14-Dec-15
LAB INSTRUMENT AND ACCESSORIES FOR OIL & GREASE ANALYSIS,SM PURCH GOODS SERVICES 100K,08-Oct-15
On-call Painting Work @ ACS site in the five Boroughs in NYC,SM PURCH GOODS SERVICES 100K,29-Oct-15
OUTREACH TEMPORARY PERSONNEL,SM PURCH GOODS SERVICES 100K,11-Dec-15
"AIR COMPRESSOR SYSTEMS    
MAINT.& REPAIR for DOT/FM",SMALL PURCHASE - WRITTEN,09-Nov-15
BARGE RENTAL FOR DOT/SI,SM PURCH GOODS SERVICES 100K,02-Dec-15
On-call repair and maintenance of gas and electric ranges,SM PURCH GOODS SERVICES 100K,14-Oct-15
Printing Paper,SM PURCH GOODS SERVICES 100K,16-Oct-15
FUEL STORAGE TANK AND PIPE REPAIR - CWOD,SM PURCH GOODS SERVICES 100K,09-Dec-15
40LB Bags Pre-Blended Concrete Mix for DOT/TR,SMALL PURCHASE - WRITTEN,29-Oct-15
PRINTING PLANT EQUIPMENT AND SUPPLIES (EXCEPT PAPERS),SM PURCH GOODS SERVICES 100K,02-Nov-15
Leased copier machines from Konika Minolta,SMALL PURCHASE - WRITTEN,09-Oct-15
"GSA CONTRACT GS35 F235AA
SPECIALTY ITEM 132-51",SMALL PURCHASE - ORAL SOLICITA,05-Oct-15
"PROPER WATER TREATMENT OF BOILER, COOLING TOWERS",SM PURCH GOODS SERVICES 100K,20-Nov-15
CO POCKET CARBON MONXIDE DETECTORS,SM PURCH GOODS SERVICES 100K,30-Nov-15
"30"" NON-OSCILLATING FANS",SM PURCH GOODS SERVICES 100K,25-Nov-15
"GENUINE REPLACEMENT PARTS(GRP) / EVOQUA PARTS,",SMALL PURCHASE - WRITTEN,18-Nov-15
Right to Know Bloodborne Pathogen Training,SM PURCH GOODS SERVICES 100K,19-Oct-15
Temporary Attorney Services - Prospect Placement,SM PURCH GOODS SERVICES 100K,27-Nov-15
4' x 6' GUARD BOOTH OF STEEL CONSTRUCTION,SMALL PURCHASE - WRITTEN,07-Dec-15
"REENGINEERING SLTSRS for
DOT/SIGNALS & STR.LIGHTING",SMALL PURCHASE - WRITTEN,06-Oct-15
Paralegal Temp Service - Meade,SM PURCH GOODS SERVICES 100K,27-Nov-15
