total_stalking_arrests,dv_stalking_arrest_bx,dv_stalking_arrest_mn,dv_stalking_arrest_qns,dv_stalking_arrest_bk
484,69.0,44.0,46.0,92.0
647,,,,
710,104.0,42.0,129.0,146.0
485,68.0,46.0,74.0,95.0
658,101.0,24.0,122.0,143.0
523,102.0,47.0,60.0,94.0
