neighborhood_tabulation_area,total_population,number_of_free_public_wi,mobile_broadband_adoption,residential_broadband_isp,total_poles,home_broadband_adoption
SI36,26447,7,0.75,1.95,32,0.72
SI25,20485,4,0.74,1.95,31,0.73
BX59,28444,0,0.8,1.84,38,0.67
BK83,48738,8,0.86,1.94,20,0.74
QN10,28004,2,0.78,1.89,17,0.73
BX01,35190,2,0.77,1.71,50,0.55
SI05,42160,0,0.78,1.73,71,0.8
SI32,21870,0,0.79,1.93,46,0.78
QN35,43761,0,0.84,1.91,32,0.76
SI99,0,0,0.0,0.73,0,0.0
MN32,78459,14,0.88,2.63,29,0.85
BK77,56384,1,0.84,2.28,33,0.61
QN38,35946,0,0.77,1.97,28,0.7
QN61,54754,21,0.81,1.82,74,0.66
QN62,20166,0,0.77,1.92,23,0.62
SI35,17349,0,0.74,1.99,28,0.74
QN34,54518,0,0.84,1.97,13,0.78
BK23,17252,0,0.68,1.56,7,0.67
SI07,24516,1,0.78,1.97,43,0.78
MN14,63920,52,0.89,2.47,69,0.87
BK31,78892,2,0.81,1.97,39,0.74
BK73,57774,16,0.87,2.24,29,0.76
QN23,24750,0,0.75,1.97,19,0.62
MN11,49945,41,0.8,1.87,47,0.73
QN63,41942,6,0.83,2.67,21,0.75
BK85,28293,0,0.82,1.69,25,0.63
QN31,69649,25,0.87,1.97,71,0.81
BK26,30294,1,0.76,1.92,9,0.72
QN98,0,0,0.0,0.23,3,0.0
BX40,28366,8,0.82,1.7,25,0.58
BK45,46179,1,0.81,1.96,17,0.8
QN08,53151,1,0.84,1.98,33,0.53
BX28,50658,2,0.81,1.8,60,0.69
MN33,58553,16,0.77,2.02,55,0.63
BK32,53266,8,0.78,2.17,38,0.65
BX52,45634,3,0.76,1.81,88,0.68
BK95,28355,11,0.73,1.3,23,0.64
QN52,25274,0,0.72,2.02,22,0.66
BX49,28608,1,0.78,1.86,46,0.59
SI11,23834,1,0.74,1.86,67,0.79
BX44,67724,0,0.77,1.97,66,0.59
QN27,18752,3,0.81,1.91,19,0.73
MN17,27754,144,0.89,2.47,297,0.85
QN45,25400,1,0.77,2.03,14,0.8
QN66,25941,0,0.82,1.99,35,0.55
QN71,23694,7,0.84,2.86,19,0.76
BK81,51236,1,0.69,1.64,47,0.56
SI01,29801,0,0.83,1.88,89,0.79
MN35,72175,22,0.8,1.63,25,0.72
SI37,25281,5,0.71,1.92,41,0.69
SI24,32077,3,0.79,1.91,73,0.77
BK40,22759,1,0.85,2.11,10,0.85
QN60,22376,5,0.82,1.82,20,0.73
QN28,98046,25,0.84,1.95,57,0.76
QN29,82536,30,0.83,2.7,36,0.69
BX63,38312,16,0.79,1.53,64,0.6
BK69,39245,8,0.86,2.33,22,0.78
QN76,37849,1,0.85,1.95,38,0.59
QN05,26680,1,0.87,2.08,15,0.75
QN41,19500,1,0.88,2.15,3,0.86
MN21,26497,51,0.88,2.43,43,0.87
QN25,57146,0,0.8,2.73,27,0.62
BK58,70560,1,0.83,1.92,14,0.78
