density_of_poles_reserved,mobile_broadband_adoption_1,percentage_of_blocks_without_1,commercial_fiber_max_isp,no_broadband_percentage_of,number_of_public_computer_1
175.56,High Connected,Low,13,0.09,112
20.79,Medium High Connected,High,3,0.12,16
13.81,High Connected,Low,2,0.08,0
22.22,Medium Low Connected,High,3,0.2,161
10.37,Medium Low Connected,Medium High,2,0.13,24
2.38,Low Connected,High,3,0.26,12
25.97,High Connected,Low,4,0.15,29
43.24,High Connected,Medium Low,4,0.06,0
120.0,Medium Low Connected,Medium Low,4,0.22,42
16.13,High Connected,High,4,0.16,0
14.75,Medium High Connected,Medium Low,3,0.09,21
0.37,Low Connected,High,3,0.0,0
6.83,Medium High Connected,Medium Low,3,0.09,22
19.59,Medium Low Connected,Medium High,4,0.22,18
120.75,Medium High Connected,Medium High,3,0.23,69
65.0,High Connected,Low,5,0.08,0
21.23,Medium Low Connected,High,6,0.2,35
65.22,Medium High Connected,Medium Low,3,0.14,96
46.15,High Connected,Low,3,0.16,74
30.77,Medium High Connected,Medium Low,3,0.15,118
115.52,Medium High Connected,Low,4,0.14,97
18.69,Medium High Connected,Low,3,0.1,74
19.85,Medium High Connected,High,3,0.12,28
11.56,Medium Low Connected,High,3,0.12,24
11.01,Medium Low Connected,Medium Low,3,0.09,44
38.76,Low Connected,High,3,0.28,76
85.11,Medium Low Connected,Medium High,3,0.17,0
30.48,High Connected,Medium High,4,0.12,27
9.09,Medium High Connected,Medium High,3,0.09,15
50.0,Low Connected,Low,4,0.21,9
72.29,Medium Low Connected,Low,4,0.2,173
18.33,Medium High Connected,Medium Low,4,0.18,139
36.9,Low Connected,Medium Low,4,0.23,144
18.94,Medium Low Connected,Low,3,0.13,55
14.81,Low Connected,Low,3,0.13,25
15.42,Low Connected,Medium Low,3,0.16,0
91.43,Medium Low Connected,Medium Low,4,0.24,7
100.0,Medium Low Connected,Medium High,3,0.22,18
0.0,Low Connected,High,1,0.0,0
55.42,Medium Low Connected,Medium High,3,0.16,48
13.17,Medium Low Connected,Medium High,3,0.2,63
12.86,Medium High Connected,High,3,0.15,44
24.21,Low Connected,Medium Low,3,0.2,13
29.86,Medium Low Connected,Medium High,4,0.16,27
1.97,Low Connected,High,3,0.0,25
24.48,Medium High Connected,Low,2,0.14,36
66.67,Medium Low Connected,Low,3,0.16,109
26.06,Low Connected,Low,3,0.21,18
8.59,Medium High Connected,Medium High,3,0.13,29
24.55,Low Connected,Medium Low,3,0.22,89
5.22,High Connected,Medium Low,2,0.11,21
37.08,High Connected,Medium High,4,0.17,50
24.81,Medium High Connected,Low,2,0.1,19
11.06,Low Connected,Low,3,0.14,31
60.44,Medium Low Connected,Low,5,0.17,275
275.0,High Connected,Low,15,0.06,500
22.81,Medium Low Connected,High,3,0.17,38
26.29,Low Connected,Medium High,4,0.42,66
22.7,Medium High Connected,Medium High,3,0.12,39
19.35,High Connected,High,4,0.11,35
26.76,Medium High Connected,Medium High,3,0.17,72
18.89,High Connected,Medium Low,2,0.08,5
30.95,Low Connected,High,2,0.65,33
51.52,Medium High Connected,High,3,0.11,107
24.37,Medium High Connected,Medium Low,2,0.11,21
27.78,Medium Low Connected,High,4,0.17,63
80.3,High Connected,Low,9,0.1,69
28.46,Medium Low Connected,Low,3,0.17,20
91.3,Medium Low Connected,Medium High,3,0.3,94
1.34,High Connected,High,3,0.0,218
4.12,Low Connected,Medium Low,3,0.2,142
27.78,High Connected,High,3,0.24,41
35.53,High Connected,High,3,0.05,50
20.2,High Connected,Low,4,0.17,29
26.02,Medium Low Connected,Medium Low,3,0.1,10
19.74,Medium Low Connected,Medium Low,3,0.12,15
4.76,Medium Low Connected,Medium High,3,0.15,34
20.98,Low Connected,High,3,0.2,92
23.75,High Connected,High,3,0.11,52
16.57,Low Connected,Low,5,0.15,60
95.16,Medium Low Connected,Medium Low,5,0.26,119
62.96,Low Connected,High,3,0.23,58
20.14,Medium Low Connected,Medium Low,3,0.18,55
80.68,Low Connected,Low,5,0.27,160
4.8,Low Connected,High,3,0.12,12
10.98,High Connected,Low,3,0.13,32
16.22,High Connected,Medium Low,2,0.11,50
3.0,High Connected,Medium High,3,0.06,34
30.85,Low Connected,Medium Low,3,0.26,134
30.86,Medium High Connected,Low,5,0.13,11
44.07,Medium High Connected,Medium Low,4,0.13,34
23.19,Medium High Connected,High,3,0.12,31
35.06,Low Connected,Low,4,0.0,9
0.0,Low Connected,High,1,0.0,0
70.59,High Connected,Medium Low,8,0.09,41
4.69,Low Connected,Medium Low,2,0.19,0
84.75,Medium Low Connected,Medium High,4,0.25,68
92.11,Medium Low Connected,High,4,0.23,145
13.33,Low Connected,Medium Low,3,0.16,9
15.86,Low Connected,High,2,0.12,69
15.74,Medium High Connected,Medium Low,2,0.14,22
14.39,Low Connected,High,3,0.29,66
211.76,High Connected,Low,13,0.03,38
59.18,High Connected,Low,6,0.07,28
20.75,Low Connected,Low,2,0.21,24
13.92,High Connected,High,2,0.13,0
6.04,Medium Low Connected,High,6,0.12,31
159.26,High Connected,Low,8,0.04,45
4.55,Medium High Connected,High,3,0.2,0
6.79,High Connected,Medium High,3,0.1,18
35.96,Medium High Connected,Low,3,0.12,23
33.14,High Connected,Medium High,3,0.15,40
9.35,Medium High Connected,Low,4,0.13,24
16.48,Medium Low Connected,Medium Low,3,0.12,51
130.77,Low Connected,Low,8,0.32,70
113.53,High Connected,Low,12,0.07,104
4.9,Medium High Connected,Low,3,0.2,75
68.97,Medium Low Connected,Medium Low,3,0.22,0
40.68,Medium Low Connected,High,3,0.26,12
40.35,Low Connected,Medium High,3,0.19,0
20.97,Low Connected,Medium High,3,0.22,64
31.15,High Connected,Medium Low,3,0.13,29
37.5,Medium High Connected,Medium High,3,0.18,25
35.94,Medium Low Connected,Low,5,0.16,92
20.28,Medium High Connected,Medium Low,3,0.18,45
44.23,Low Connected,Medium High,3,0.23,0
125.64,High Connected,Low,5,0.11,108
36.81,Medium Low Connected,Medium Low,3,0.18,38
25.0,Medium Low Connected,Medium High,3,0.14,46
29.06,Medium Low Connected,Medium High,3,0.24,72
90.38,Medium Low Connected,Low,5,0.14,90
23.47,Low Connected,Low,3,0.14,83
7.19,High Connected,Medium High,3,0.1,18
5.71,Medium Low Connected,Medium High,2,0.12,21
114.29,High Connected,Low,6,0.05,144
35.71,Medium High Connected,Low,4,0.21,5
32.87,Medium Low Connected,Medium Low,3,0.13,52
108.7,Medium High Connected,Medium Low,3,0.2,0
132.69,High Connected,Low,11,0.07,107
18.15,Medium High Connected,Medium High,3,0.12,18
88.89,High Connected,Medium High,6,0.05,43
14.84,Medium Low Connected,Medium Low,5,0.15,31
26.55,Medium High Connected,High,3,0.19,110
72.67,Low Connected,Medium High,5,0.31,162
10.5,Low Connected,Medium Low,3,0.2,11
38.71,Low Connected,High,4,0.2,67
22.58,Low Connected,High,4,0.2,0
34.51,Low Connected,Medium High,4,0.22,102
25.68,Medium High Connected,High,4,0.12,26
22.76,Medium High Connected,Medium Low,3,0.09,19
43.85,Medium Low Connected,Medium Low,3,0.16,100
91.53,Medium Low Connected,High,4,0.25,109
44.19,Medium Low Connected,Medium High,4,0.16,31
12.65,Medium Low Connected,High,4,0.12,36
111.9,Low Connected,Low,4,0.27,199
25.19,Low Connected,Medium High,4,0.19,68
116.67,High Connected,Medium Low,3,0.15,251
27.03,Medium High Connected,High,3,0.13,0
12.81,Low Connected,High,3,0.12,14
186.67,High Connected,Low,10,0.05,72
14.63,Medium High Connected,Medium Low,3,0.12,28
8.04,Low Connected,Medium High,3,0.16,21
141.94,High Connected,Low,11,0.05,106
50.77,Low Connected,Low,3,0.2,59
2.25,Medium High Connected,High,2,0.19,156
91.67,Medium Low Connected,Low,6,0.21,130
20.0,High Connected,High,3,0.09,22
16.77,Medium High Connected,High,3,0.14,10
