neighborhood_tabulation_area_1,number_of_public_computer_2,residential_broadband_isp_1
East New York,1900-01-12T07:00:00.000,Medium Low
Laurelton,1900-01-01T20:00:00.000,Medium High
park-cemetery-etc-Staten Island,1899-12-31T00:00:00.000,Low
Washington Heights North,1900-01-01T22:30:00.000,Low
Crown Heights South,1899-12-31T00:00:00.000,Low
Kensington-Ocean Parkway,1900-01-02T00:00:00.000,Low
Van Cortlandt Village,1900-01-05T18:00:00.000,Low
Flushing,1900-01-10T21:30:00.000,High
Yorkville,1900-01-02T07:00:00.000,High
Seagate-Coney Island,1900-01-08T17:00:00.000,Medium Low
Lower East Side,1900-01-13T08:00:00.000,Low
Rosedale,1900-01-01T20:00:00.000,High
Allerton-Pelham Gardens,1900-01-01T23:00:00.000,Medium High
Sunset Park West,1900-01-03T21:00:00.000,High
East Williamsburg,1900-01-04T14:00:00.000,High
Ridgewood,1900-01-03T15:00:00.000,High
Murray Hill,1899-12-31T14:00:00.000,Medium High
Jackson Heights,1900-01-05T14:00:00.000,Medium High
Stuyvesant Town-Cooper Village,1899-12-31T00:00:00.000,High
Mariner's Harbor-Arlington-Port Ivory-Graniteville,1900-01-02T14:00:00.000,Medium Low
Old Astoria,1900-01-04T11:00:00.000,High
Lenox Hill-Roosevelt Island,1900-01-10T20:30:00.000,High
College Point,1900-01-01T20:00:00.000,Medium High
Kingsbridge Heights,1899-12-31T00:00:00.000,Low
Clinton Hill,1900-01-05T20:00:00.000,High
Bensonhurst East,1900-01-04T00:00:00.000,Medium Low
Turtle Bay-East Midtown,1900-01-07T23:00:00.000,High
Bedford,1900-01-04T21:00:00.000,Medium High
Far Rockaway-Bayswater,1900-01-09T16:00:00.000,Medium High
Crown Heights North,1900-01-17T01:00:00.000,Low
Williamsbridge-Olinville,1900-01-04T21:00:00.000,Medium High
Springfield Gardens North,1900-01-09T06:00:00.000,Medium High
SoHo-TriBeCa-Civic Center-Little Italy,1900-01-05T13:00:00.000,Medium Low
Flatlands,1900-01-05T16:00:00.000,Medium Low
Queensboro Hill,1900-01-01T12:00:00.000,Medium Low
St. Albans,1900-01-01T20:00:00.000,Medium High
Woodhaven,1900-01-03T12:00:00.000,High
Washington Heights South,1900-01-11T22:30:00.000,Low
Fort Greene,1900-01-04T12:00:00.000,Medium High
Lindenwood-Howard Beach,1900-01-01T20:00:00.000,Medium Low
Bath Beach,1900-01-02T05:00:00.000,Medium Low
New Brighton-Silver Lake,1900-01-01T23:00:00.000,Medium High
Elmhurst,1900-01-05T14:00:00.000,High
Kew Gardens Hills,1900-01-03T07:00:00.000,Medium Low
Manhattanville,1900-01-01T16:00:00.000,Low
Rugby-Remsen Village,1900-01-02T00:00:00.000,Medium Low
South Jamaica,1900-01-06T20:00:00.000,Medium High
Belmont,1900-01-02T02:00:00.000,Low
East Tremont,1900-01-05T12:30:00.000,Medium Low
Grasmere-Arrochar-Ft. Wadsworth,1900-01-02T14:00:00.000,Low
West New Brighton-New Brighton-St. George,1900-01-05T18:00:00.000,Medium High
Mott Haven-Port Morris,1900-01-10T15:00:00.000,Low
Port Richmond,1900-01-03T01:00:00.000,Medium Low
Bay Ridge,1900-01-09T08:00:00.000,Medium High
Pelham Bay-Country Club-City Island,1900-01-03T12:00:00.000,Medium Low
Queensbridge-Ravenswood-Long Island City,1900-01-08T15:00:00.000,High
Corona,1900-01-03T12:00:00.000,High
Midtown-Midtown South,1900-01-10T14:00:00.000,High
Ocean Hill,1900-01-02T22:00:00.000,Low
Annadale-Huguenot-Prince's Bay-Eltingville,1899-12-31T00:00:00.000,Medium Low
Oakland Gardens,1900-01-02T12:30:00.000,Medium High
Madison,1900-01-04T01:00:00.000,Medium High
Steinway,1900-01-01T23:00:00.000,High
Great Kills,1900-01-03T20:00:00.000,Medium High
Schuylerville-Throgs Neck-Edgewater Park,1900-01-07T02:00:00.000,Medium Low
Maspeth,1900-01-03T09:30:00.000,High
Morningside Heights,1900-01-09T17:00:00.000,Medium High
Battery Park City-Lower Manhattan,1900-01-03T16:30:00.000,High
Longwood,1900-01-02T03:00:00.000,Low
North Side-South Side,1900-01-03T12:30:00.000,High
Spuyten Duyvil-Kingsbridge,1900-01-03T20:00:00.000,Medium Low
Clinton,1900-01-06T00:00:00.000,High
Bellerose,1900-01-03T15:00:00.000,Medium High
Melrose South-Mott Haven North,1900-01-08T08:00:00.000,Medium Low
Westerleigh,1900-01-02T06:00:00.000,Medium High
Williamsburg,1900-01-02T02:00:00.000,Medium High
Fresh Meadows-Utopia,1900-01-03T22:00:00.000,High
Gravesend,1900-01-03T21:30:00.000,Medium Low
Ft. Totten-Bay Terrace-Clearview,1900-01-05T05:30:00.000,Low
Douglas Manor-Douglaston-Little Neck,1900-01-05T03:00:00.000,High
Windsor Terrace,1900-01-02T00:00:00.000,High
Woodside,1900-01-01T20:00:00.000,High
Elmhurst-Maspeth,1899-12-31T00:00:00.000,High
East Harlem North,1900-01-17T08:00:00.000,Low
East Elmhurst,1900-01-05T11:00:00.000,Medium Low
Crotona Park East,1900-01-01T16:00:00.000,Low
Westchester-Unionport,1900-01-02T02:00:00.000,Medium Low
Homecrest,1900-01-05T08:00:00.000,Medium High
Hamilton Heights,1900-01-04T08:00:00.000,Low
Glendale,1900-01-01T23:00:00.000,Medium High
Brownsville,1900-01-18T17:00:00.000,Low
Ocean Parkway South,1899-12-31T00:00:00.000,Medium High
