neighborhood_tabulation_area,neighborhood_tabulation_area_1,percentage_of_blocks_without,borough_name,home_broadband_adoption_by,available_free_public_wi
BX09,Soundview-Castle Hill-Clason Point-Harding Park,0.2,Bronx,Medium Low Connected,True
QN41,Fresh Meadows-Utopia,0.1,Queens,High Connected,True
SI48,Arden Heights,0.02,Staten Island,High Connected,False
MN33,East Harlem South,0.0,Manhattan,Medium Low Connected,True
BK33,Carroll Gardens-Columbia Street-Red Hook,0.24,Brooklyn,High Connected,True
BK42,Flatbush,0.19,Brooklyn,Medium Low Connected,True
QN45,Douglas Manor-Douglaston-Little Neck,0.1,Queens,High Connected,True
QN62,Queensboro Hill,0.08,Queens,Low Connected,False
MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.0,Manhattan,High Connected,True
QN46,Bayside-Bayside Hills,0.06,Queens,High Connected,True
QN51,Murray Hill,0.03,Queens,Low Connected,False
BX52,Schuylerville-Throgs Neck-Edgewater Park,0.14,Bronx,Medium Low Connected,True
QN28,Jackson Heights,0.15,Queens,Medium High Connected,True
QN43,Bellerose,0.1,Queens,High Connected,True
BX35,Morrisania-Melrose,0.06,Bronx,Low Connected,True
BK21,Seagate-Coney Island,0.2,Brooklyn,Low Connected,True
BK35,Stuyvesant Heights,0.21,Brooklyn,Medium Low Connected,True
BK81,Brownsville,0.18,Brooklyn,Low Connected,True
BX06,Belmont,0.12,Bronx,Low Connected,True
BX13,Co-op City,0.37,Bronx,Medium Low Connected,True
BX26,Highbridge,0.21,Bronx,Low Connected,True
BK09,Brooklyn Heights-Cobble Hill,0.16,Brooklyn,High Connected,True
BX75,Crotona Park East,0.23,Bronx,Low Connected,False
BX14,East Concourse-Concourse Village,0.07,Bronx,Low Connected,True
BX43,Norwood,0.15,Bronx,Medium Low Connected,True
BX07,Bronxdale,0.02,Bronx,Low Connected,False
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.05,Brooklyn,High Connected,True
QN30,Maspeth,0.12,Queens,High Connected,True
BK46,Ocean Parkway South,0.09,Brooklyn,Medium Low Connected,False
QN50,Elmhurst-Maspeth,0.19,Queens,Medium High Connected,True
MN27,Chinatown,0.0,Manhattan,Low Connected,True
SI11,Charleston-Richmond Valley-Tottenville,0.18,Staten Island,High Connected,True
MN17,Midtown-Midtown South,0.0,Manhattan,High Connected,True
QN21,Middle Village,0.11,Queens,Medium High Connected,False
BK93,Starrett City,0.52,Brooklyn,Medium Low Connected,False
BK29,Bensonhurst East,0.06,Brooklyn,Medium High Connected,True
BX49,Pelham Parkway,0.11,Bronx,Low Connected,True
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.2,Brooklyn,Medium High Connected,True
QN53,Woodhaven,0.04,Queens,High Connected,True
QN49,Whitestone,0.1,Queens,Medium High Connected,True
BX28,Van Cortlandt Village,0.07,Bronx,Medium Low Connected,True
SI08,Grymes Hill-Clifton-Fox Hills,0.06,Staten Island,Low Connected,False
QN26,North Corona,0.04,Queens,Low Connected,True
BX03,Eastchester-Edenwald-Baychester,0.07,Bronx,Medium Low Connected,True
