total_population,density_of_poles_reserved,public_wi_fi_in_nyc_count,reserved_poles,total_number_of_households,number_of_public_computer,no_broadand_by_quartiles
54956,36.75,1,17,21203,1,Medium High
69649,19.35,52,52,30315,3,Low
25281,24.55,5,16,9196,2,High
88884,14.63,2,19,29541,2,Medium Low
58553,91.67,20,13,24659,6,High
33580,25.68,8,8,11312,1,Medium Low
70560,7.18,2,8,23191,3,Medium Low
35319,62.96,1,3,11877,2,High
17252,22.58,0,2,8547,0,High
27754,275.0,160,51,15640,5,Low
28608,55.42,1,12,11270,2,Medium High
42950,125.64,58,3,21974,3,Low
51236,40.17,11,19,21771,10,High
36587,12.86,22,2,16497,4,Medium Low
20714,10.98,1,8,6772,1,Medium Low
28313,4.8,1,6,10741,1,Medium Low
42665,2.25,9,3,14344,6,Medium High
22196,16.13,0,21,5940,0,Medium High
57214,92.11,8,15,19531,4,High
29840,14.75,1,15,11316,2,Low
22301,43.24,15,2,9791,0,Low
39245,29.73,15,6,16676,3,Medium Low
35946,20.14,1,12,12249,3,Medium High
65393,186.67,49,15,35603,4,Low
44715,32.87,3,8,15400,2,Medium Low
99534,26.29,8,14,25419,5,High
31120,14.39,32,16,11553,5,High
41442,14.01,9,20,14792,2,Medium Low
43835,175.56,58,13,19962,3,Low
74094,22.7,54,16,33181,4,Medium Low
18938,36.9,29,24,8037,6,High
26497,159.26,51,5,13795,2,Low
21208,11.06,23,8,7856,1,Medium Low
18752,26.76,3,11,5221,3,Medium High
24631,10.37,1,15,9184,1,Medium Low
46573,70.59,125,31,20118,3,Low
22376,27.03,10,3,9930,0,Medium Low
47234,23.19,1,32,19263,1,Medium Low
34554,13.39,15,8,16242,1,Medium Low
0,0.37,0,3,0,0,Low
27262,29.86,7,18,11283,2,Medium High
38312,91.43,40,12,13427,1,High
6864,0.0,0,0,0,0,Low
25941,24.48,1,17,8141,1,Medium Low
63920,121.05,52,11,34793,6,Low
74137,35.53,35,11,30775,4,Low
43761,30.48,2,18,14236,1,Medium Low
31097,35.96,0,14,9558,2,Medium Low
76103,25.97,2,21,24554,2,Medium High
31749,18.15,1,16,11209,1,Medium Low
23769,50.0,19,7,10213,1,High
2033,35.06,44,45,0,1,Low
