objectid_1,shape_leng,area_name,epic_link
4,13993.4410304,Jamaica,https://a002-epic.nyc.gov/community/areas/10
2,6680.37832307,Flushing,https://a002-epic.nyc.gov/community/areas/7
9,78507.4620213,Sunset Park,https://a002-epic.nyc.gov/community/areas/21
1,23374.1999712,Cypress Hills,https://a002-epic.nyc.gov/community/areas/39
6,12337.3055238,Port Morris Harlem Riverfront,https://a002-epic.nyc.gov/community/areas/13
8,54694.6269511,Richmond Terrace / West Brighton,https://a002-epic.nyc.gov/community/areas/23
7,89551.7063833,Port Richmond,https://a002-epic.nyc.gov/community/areas/14
3,60173.9226628,Harlem River,https://a002-epic.nyc.gov/community/areas/9
5,64192.2783649,North Brooklyn,https://a002-epic.nyc.gov/community/areas/3
10,23849.7854551,West Shore,https://a002-epic.nyc.gov/community/areas/24
