postcode,community_council,latitude,:@computed_region_efsh_h5xi
10473,18,40.82229,13664.0
11207,42,40.667456,1194.0
11213,36,40.67944,17615.0
10003,2,40.735494,6974.0
11354,20,40.765166,19303.0
11417,32,40.679639,
11204,44,40.620446,16867.0
10469,13,40.859665,11607.0
11235,47,40.581681,13826.0
10040,10,40.855954,7588.0
11368,21,40.737427,14510.0
10458,15,40.855698,10936.0
11201,33,40.694926,27572.0
10463,10,40.877105,11272.0
11208,37,40.691146,22275.0
11226,40,40.649787,13510.0
10468,11,40.870293,11606.0
11222,33,40.721981,25894.0
10461,13,40.840702,11270.0
10472,18,40.831601,22617.0
10312,51,40.528092,10699.0
11236,46,40.633285,13827.0
10451,17,40.818232,10929.0
