site_administrator,bin,:@computed_region_92fq_4b7q,borough
Angela Pugh-Roberson,3336215,11.0,Brooklyn
Martin Smallhorne,2074045,12.0,Bronx
Jimmy Liu,4048306,21.0,Queens
Edita Volovodovskaya,4202849,,Queens
James Barron,1064532,39.0,Bronx
Gladys De la Cruz,2022205,,Bronx
Veronica Jackson,2012887,22.0,Bronx
Juan Batista,3084440,,Brooklyn
Thomas Lopez,2015241,40.0,Bronx
Neal Reich,3196293,45.0,Brooklyn
Rosalie Marks,3090738,,Brooklyn
Tito Burrowes,3047996,49.0,Brooklyn
Andy Siu Hei Szeto,4113172,,Queens
Chris Anzalone,5082634,9.0,Staten Island
Dawn Harris,3224139,8.0,Brooklyn
Arleen Milton,2001874,43.0,Bronx
Ruth Colton,2050179,12.0,Bronx
Michael Noto,3348041,,Brooklyn
Roger Bradley,1017828,,Manhattan
Carmel Belizaire,2027459,,Bronx
David Decamp,3066698,,Brooklyn
Samuel Akel,1076751,,Manhattan
Vincent Asaro,3131537,18.0,Brooklyn
