location,location_1,postcode,longitude,nta
Adlai Stevenson Campus YABC,"{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 Lafayette Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10473,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park                            
Thomas Jefferson Campus YABC,"{'latitude': '31.237191', 'longitude': '-90.4561', 'human_address': '{""address"": ""400 Pennsylvania Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",11207,-73.894747,East New York (Pennsylvania Ave)                                           
Boys and Girls High School YABC,"{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 Fulton Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",11213,-73.932407,Crown Heights North                                                        
Washington Irving YABC,"{'latitude': '40.152466', 'longitude': '-75.003741', 'human_address': '{""address"": ""40 Irving Place"", ""city"": """", ""state"": """", ""zip"": """"}'}",10003,-73.987659,Gramercy                                                                   
Flushing YABC,"{'latitude': '41.298227', 'longitude': '-82.218397', 'human_address': '{""address"": ""35 01 Union St"", ""city"": """", ""state"": """", ""zip"": """"}'}",11354,-73.82789,Flushing                                                                   
John Adams YABC,"{'human_address': '{""address"": ""101 01 Rockaway Blvd"", ""city"": """", ""state"": """", ""zip"": """"}'}",11417,-73.837298,South Ozone Park                                                           
Franklin D. Roosevelt YABC,"{'latitude': '40.62043', 'longitude': '-73.981789', 'human_address': '{""address"": ""5800 20 Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",11204,-73.981795,Borough Park                                                               
Christopher Columbus YABC,"{'latitude': '40.859662', 'longitude': '-73.860704', 'human_address': '{""address"": ""925 Astor Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10469,-73.861006,Bronxdale                                                                  
Abraham Lincoln YABC,"{'latitude': '40.582322', 'longitude': '-73.967437', 'human_address': '{""address"": ""2800 Ocean Pkwy"", ""city"": """", ""state"": """", ""zip"": """"}'}",11235,-73.967308,West Brighton                                                              
George Washington Educational Campus YABC,"{'latitude': '40.378365', 'longitude': '-80.027854', 'human_address': '{""address"": ""549 Audubon Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10040,-73.927051,Washington Heights North                                                   
High School for Arts & Business YABC,"{'latitude': '40.7469', 'longitude': '-73.8637', 'human_address': '{""address"": ""105 25 Horace Harding Expressway"", ""city"": """", ""state"": """", ""zip"": """"}'}",11368,-73.853178,Corona                                                                     
Grace Dodge YABC,"{'latitude': '40.855858', 'longitude': '-73.882656', 'human_address': '{""address"": ""2474 Crotona Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10458,-73.882715,Belmont                                                                    
Downtown Brooklyn YABC,"{'latitude': '30.585427', 'longitude': '-84.575405', 'human_address': '{""address"": ""105 Johnson Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",11201,-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
John F. Kennedy YABC,"{'latitude': '40.876887', 'longitude': '-73.912492', 'human_address': '{""address"": ""99 Terrace View Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10463,-73.912256,Marble Hill-Inwood                                                         
Franklin K. Lane Campus YABC,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 Jamaica Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",11208,-73.868328,park-cemetery-etc-Brooklyn                                                 
Erasmus Campus YABC,"{'latitude': '40.649522', 'longitude': '-73.958489', 'human_address': '{""address"": ""911 Flatbush Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",11226,-73.95855,Erasmus                                                                    
Walton Campus YABC,"{'latitude': '40.870666', 'longitude': '-73.897944', 'human_address': '{""address"": ""2780 Reservoir Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10468,-73.898309,Van Cortlandt Village                                                      
Automotive YABC,"{'latitude': '41.43579', 'longitude': '-74.426085', 'human_address': '{""address"": ""50 Bedford Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",11222,-73.953281,North Side-South Side                                                      
Herbert Lehman YABC,"{'latitude': '40.840394', 'longitude': '-73.837778', 'human_address': '{""address"": ""3000 E Tremont Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10461,-73.838545,Schuylerville-Throgs Neck-Edgewater Park                                   
James Monroe Educational Campus YABC,"{'latitude': '33.661033', 'longitude': '-85.848903', 'human_address': '{""address"": ""1300 Boynton Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",10472,-73.878912,West Farms-Bronx River                                                     
Tottenville YABC,"{'latitude': '40.52891', 'longitude': '-74.192598', 'human_address': '{""address"": ""100 Luten Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",10312,-74.192032,Annadale-Huguenot-Prince's Bay-Eltingville                                 
South Shore Educational Complex YABC,"{'latitude': '40.632668', 'longitude': '-73.91778', 'human_address': '{""address"": ""6565 Flatlands Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}",11236,-73.916735,Canarsie                                                                   
Alfred E. Smith Campus YABC,"{'latitude': '40.818075', 'longitude': '-73.919324', 'human_address': '{""address"": ""333 E 151st Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",10451,-73.919867,Melrose South-Mott Haven North                                             
