shape_area,countyfips
82041709.5245,81
86643177.3142,47
38219321.0156,61
75920725.2387,47
66127832.0694,81
150171415.891,5
44747668.1453,85
171397333.647,81
43924421.6666,5
24009736.2634,81
122555248.826,81
42641159.108,61
58587931.166,5
39431508.5021,61
43102082.3012,61
78196399.2249,47
93765320.0674,47
249392567.873,47
99280531.4344,5
27328147.5249,47
79147342.5873,47
101058100.542,47
48054070.0456,61
109208856.85,47
50875735.4269,47
595417029.281,85
329714985.885,81
30591950.1699,81
103026588.534,47
33461143.2869,5
86265916.258,5
46939593.2263,47
606169355.518,85
91211176.5544,47
77996859.1529,61
44798237.3828,61
50658597.8534,5
112715182.81,47
66239793.6524,61
172874725.451,5
131651029.085,47
259790748.582,81
112408076.998,5
56653764.8161,47
353306591.986,81
202044296.372,81
61354422.8532,5
377284305.737,85
38312377.8085,61
108218586.541,81
58246507.955,5
173968854.201,81
265854298.507,81
39703423.097,5
218953076.618,81
55211355.141,61
44092560.1208,47
101420978.657,5
125629513.766,47
78147996.4402,81
46127969.9685,5
197189856.7,81
131322464.338,81
55207873.1009,81
165459826.053,47
54408568.4932,61
37934079.7043,61
46999511.1372,61
105547003.965,47
57831742.1418,5
189139470.926,81
