cdtaname,boroname
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),Queens
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),Brooklyn
QN83 JFK International Airport (JIA 83 Approximation),Queens
MN64 Central Park (JIA 64 Equivalent),Manhattan
SI01 North Shore (CD 1 Equivalent),Staten Island
BX02 Longwood-Hunts Point (CD 2 Approximation),Bronx
BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),Brooklyn
QN06 Forest Hills-Rego Park (CD 6 Approximation),Queens
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),Queens
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),Queens
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Queens
QN14 The Rockaways (CD 14 Approximation),Queens
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),Queens
BK13 Coney Island-Brighton Beach (CD 13 Approximation),Brooklyn
MN07 Upper West Side (CD 7 Approximation),Manhattan
BX11 Pelham Parkway-Morris Park (CD 11 Approximation),Bronx
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Queens
BK05 East New York-Cypress Hills (CD 5 Approximation),Brooklyn
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),Manhattan
BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),Bronx
MN12 Washington Heights-Inwood (CD 12 Equivalent),Manhattan
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),Bronx
BX04 Highbridge-Concourse (CD 4 Approximation),Bronx
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),Manhattan
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),Staten Island
SI03 South Shore (CD 3 Approximation),Staten Island
BX03 Morrisania-Crotona Park East (CD 3 Approximation),Bronx
BK17 East Flatbush (CD 17 Approximation),Brooklyn
BK09 Crown Heights (South) (CD 9 Approximation),Brooklyn
BX26 Van Cortlandt Park (JIA 26 Equivalent),Bronx
BX06 Tremont-Belmont-West Farms (CD 6 Approximation),Bronx
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Queens
SI02 Mid-Island (CD 2 Approximation),Staten Island
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),Queens
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),Queens
BX28 Pelham Bay Park (JIA 28 Approximation),Bronx
BK16 Ocean Hill-Brownsville (CD 16 Approximation),Brooklyn
MN06 East Midtown-Murray Hill (CD 6 Approximation),Manhattan
MN11 East Harlem (CD 11 Equivalent),Manhattan
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens
BX05 Morris Heights-Mount Hope (CD 5 Approximation),Bronx
BK14 Flatbush-Midwood (CD 14 Approximation),Brooklyn
BX27 Bronx Park (JIA 27 Approximation),Bronx
QN82 Forest Park (JIA 82 Approximation),Queens
MN03 Lower East Side-Chinatown (CD 3 Equivalent),Manhattan
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),Queens
BK08 Crown Heights (North) (CD 8 Approximation),Brooklyn
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),Brooklyn
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),Brooklyn
MN01 Financial District-Tribeca (CD 1 Equivalent),Manhattan
BK04 Bushwick (CD 4 Equivalent),Brooklyn
QN01 Astoria-Queensbridge (CD 1 Equivalent),Queens
MN10 Harlem (CD 10 Equivalent),Manhattan
QN84 Jamaica Bay (East) (JIA 84 Approximation),Queens
QN04 Elmhurst-Corona (CD 4 Approximation),Queens
BK56 Jamaica Bay (West) (JIA 56 Approximation),Brooklyn
BX09 Soundview-Parkchester (CD 9 Approximation),Bronx
BK03 Bedford-Stuyvesant (CD 3 Approximation),Brooklyn
BK12 Borough Park-Kensington (CD 12 Approximation),Brooklyn
BX10 Co-op City-Throgs Neck (CD 10 Approximation),Bronx
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),Manhattan
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),Brooklyn
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),Manhattan
BK55 Prospect Park (JIA 55 Approximation),Brooklyn
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn
MN02 Greenwich Village-SoHo (CD 2 Equivalent),Manhattan
BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),Bronx
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),Bronx
QN80 LaGuardia Airport (JIA 80 Approximation),Queens
BK18 Canarsie-Flatlands (CD 18 Approximation),Brooklyn
