cdta2020,cdtaname
BK12,BK12 Borough Park-Kensington (CD 12 Approximation)
BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation)
QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)
BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation)
MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation)
MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent)
BK14,BK14 Flatbush-Midwood (CD 14 Approximation)
BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation)
MN64,MN64 Central Park (JIA 64 Equivalent)
QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent)
QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)
QN80,QN80 LaGuardia Airport (JIA 80 Approximation)
QN83,QN83 JFK International Airport (JIA 83 Approximation)
SI02,SI02 Mid-Island (CD 2 Approximation)
BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation)
QN84,QN84 Jamaica Bay (East) (JIA 84 Approximation)
BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation)
QN04,QN04 Elmhurst-Corona (CD 4 Approximation)
BX09,BX09 Soundview-Parkchester (CD 9 Approximation)
BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation)
BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation)
MN01,MN01 Financial District-Tribeca (CD 1 Equivalent)
BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)
QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)
BK04,BK04 Bushwick (CD 4 Equivalent)
QN14,QN14 The Rockaways (CD 14 Approximation)
BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)
MN10,MN10 Harlem (CD 10 Equivalent)
QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation)
BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation)
BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation)
BK55,BK55 Prospect Park (JIA 55 Approximation)
BK05,BK05 East New York-Cypress Hills (CD 5 Approximation)
BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent)
BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation)
QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation)
BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)
MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation)
BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation)
BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation)
QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)
QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)
MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent)
BK09,BK09 Crown Heights (South) (CD 9 Approximation)
MN07,MN07 Upper West Side (CD 7 Approximation)
BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)
SI95,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)
BX04,BX04 Highbridge-Concourse (CD 4 Approximation)
BK08,BK08 Crown Heights (North) (CD 8 Approximation)
MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)
BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation)
QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation)
MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
BX28,BX28 Pelham Bay Park (JIA 28 Approximation)
QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)
MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent)
BX02,BX02 Longwood-Hunts Point (CD 2 Approximation)
BK18,BK18 Canarsie-Flatlands (CD 18 Approximation)
SI01,SI01 North Shore (CD 1 Equivalent)
MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)
BK17,BK17 East Flatbush (CD 17 Approximation)
BX27,BX27 Bronx Park (JIA 27 Approximation)
BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation)
QN82,QN82 Forest Park (JIA 82 Approximation)
SI03,SI03 South Shore (CD 3 Approximation)
MN11,MN11 East Harlem (CD 11 Equivalent)
