cdta2020,shape_leng,cdtatype
QN03,35968.095939,0
BK06,77387.9321614,0
MN10,42593.335634,0
BK02,65273.4114415,0
QN04,42650.454708,0
BX12,84041.4079573,0
SI95,80220.1732081,1
QN10,111148.499741,0
BX06,42548.2834795,0
QN82,29485.1238134,1
QN84,228814.614019,1
MN09,34907.0376502,0
BX07,49735.2349781,0
MN05,31820.1697498,0
MN06,45262.2529085,0
BK03,37550.8571338,0
BK17,50541.8829107,0
BK18,214021.86809,0
BX28,111082.660129,1
BK55,24199.6252489,1
BK14,53401.3251357,0
BK12,54264.1715691,0
MN04,65971.1613364,0
BK10,47837.0393709,0
BK16,35823.1512849,0
SI03,179411.042891,0
QN07,149508.516419,0
QN80,41108.6150529,1
BK11,49043.5726727,0
BX27,32846.0117987,1
BX08,50413.976295,0
BK08,38333.7085616,0
SI02,145689.946938,0
BK13,73540.8120092,0
MN12,56995.1864574,0
MN01,96051.9257999,0
BX26,32864.1144401,1
BK56,207817.905267,1
MN11,68406.1653441,0
BX10,257256.371627,0
BK01,65640.6008426,0
QN11,105068.679269,0
BX09,73780.6386483,0
BK04,36980.7478551,0
QN13,142965.745967,0
QN08,75534.757182,0
BX02,51398.6124638,0
SI01,153716.926898,0
MN64,32721.0974793,1
QN09,57049.8048982,0
BX01,32302.4921991,0
QN01,90175.2460853,0
QN12,70948.989939,0
BX05,31529.7181984,0
QN05,79218.3033139,0
MN08,54380.2207421,0
BK09,32244.1763555,0
BX11,52408.7386274,0
BK15,114172.066136,0
QN06,38027.67845,0
BX03,41044.4079633,0
QN83,107007.682358,1
QN02,75241.4919625,0
QN81,61510.7658507,1
BK05,78899.4898107,0
MN07,42122.3132012,0
MN02,36187.5846357,0
MN03,39332.6889374,0
BK07,93904.8876122,0
BX04,35811.3697922,0
QN14,218690.52769,0
