did_not_vote,not_eligible_to_vote,year,turnout,geo_level
51567.0,20546.0,2024,0.103,Assembly District
31159.0,1155.0,2024,0.61,Assembly District
64858.0,15530.0,2024,0.104,Assembly District
35211.0,36611.0,2024,0.101,Assembly District
31786.0,1202.0,2024,0.559,Assembly District
24593.0,982.0,2024,0.55,Assembly District
32035.0,1173.0,2024,0.477,Assembly District
61859.0,348.0,2023,0.16,Assembly District
62182.0,361.0,2023,0.113,Assembly District
55205.0,13102.0,2024,0.068,Assembly District
16224.0,38061.0,2024,0.05,Assembly District
22472.0,1741.0,2024,0.709,Assembly District
52541.0,20990.0,2024,0.104,Assembly District
46994.0,13647.0,2024,0.041,Assembly District
63533.0,13660.0,2024,0.09,Assembly District
49598.0,12921.0,2024,0.032,Assembly District
28286.0,1322.0,2024,0.549,Assembly District
37799.0,18038.0,2024,0.049,Assembly District
29154.0,1269.0,2024,0.54,Assembly District
1989.0,68425.0,2024,0.056,Assembly District
28242.0,894.0,2024,0.542,Assembly District
62811.0,14316.0,2024,0.073,Assembly District
48460.0,22243.0,2024,0.083,Assembly District
35339.0,25508.0,2024,0.041,Assembly District
40635.0,11736.0,2024,0.036,Assembly District
44911.0,14317.0,2024,0.052,Assembly District
33852.0,1596.0,2024,0.605,Assembly District
33843.0,1306.0,2024,0.515,Assembly District
32736.0,1310.0,2024,0.509,Assembly District
31148.0,25314.0,2024,0.06,Assembly District
49185.0,19732.0,2024,0.061,Assembly District
49888.0,18306.0,2024,0.08,Assembly District
58456.0,15137.0,2024,0.054,Assembly District
65046.0,13598.0,2024,0.069,Assembly District
30923.0,1045.0,2024,0.568,Assembly District
5525.0,66450.0,2024,0.121,Assembly District
36676.0,2042.0,2024,0.535,Assembly District
40915.0,27713.0,2024,0.057,Assembly District
27585.0,1146.0,2024,0.629,Assembly District
44024.0,16887.0,2024,0.06,Assembly District
18709.0,1862.0,2024,0.761,Assembly District
2359.0,60521.0,2024,0.046,Assembly District
43240.0,23388.0,2024,0.158,Assembly District
28035.0,1155.0,2024,0.491,Assembly District
25339.0,1412.0,2024,0.648,Assembly District
50775.0,12465.0,2024,0.056,Assembly District
50964.0,13411.0,2024,0.029,Assembly District
45875.0,24004.0,2024,0.103,Assembly District
26026.0,1060.0,2024,0.599,Assembly District
51962.0,18516.0,2024,0.061,Assembly District
