not_eligible_to_vote,geo_unit
13707.0,35
12671.0,60
15329.0,39
18404.0,85
17359.0,71
1183.0,33
21475.0,28
11734.0,86
1586.0,36
26502.0,74
1136.0,62
14867.0,50
15393.0,77
17398.0,72
1259.0,41
17478.0,70
30407.0,44
77244.0,73
55907.0,47
1049.0,59
1288.0,86
57587.0,86
1248.0,32
25193.0,64
93418.0,62
1175.0,61
24942.0,49
19831.0,25
16586.0,56
18557.0,45
14118.0,81
26163.0,82
1131.0,63
1269.0,87
13907.0,58
1336.0,83
1389.0,68
11606.0,58
1400.0,67
38617.0,46
17356.0,49
1321.0,84
1714.0,50
52528.0,83
17471.0,75
63414.0,79
14188.0,69
1095.0,23
72923.0,75
11904.0,55
