did_not_vote,voted,election_date
842.0,39.0,2024-06-25T00:00:00.000
793.0,25.0,2024-06-25T00:00:00.000
57683.0,2957.0,2024-04-02T00:00:00.000
26644.0,32627.0,2024-11-05T00:00:00.000
45839.0,3588.0,2024-06-25T00:00:00.000
59597.0,5162.0,2024-04-02T00:00:00.000
32901.0,1674.0,2024-04-02T00:00:00.000
33535.0,50782.0,2024-11-05T00:00:00.000
4154.0,337.0,2024-06-25T00:00:00.000
22541.0,2197.0,2024-06-25T00:00:00.000
,,2024-06-25T00:00:00.000
25466.0,59725.0,2024-11-05T00:00:00.000
25781.0,23275.0,2024-11-05T00:00:00.000
49774.0,1761.0,2024-04-02T00:00:00.000
41938.0,2538.0,2024-04-02T00:00:00.000
52526.0,3964.0,2024-04-02T00:00:00.000
35896.0,4026.0,2024-06-25T00:00:00.000
57617.0,3992.0,2024-04-02T00:00:00.000
45680.0,3865.0,2024-04-02T00:00:00.000
,,2024-06-25T00:00:00.000
35044.0,6961.0,2024-06-25T00:00:00.000
41904.0,1820.0,2024-04-02T00:00:00.000
61115.0,5170.0,2024-06-25T00:00:00.000
56812.0,12275.0,2024-06-25T00:00:00.000
50063.0,6120.0,2024-04-02T00:00:00.000
53369.0,8018.0,2024-04-02T00:00:00.000
30969.0,2927.0,2024-06-25T00:00:00.000
,,2024-06-25T00:00:00.000
54544.0,4158.0,2024-06-25T00:00:00.000
33847.0,40959.0,2024-11-05T00:00:00.000
22772.0,33298.0,2024-11-05T00:00:00.000
33669.0,45050.0,2024-11-05T00:00:00.000
26101.0,31847.0,2024-11-05T00:00:00.000
22660.0,61296.0,2024-11-05T00:00:00.000
35460.0,29497.0,2024-11-05T00:00:00.000
51921.0,3303.0,2024-04-02T00:00:00.000
29874.0,45084.0,2024-11-05T00:00:00.000
,,2024-11-05T00:00:00.000
59525.0,7208.0,2024-04-02T00:00:00.000
61786.0,4357.0,2024-04-02T00:00:00.000
40560.0,2706.0,2024-04-02T00:00:00.000
54423.0,3568.0,2024-04-02T00:00:00.000
22538.0,70288.0,2024-11-05T00:00:00.000
,,2024-06-25T00:00:00.000
20341.0,62948.0,2024-11-05T00:00:00.000
49822.0,3706.0,2024-04-02T00:00:00.000
47788.0,6231.0,2024-06-25T00:00:00.000
52185.0,8381.0,2023-11-07T00:00:00.000
57946.0,16889.0,2023-11-07T00:00:00.000
26812.0,29861.0,2024-11-05T00:00:00.000
