wages_and_saleries_dollars_in_millions,dividends_and_interest_dollars_in_millions
10346.3,340.5
18542.3,529.7
4483.1,237.1
1202.6,233.4
13983.3,376.3
165237.9,13953.9
79252.39999999998,10137.5
2511.8,237.8
7220.8,244.6
830.7,918.9
26864.7,698.1
