income_group,wages_and_saleries_dollars_in_millions
3rd Decile,2511.8
7th Decile,13983.3
Total,165237.9
9th Decile,26864.7
5th Decile,7220.8
6th Decile,10346.3
1st Decile,830.7
4th Decile,4483.1
10th Decile,79252.39999999998
2nd Decile,1202.6
8th Decile,18542.3
