income_group,percentage,_,business_income
Total,100.0,100.0,28893.4
7th Decile,8.5,0.8,225.9
2nd Decile,0.7,2.5,731.3
8th Decile,11.2,1.7,493.0
1st Decile,0.5,-16.7,-4832.0
4th Decile,2.7,2.5,722.6
3rd Decile,1.5,3.5,1011.4
6th Decile,6.3,1.3,367.4
9th Decile,16.2,2.6,747.4
10th Decile,48.0,100.1,28920.5
5th Decile,4.4,1.8,506.2
