nta2010,comp2018,comp2016,comp2013,comp2012,comp2014,withdrawn,comp2017
MN0802,-39.0,-24.0,-69.0,-29.0,-118.0,-51.0,-66.0
BX0701,230.0,38.0,46.0,41.0,66.0,266.0,103.0
QN0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0201,59.0,226.0,33.0,35.0,-1.0,162.0,253.0
BX2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK5693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN1102,236.0,48.0,219.0,110.0,351.0,1034.0,298.0
BK5691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0701,5.0,-3.0,46.0,77.0,19.0,24.0,9.0
QN0303,51.0,51.0,94.0,61.0,65.0,67.0,13.0
MN1203,2.0,-2.0,0.0,-2.0,28.0,22.0,-6.0
BX0401,433.0,124.0,217.0,79.0,30.0,40.0,160.0
BK0103,249.0,284.0,127.0,30.0,25.0,205.0,13.0
MN0402,1243.0,1058.0,1503.0,197.0,151.0,189.0,517.0
MN0191,0.0,0.0,0.0,0.0,0.0,2.0,0.0
BX1201,158.0,280.0,229.0,76.0,85.0,76.0,57.0
BX0202,36.0,107.0,100.0,16.0,2.0,26.0,83.0
BX0991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX1103,3.0,14.0,19.0,2.0,12.0,33.0,29.0
BX1101,19.0,-12.0,-2.0,18.0,3.0,45.0,18.0
MN0301,1048.0,0.0,7.0,26.0,-23.0,217.0,92.0
QN0504,8.0,-2.0,0.0,11.0,11.0,-4.0,4.0
BK0701,-2.0,-38.0,-2.0,31.0,186.0,88.0,3.0
MN0701,87.0,873.0,-31.0,96.0,320.0,494.0,327.0
BK1401,181.0,-2.0,4.0,12.0,120.0,261.0,240.0
BK1602,5.0,8.0,106.0,174.0,52.0,184.0,262.0
BK1704,2.0,0.0,1.0,3.0,1.0,24.0,1.0
QN0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0805,9.0,4.0,57.0,13.0,8.0,55.0,23.0
QN0573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0801,-29.0,56.0,-45.0,-44.0,-119.0,-104.0,396.0
BX1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX0491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1202,57.0,61.0,4.0,1.0,26.0,133.0,53.0
BK0902,300.0,832.0,211.0,109.0,45.0,291.0,113.0
BX0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0501,5.0,26.0,40.0,8.0,7.0,40.0,9.0
MN0703,-5.0,2.0,2.0,16.0,0.0,244.0,84.0
BK1701,424.0,-13.0,12.0,5.0,37.0,283.0,189.0
BX0901,3.0,105.0,7.0,10.0,-5.0,37.0,11.0
QN0102,261.0,126.0,89.0,72.0,226.0,850.0,58.0
BK0201,-125.0,178.0,25.0,18.0,-30.0,350.0,62.0
BK0703,41.0,15.0,35.0,33.0,17.0,132.0,19.0
BX0603,126.0,41.0,8.0,22.0,61.0,415.0,75.0
BK0501,19.0,5.0,24.0,4.0,7.0,166.0,72.0
BK1802,6.0,-1.0,-1.0,2.0,-1.0,24.0,-3.0
BK0471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0302,21.0,23.0,23.0,93.0,28.0,45.0,4.0
BK0302,553.0,498.0,119.0,275.0,96.0,849.0,493.0
QN0502,119.0,69.0,5.0,57.0,5.0,207.0,162.0
QN0574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0101,897.0,278.0,200.0,456.0,-32.0,224.0,1195.0
MN0603,595.0,856.0,-19.0,10.0,109.0,79.0,529.0
MN0661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0706,33.0,56.0,23.0,43.0,38.0,40.0,25.0
BK1503,53.0,-12.0,27.0,22.0,14.0,258.0,309.0
BX0802,85.0,2.0,-1.0,157.0,0.0,43.0,107.0
BK0203,312.0,1308.0,353.0,209.0,-11.0,62.0,480.0
BK1893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0104,97.0,13.0,18.0,30.0,33.0,44.0,38.0
BX0502,275.0,7.0,0.0,0.0,75.0,879.0,289.0
BX1104,17.0,-1.0,19.0,2.0,-3.0,108.0,7.0
MN0102,269.0,896.0,238.0,47.0,21.0,310.0,62.0
BX0904,26.0,0.0,15.0,0.0,6.0,88.0,0.0
QN0707,93.0,250.0,193.0,141.0,291.0,1061.0,125.0
BK0204,118.0,105.0,80.0,213.0,109.0,285.0,340.0
MN1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK5692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0703,5.0,0.0,-1.0,1.0,5.0,4.0,2.0
BK1702,23.0,-4.0,1.0,1.0,-1.0,121.0,-18.0
MN0401,926.0,648.0,993.0,101.0,580.0,112.0,1593.0
BK0505,16.0,26.0,123.0,16.0,-6.0,66.0,-1.0
BX0403,-2.0,3.0,50.0,34.0,101.0,142.0,238.0
QN0871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0261,0.0,-6.0,0.0,0.0,0.0,-3.0,-1.0
BX0702,273.0,41.0,6.0,88.0,75.0,332.0,77.0
QN0301,6.0,8.0,58.0,17.0,-3.0,118.0,47.0
QN0761,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
QN0105,1017.0,329.0,235.0,-8.0,165.0,2142.0,671.0
MN6491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0303,49.0,162.0,157.0,61.0,439.0,57.0,84.0
BX1202,32.0,57.0,32.0,23.0,34.0,5.0,20.0
BX1002,16.0,12.0,19.0,9.0,-2.0,44.0,-12.0
MN0901,0.0,418.0,0.0,0.0,1.0,132.0,-52.0
BX1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0203,24.0,34.0,1.0,23.0,27.0,255.0,63.0
MN1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0704,75.0,23.0,24.0,28.0,13.0,198.0,62.0
BX0302,102.0,0.0,143.0,0.0,6.0,0.0,-1.0
QN0201,2426.0,1213.0,2139.0,770.0,945.0,1146.0,2738.0
BX1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0401,1322.0,263.0,208.0,84.0,172.0,707.0,397.0
BX2691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1302,57.0,9.0,188.0,25.0,-2.0,14.0,13.0
QN0503,-2.0,1.0,4.0,0.0,1.0,6.0,5.0
MN1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX0803,11.0,130.0,71.0,14.0,2.0,164.0,11.0
BX0101,785.0,74.0,5.0,60.0,258.0,772.0,138.0
QN0802,72.0,47.0,12.0,53.0,4.0,87.0,19.0
BK0702,132.0,21.0,57.0,23.0,38.0,292.0,81.0
BK1002,9.0,19.0,-2.0,-1.0,8.0,9.0,3.0
BX0301,209.0,319.0,205.0,1.0,261.0,369.0,98.0
BX0601,567.0,52.0,-1.0,0.0,51.0,204.0,-40.0
BX0501,-6.0,-1.0,-5.0,151.0,141.0,316.0,59.0
BK1502,142.0,18.0,43.0,25.0,5.0,62.0,109.0
BK1803,28.0,29.0,5.0,53.0,36.0,26.0,9.0
BX0201,42.0,0.0,9.0,1.0,-3.0,42.0,-5.0
MN1101,80.0,48.0,51.0,387.0,271.0,4.0,214.0
BX0402,260.0,2.0,-1.0,103.0,152.0,245.0,111.0
QN0402,164.0,71.0,47.0,86.0,25.0,153.0,66.0
BK0503,5.0,196.0,1.0,95.0,6.0,277.0,258.0
QN0791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0203,42.0,-30.0,-23.0,-133.0,-17.0,-29.0,-64.0
BK0801,16.0,465.0,48.0,-2.0,112.0,410.0,426.0
MN0604,-64.0,357.0,-186.0,-119.0,88.0,861.0,173.0
MN0902,0.0,0.0,2.0,0.0,12.0,78.0,48.0
BK0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX0602,259.0,86.0,3.0,123.0,83.0,249.0,-9.0
