program_category,code,fy29
EMERGENCY RESPONSE,6E3,0.0
KITCHEN CONVERSION,1C5,0.0
LEASED FACILITY IMPROVEMENTS ALLOCATION,2A3a,101.05
SCHOOL SAFETY,4A1a,15.73
ROOM CONVERSIONS / PARTITIONING,3A2,25.2
PRIOR PLAN COMPLETION COST,6F1,38.3
ADMINISTRATIVE SUPPORT,5A1,78.96
NEW SCHOOLS ALLOCATION,2A1a,177.34
EMERGENCY UNSPECIFIED,6E1,110.28
"INNOVATIVE, DIVERSE, EQUITABLE, ACCESSIBLE SPACES",3A8,20.0
EARLY LEARN,2A10,77.05
LEAD PAINT ABATEMENT,1C12,2.0
TRANSPORTABLES,2A4,0.0
BUILDING CONDITION SURVEYS,6A1,21.9
EMERGENCY LIGHTING AND FIRE SAFETY RETROFITS,4A2,2.15
CIP RESPONSE,1E20,0.0
PRE-KINDERGARTEN INITIATIVE,2A8,0.0
SCIENCE LAB UPGRADES,3A5,9.7
ACCESSIBILITY,3A3,215.0
WRAP-UP INSURANCE,6D1,210.0
CITY COUNCIL,6G1,0.0
KITCHEN AREAS,1E15,13.47
ASBESTOS,1C1,53.0
EMERGENCY STABILIZATION,6E2,30.0
3-K INITIATIVE,2A9,0.0
MAYOR/COUNCIL PROGRAM,6H1,32.1
LIBRARY UPGRADE,3A6,3.0
TECHNOLOGY,3A1,252.0
DOE ADMINISTRATION,6C1,5.0
CAREER-CONNECTED LEARNING INFRASTRUCTURE,3A9,24.59
SITE ACQUISITION,2E1,275.6
SCHOOL IMPROVEMENT AND RESTRUCTURING,3A4,25.0
CODE COMPLIANCE,4A3,82.66
CHARTER/INNOVATIVE SCHOOLS,3A7,0.0
