code,fy26
2A1a,25.64
3A9,4.22
6E2,48.99
1E15,15.62
6D1,180.0
6A1,20.0
3A7,0.0
2A3a,3.7
3A3,98.71
3A6,3.03
3A4,20.0
1C1,50.0
3A2,34.27
2A9,0.0
6C1,5.0
5A1,2.0
6H1,6.64
2A10,11.53
6F1,667.06
3A1,150.4
6E1,120.41
2E1,125.86
6G1,879.41
2A4,0.0
2A8,0.74
4A3,7.68
4A1a,65.08
3A5,7.85
1E20,0.0
1C12,2.0
4A2,2.15
3A8,14.85
6E3,0.0
1C5,0.0
