fy25,fy27
19.35,29.12
0.0,0.0
18.1,20.0
0.0,0.0
39.25,54.75
116.1,213.9
170.5,0.0
6.54,9.32
0.12,5.85
0.97,0.0
0.43,3.87
5.0,5.0
1.19,94.72
0.0,0.0
2.01,52.99
0.0,41.22
4.95,91.3
108.17,218.12
15.81,19.46
8.61,0.77
100.04,110.39
422.48,188.65
0.24,35.95
0.08,78.96
0.0,0.0
33.85,294.7
155.65,350.0
37.41,16.11
10.8,47.28
0.0,0.0
0.0,131.81
11.01,30.0
0.68,48.63
2.0,2.0
