fy27,total
29.12,126.4
0.0,0.0
20.0,100.0
0.0,0.0
54.75,250.0
213.9,900.0
0.0,1049.91
9.32,41.5
5.85,15.0
0.0,0.97
3.87,10.75
5.0,25.0
94.72,247.8
0.0,0.0
52.99,125.0
41.22,330.83
91.3,167.09
218.12,800.0
19.46,75.0
0.77,10.54
110.39,551.4
188.65,1406.04
35.95,75.0
78.96,200.0
0.0,0.0
294.7,900.0
350.0,1252.4
16.11,150.0
47.28,100.0
0.0,0.0
131.81,803.5
30.0,150.0
48.63,188.54
2.0,10.0
