program_category,fy25,fy28
CAREER-CONNECTED LEARNING INFRASTRUCTURE,0.24,10.0
ASBESTOS,39.25,53.0
EMERGENCY RESPONSE,0.0,0.0
MAYOR/COUNCIL PROGRAM,4.95,32.1
NEW SCHOOLS ALLOCATION,0.0,468.71
LIBRARY UPGRADE,0.12,3.0
LEAD PAINT ABATEMENT,2.0,2.0
WRAP-UP INSURANCE,116.1,180.0
SCHOOL SAFETY,37.41,15.67
KITCHEN CONVERSION,0.0,0.0
TECHNOLOGY,155.65,344.35
EMERGENCY STABILIZATION,11.01,30.0
SCIENCE LAB UPGRADES,6.54,8.09
CITY COUNCIL,170.5,0.0
BUILDING CONDITION SURVEYS,18.1,20.0
SITE ACQUISITION,33.85,170.0
PRE-KINDERGARTEN INITIATIVE,8.61,0.42
SCHOOL IMPROVEMENT AND RESTRUCTURING,2.01,25.0
LEASED FACILITY IMPROVEMENTS ALLOCATION,0.0,184.86
CIP RESPONSE,0.0,0.0
KITCHEN AREAS,15.81,10.64
CHARTER/INNOVATIVE SCHOOLS,0.0,0.0
3-K INITIATIVE,0.97,0.0
TRANSPORTABLES,0.0,0.0
CODE COMPLIANCE,1.19,61.55
ADMINISTRATIVE SUPPORT,0.08,40.0
"INNOVATIVE, DIVERSE, EQUITABLE, ACCESSIBLE SPACES",10.8,7.07
PRIOR PLAN COMPLETION COST,422.48,89.55
ROOM CONVERSIONS / PARTITIONING,19.35,18.46
EMERGENCY UNSPECIFIED,100.04,110.28
EMERGENCY LIGHTING AND FIRE SAFETY RETROFITS,0.43,2.15
DOE ADMINISTRATION,5.0,5.0
ACCESSIBILITY,108.17,160.0
EARLY LEARN,0.68,50.65
