average_sale_price,number_of_sales,type_of_home
497661,57,02 TWO FAMILY HOMES                        
369595,78,01 ONE FAMILY HOMES                        
478848,58,02 TWO FAMILY HOMES                        
307553,5,01 ONE FAMILY HOMES                        
519974,32,02 TWO FAMILY HOMES                        
498667,3,02 TWO FAMILY HOMES                        
433617,46,02 TWO FAMILY HOMES                        
1703889,9,01 ONE FAMILY HOMES                        
510309,16,02 TWO FAMILY HOMES                        
346719,30,01 ONE FAMILY HOMES                        
652500,2,03 THREE FAMILY HOMES                      
645978,17,03 THREE FAMILY HOMES                      
469689,40,02 TWO FAMILY HOMES                        
409629,17,02 TWO FAMILY HOMES                        
468074,27,02 TWO FAMILY HOMES                        
426573,24,02 TWO FAMILY HOMES                        
328750,4,01 ONE FAMILY HOMES                        
635000,2,01 ONE FAMILY HOMES                        
444014,5,03 THREE FAMILY HOMES                      
404758,9,02 TWO FAMILY HOMES                        
503797,6,03 THREE FAMILY HOMES                      
517500,5,03 THREE FAMILY HOMES                      
630225,8,02 TWO FAMILY HOMES                        
460663,26,01 ONE FAMILY HOMES                        
439000,8,02 TWO FAMILY HOMES                        
523443,54,02 TWO FAMILY HOMES                        
475174,21,01 ONE FAMILY HOMES                        
730588,14,02 TWO FAMILY HOMES                        
408806,10,02 TWO FAMILY HOMES                        
452500,2,01 ONE FAMILY HOMES                        
447846,13,01 ONE FAMILY HOMES                        
328333,3,01 ONE FAMILY HOMES                        
583949,14,03 THREE FAMILY HOMES                      
650000,1,03 THREE FAMILY HOMES                      
635667,3,03 THREE FAMILY HOMES                      
474073,26,03 THREE FAMILY HOMES                      
653875,8,03 THREE FAMILY HOMES                      
456346,14,01 ONE FAMILY HOMES                        
363935,36,01 ONE FAMILY HOMES                        
469786,11,01 ONE FAMILY HOMES                        
410417,6,01 ONE FAMILY HOMES                        
563452,9,03 THREE FAMILY HOMES                      
521430,7,03 THREE FAMILY HOMES                      
592517,3,03 THREE FAMILY HOMES                      
560000,2,03 THREE FAMILY HOMES                      
418081,10,02 TWO FAMILY HOMES                        
440599,20,02 TWO FAMILY HOMES                        
355623,34,01 ONE FAMILY HOMES                        
527203,27,02 TWO FAMILY HOMES                        
446600,79,02 TWO FAMILY HOMES                        
592900,10,03 THREE FAMILY HOMES                      
451654,11,02 TWO FAMILY HOMES                        
487906,5,03 THREE FAMILY HOMES                      
549382,27,03 THREE FAMILY HOMES                      
496372,8,02 TWO FAMILY HOMES                        
544547,40,02 TWO FAMILY HOMES                        
599506,16,03 THREE FAMILY HOMES                      
767792,2,03 THREE FAMILY HOMES                      
511462,32,02 TWO FAMILY HOMES                        
552113,49,03 THREE FAMILY HOMES                      
320106,7,01 ONE FAMILY HOMES                        
1046277,24,01 ONE FAMILY HOMES                        
380000,1,01 ONE FAMILY HOMES                        
522421,34,03 THREE FAMILY HOMES                      
369650,45,01 ONE FAMILY HOMES                        
577221,15,03 THREE FAMILY HOMES                      
423079,12,01 ONE FAMILY HOMES                        
385480,15,01 ONE FAMILY HOMES                        
379667,3,01 ONE FAMILY HOMES                        
504478,56,03 THREE FAMILY HOMES                      
545212,11,03 THREE FAMILY HOMES                      
450000,6,02 TWO FAMILY HOMES                        
408864,35,01 ONE FAMILY HOMES                        
359131,14,01 ONE FAMILY HOMES                        
374588,5,01 ONE FAMILY HOMES                        
397333,3,01 ONE FAMILY HOMES                        
457584,29,02 TWO FAMILY HOMES                        
587202,13,03 THREE FAMILY HOMES                      
511616,84,02 TWO FAMILY HOMES                        
519500,10,01 ONE FAMILY HOMES                        
306229,1,01 ONE FAMILY HOMES                        
594202,51,03 THREE FAMILY HOMES                      
591118,28,03 THREE FAMILY HOMES                      
618305,21,03 THREE FAMILY HOMES                      
323458,16,01 ONE FAMILY HOMES                        
513333,3,03 THREE FAMILY HOMES                      
410943,64,01 ONE FAMILY HOMES                        
484751,48,02 TWO FAMILY HOMES                        
502787,9,02 TWO FAMILY HOMES                        
451676,53,02 TWO FAMILY HOMES                        
428200,16,01 ONE FAMILY HOMES                        
397313,16,02 TWO FAMILY HOMES                        
430885,41,01 ONE FAMILY HOMES                        
465000,11,02 TWO FAMILY HOMES                        
558526,17,03 THREE FAMILY HOMES                      
501667,3,03 THREE FAMILY HOMES                      
