median_sale_price,lowest_sale_price,highest_sale_price
455390,250000,589600
348650,150000,625000
499945,275000,865512
615000,433992,745000
511500,167496,693428
427500,344000,625000
360000,228151,530000
450000,234000,650000
653500,600000,705000
368456,200000,540000
477000,300000,599000
417500,230000,675000
1750000,860000,2400000
650000,650000,650000
635000,420000,850000
548025,150000,710000
380000,380000,380000
319000,190000,499000
500000,245000,625000
495000,315000,695000
405000,285000,618000
540000,175000,725000
529000,180000,633000
567500,340000,677000
306229,306229,306229
602550,450000,725000
458800,262000,525000
381600,250000,585000
510000,270000,940000
440000,150000,680000
417000,345000,430000
510000,156667,725000
767792,726000,809583
465000,190000,900000
561350,325000,715000
423500,184805,550000
430000,325000,675000
432500,185000,665000
625400,541660,775000
570000,275000,750000
395000,250000,422940
523566,177450,690000
375000,265000,499000
547500,200000,845000
475000,220000,650000
437165,360000,675000
582500,200000,740000
570000,356718,707683
382000,222000,575000
611250,325000,875000
440000,225000,665000
385000,277000,453000
370000,185000,752000
422348,153000,550000
580000,385000,711000
570000,153000,1550000
330000,225000,430000
430000,300000,540000
446801,230000,525000
450000,170000,995000
610000,256000,630000
600000,154000,730000
283000,250000,370000
537500,300000,625000
350000,270000,365000
402500,187000,742206
485250,200000,760000
575000,440000,773870
534581,267500,615000
628400,430000,875000
527500,230000,660000
472375,400530,628300
466667,375180,707684
390000,193750,870000
527200,250000,875000
595032,325000,804417
452500,305000,600000
406250,335000,550000
370000,265000,690000
652500,555000,750000
636000,372448,812500
470000,150000,1200000
752500,487250,975000
348224,195000,596000
455000,365000,685000
389014,230000,1088000
450250,210000,605000
520000,424000,710000
560000,525000,595000
494500,150000,713784
457357,182520,525000
692500,159750,3956150
660000,572000,675000
560000,347153,850000
318850,209000,555000
500000,480000,560000
