ft_nt
""
""
""
""
""
""
""
""
""
""
""
""
1) Bonds Issued to EFC 2) Includes the benefit from the EFC subsidy and accounts for the cost of annual fees for administration
Bonds issued to EFC
""
""
""
""
""
Bonds issued to EFC. Includes the benefit from the EFC subsidy and accounts for the cost of annual fees for administration
""
""
""
""
Bonds issued to EFC
""
""
""
""
""
""
""
Includes the benefit from the EFC subsidy and accounts for the cost of annual fees for administration
""
""
Bonds issued to EFC. Includes the benefit from the EFC subsidy and accounts for the cost of annual fees for administration
""
""
""
""
""
""
1) Bonds Issued to EFC 2) Includes the benefit from the EFC subsidy and accounts for the cost of annual fees for administration
""
