iss_dt,par_amt,lng_mat
2022-02-10T00:00:00.000,500,2052
2021-07-14T00:00:00.000,450,2051
2022-02-10T00:00:00.000,500,2052
2021-03-18T00:00:00.000,553,2051
2021-03-31T00:00:00.000,326,2045
2020-09-30T00:00:00.000,650,2050
2021-09-23T00:00:00.000,630,2045
2022-11-22T00:00:00.000,750,2052
2024-10-02T00:00:00.000,887,2054
2020-12-15T00:00:00.000,534,2050
2022-12-15T00:00:00.000,200,2044
2022-12-06T00:00:00.000,233,2052
2019-10-08T00:00:00.000,442,2049
2024-02-15T00:00:00.000,43,2053
2025-03-06T00:00:00.000,950,2055
2022-11-22T00:00:00.000,750,2052
2019-07-17T00:00:00.000,450,2049
2020-02-13T00:00:00.000,528,2050
2023-10-05T00:00:00.000,693,2053
2022-12-06T00:00:00.000,233,2052
2021-07-14T00:00:00.000,450,2051
2021-03-18T00:00:00.000,575,2038
2022-03-17T00:00:00.000,779,2045
2020-12-15T00:00:00.000,534,2050
2024-04-02T00:00:00.000,717,2053
2019-07-02T00:00:00.000,460,2040
2020-09-30T00:00:00.000,650,2050
2025-04-10T00:00:00.000,560,2046
2021-09-23T00:00:00.000,630,2045
2022-12-15T00:00:00.000,200,2044
2019-12-12T00:00:00.000,638,2049
2023-10-05T00:00:00.000,693,2053
2024-03-19T00:00:00.000,1364,2054
2022-02-10T00:00:00.000,100,2033
2023-03-21T00:00:00.000,1293,2047
2022-12-13T00:00:00.000,107,2052
2023-02-16T00:00:00.000,200,2053
2022-04-21T00:00:00.000,744,2051
2022-12-13T00:00:00.000,107,2052
2024-04-23T00:00:00.000,789,2054
2020-03-18T00:00:00.000,399,2042
2022-02-10T00:00:00.000,100,2033
2020-04-08T00:00:00.000,334,2049
2024-10-02T00:00:00.000,887,2054
