issr_nm,tic
NYW ISSUANCE,3.31
NYW ISSUANCE,2.94
NYW ISSUANCE,3.31
NYW ISSUANCE,2.78
NYW ISSUANCE,VAR
NYW ISSUANCE,2.8
NYW ISSUANCE,2.81
NYW ISSUANCE,4.67
NYW ISSUANCE,4.40
NYW ISSUANCE,2.85
NYW ISSUANCE,VAR
NYW ISSUANCE,2.71
NYW ISSUANCE,1.35
NYW ISSUANCE,-
NYW ISSUANCE,0.0455
NYW ISSUANCE,4.6
NYW ISSUANCE,3.37
NYW ISSUANCE,2.85
NYW ISSUANCE,4.67
NYW ISSUANCE,2.71
NYW ISSUANCE,2.94
NYW ISSUANCE,1.21
NYW ISSUANCE,3.09
NYW ISSUANCE,2.85
NYW ISSUANCE,0.0235
NYW ISSUANCE,2.94
NYW ISSUANCE,2.8
NYW ISSUANCE,0.0400
NYW ISSUANCE,2.81
NYW ISSUANCE,VAR
NYW ISSUANCE,2.91
NYW ISSUANCE,0.0467
NYW ISSUANCE,0.0383
NYW ISSUANCE,VAR
NYW ISSUANCE,4.06
NYW ISSUANCE,1.31
NYW ISSUANCE,VAR
NYW ISSUANCE,1.85
NYW ISSUANCE,1.31
NYW ISSUANCE,0.0422
NYW ISSUANCE,2.11
NYW ISSUANCE,VAR
NYW ISSUANCE,1.25
NYW ISSUANCE,0.0440
