dbn,school_name,school_pupil_teacher_ratio
02M002,PS 002 MEYER LONDON,11.3
03M145,"PS 145, THE BLOOMINGDALE SCHOOL",11.3
03M149,PS 149 SOJOURNER TRUTH,9.5
01M020,PS 020 ANNA SILVER,11.9
03M241,STEM INSTITUTE OF MANHATTAN,7.8
02M630,ART AND DESIGN HIGH SCHOOL,16.4
02M439,MANHATTAN VILLAGE ACADEMY,15.4
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,14.8
03M076,PS 076 A PHILIP RANDOLPH,14.7
02M011,PS 011 WILLIAM T HARRIS,15.5
02M546,ACADEMY FOR SOFTWARE ENGINEERING,13.0
02M534,HARVEST COLLEGIATE HIGH SCHOOL,12.8
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",14.7
02M605,HUMANITIES PREPARATORY ACADEMY,15.1
04M057,JAMES WELDON JOHNSON,12.0
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,15.4
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,12.5
03M243,MS 243 CENTER SCHOOL,17.1
02M542,MANHATTAN BRIDGES HIGH SCHOOL,16.1
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,17.4
02M042,PS 042 BENJAMIN ALTMAN,13.9
02M343,THE PECK SLIP SCHOOL,12.8
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,8.4
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,17.3
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,9.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,13.0
02M544,INDEPENDENCE HIGH SCHOOL,17.6
03M479,BEACON HIGH SCHOOL,22.2
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,12.1
02M151,YORKVILLE COMMUNITY SCHOOL,12.5
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,11.5
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,18.0
03M054,JHS 054 BOOKER T WASHINGTON,17.2
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,13.4
01M650,CASCADES HIGH SCHOOL,16.1
02M104,JHS 104 SIMON BARUCH,16.5
03M250,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,10.7
04M072,THE LEXINGTON ACADEMY,11.4
02M655,LIFE SCIENCES SECONDARY SCHOOL,12.4
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",12.1
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,19.2
02M111,PS 111 ADOLPH S OCHS,12.3
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,14.1
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,12.9
02M177,YORKVILLE EAST MIDDLE SCHOOL,11.9
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,17.3
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",12.5
02M419,LANDMARK HIGH SCHOOL,13.6
02M003,PS 003 CHARRETTE SCHOOL,15.2
03M075,PS 075 EMILY DICKINSON,7.9
02M281,THE RIVER SCHOOL,12.6
02M586,HARVEY MILK HIGH SCHOOL,8.2
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",11.9
04M038,PS 38 ROBERTO CLEMENTE,11.4
01M142,PS 142 AMALIA CASTRO,10.5
