system,objectid,featuresta
Q007-KAYAK0001,86,Active
B418-KAYAK0007,70,Active
M071-KAYAK0004,65,Active
R016-KAYAK0003,526,Active
X336-KAYAK0009,74,Active
X039-KAYAK0003,80,Active
B116-KAYAK0004,527,Active
M042-KAYAK0002,94,Active
Q226-KAYAK0007,87,Active
B431-KAYAK0008,506,Active
R005-KAYAK0001,495,Active
B057-KAYAK0002,507,Active
X147A-KAYAK0006,927,Active
M042-KAYAK0003,64,Active
Q099-KAYAK0003,496,Active
B073-KAYAK0003,494,Active
B057-KAYAK0001,79,Active
R046-KAYAK0005,83,Active
R079-KAYAK0006,924,Active
R117-KAYAK0007,503,Active
M376-KAYAK0007,509,Active
X002-KAYAK0001,529,Active
Q458-KAYAK0009,81,Active
M300-KAYAK0006,90,Active
Q135-KAYAK0006,77,Active
B166D-KAYAK0005,72,Active
X305-KAYAK0007,505,Active
M010-KAYAK0001,498,Active
X088-KAYAK0004,73,Active
R046-KAYAK0004,504,Active
M071-KAYAK0005,66,Active
Q009-KAYAK0002,925,Active
B406-KAYAK0006,71,Active
Q099-KAYAK0004,76,Active
Q471-KAYAK0010,1324,Active
X118-KAYAK0005,93,Active
X307-KAYAK0008,75,Active
X004-KAYAK0002,92,Active
Q126-KAYAK0005,78,Active
R006-KAYAK0002,84,Active
Q454-KAYAK0008,82,Active
