name,parentid,avlparking
Cedar Grove Beach,R016,
Riverside Park (72nd Street),M071,
Bayswater,Q007,
Riverside Park (79th Street),M071,Street Parking
Soundview Park,X118-ZN06,
Ederle Terrace Flushing Meadows Corona Park,Q099-ZN20,
Alice Austen House/Buono Beach,R117,
Concrete Plant Park,X305,
Salt Marsh Nature Center (Gerritsen Inlet),B057,
Mill Basin Marina,B166D,
Louis J. Valention Park,B418,Parking on Van Dyke St
World's Fair Marina,Q099-ZN01,Parking
South Beach,R046-ZN02,
Idlewild,Q454,
Inwood Hill Park,M042,Street Parking
Canarsie Pier,B116,
Lemon Creek Marina,R079,Parking
Midland Beach,R046-ZN05,
Bayside Marina,Q135,Limited Parking
Hallets Cove,Q226,
Starlight Park,X147A-ZN01,
Sebago Canoe Club (Paerdegat Basin),B406,
Hunts Point Riverside Park,X336,
Pelham Bay Park (Orchard Beach Lagoon),X039-ZN12,Parking
Barretto Point Park,X307,
Pugsley Creek Park,X088,Street Parking
,Q471-ZN02,
Sherman Creek Waterfront,M300,
Brooklyn Bridge Park,B431,
Prospect Park Lullwater,B073-ZN24,
Kazimiroff Blvd at Bronx River Parkway,X002,
Conference House,R006-ZN03,
West Harlem Piers,M376,
Central Park Loeb Boathouse,M010-ZN20,
Clove Lakes Park,R005,
Francis Lewis Park,Q126,
Plumb Beach,B057,
Muscota Marsh Park / Inwood Hill Park,M042,
Shoelace Park,X004,Street Parking
MacNeil Park,Q009,
Fort Totten,Q010A-ZN02,
