objectid,department,zipcode,launchland,gispropnum
66,M-14,10024.0,Floating Launch,M071
74,X-02,10474.0,Floating Pier,X336
1324,Q-02,,,Q471
80,X-15,10464.0,Launch ramp to high tide line,X039
509,M-14,,,M376
526,R-03,,,R016
92,X-14,10467.0,Launch Site,X004
72,B-18,11234.0,Launch,B166D
76,Q-15,11368.0,Fixed Launch,Q099
507,B-18,,,B057
503,R-01,,,R117
87,Q-01,11102.0,,Q226
82,Q-13,11422.0,Land and Launch,Q454
73,X-09,10473.0,Launch Site,X088
498,M-13,,,M010
505,X-02,,,X305
64,M-12,10033.0,Natural Sand Beach,M042
506,B-02,,,B431
65,M-14,10024.0,Floating Launch,M071
504,R-02,,,R046
77,Q-13,11360.0,Fixed Launch,Q135
924,R-03,10309.0,,R079
496,Q-15,,,Q099
79,B-18,11234.0,Both,B057
529,X-06,,,X002
75,X-02,10474.0,Launch Site,X307
495,R-01,,,R005
94,M-12,,,M042
81,Q-11,11359.0,Land and Launch,Q010A
925,Q-07,,,Q009
86,Q-14,11691.0,Launch & Landing,Q007
527,B-15,,,B116
93,X-09,10473.0,Launch Site,X118
70,B-06,11231.0,Both,B418
494,B-19,,,B073
84,R-03,10307.0,,R006
71,B-18,11236.0,Both,B406
78,Q-07,11357.0,Sand beach landing only,Q126
83,R-02,10306.0,,R046
90,M-12,10040.0,,M300
927,X-14,,,X147A
