dbn,iep_recommended_portion_of_2,year,asian,students_with_disabilities,female
02M290,0.125,2017-18,0.108,0.141,0.526
02M089,0.127,2017-18,0.173,0.136,0.49
02M077,0.101,2017-18,0.313,0.095,0.486
02M041,0.144,2017-18,0.078,0.146,0.542
02M114,0.156,2017-18,0.122,0.158,0.549
03M291,0.206,2017-18,0.08,0.224,0.578
04M083,0.139,2017-18,0.123,0.21,0.487
01M361,0.2,2017-18,0.098,0.213,0.463
02M437,0.233,2017-18,0.065,0.246,0.321
02M135,0.189,2017-18,0.064,0.206,0.495
02M605,0.166,2017-18,0.072,0.183,0.549
02M543,0.258,2017-18,0.066,0.272,0.597
03M145,0.151,2017-18,0.023,0.24,0.524
04M007,0.227,2017-18,0.028,0.266,0.487
02M449,0.222,2017-18,0.045,0.238,0.52
07X381,0.193,2017-18,0.01,0.229,0.484
02M438,0.028,2017-18,0.181,0.033,0.422
02M376,0.131,2017-18,0.085,0.14,0.549
02M300,0.205,2017-18,0.051,0.239,0.292
02M545,0.03,2017-18,0.861,0.03,0.614
02M255,0.166,2017-18,0.166,0.166,0.58
03M421,0.266,2017-18,0.005,0.345,0.502
03M185,0.119,2017-18,0.02,0.179,0.433
03M199,0.167,2017-18,0.145,0.184,0.496
03M165,0.149,2017-18,0.048,0.199,0.487
03M479,0.083,2017-18,0.088,0.096,0.629
02M489,0.175,2017-18,0.217,0.199,0.409
02M047,0.297,2017-18,0.018,0.309,0.745
03M084,0.088,2017-18,0.035,0.14,0.553
02M400,0.15,2017-18,0.121,0.188,0.509
02M316,0.151,2017-18,0.026,0.164,1.0
03M862,0.202,2017-18,0.044,0.231,0.468
04M038,0.221,2017-18,0.056,0.3,0.549
03M245,0.175,2017-18,0.08,0.192,0.525
02M280,0.215,2017-18,0.063,0.215,0.564
02M551,0.193,2017-18,0.071,0.217,0.348
02M546,0.235,2017-18,0.076,0.254,0.191
01M184,0.139,2017-18,0.694,0.165,0.499
02M040,0.155,2017-18,0.119,0.159,0.514
03M180,0.163,2017-18,0.024,0.161,0.495
02M399,0.162,2017-18,0.312,0.165,0.538
02M550,0.028,2017-18,0.108,0.035,0.407
02M151,0.163,2017-18,0.068,0.169,0.487
02M422,0.278,2017-18,0.108,0.299,0.369
03M299,0.228,2017-18,0.016,0.246,0.545
02M520,0.207,2017-18,0.052,0.247,0.509
02M411,0.152,2017-18,0.391,0.159,0.585
03M859,0.105,2017-18,0.143,0.102,0.51
02M560,0.169,2017-18,0.046,0.199,0.547
02M407,0.11,2017-18,0.069,0.106,0.467
02M234,0.16,2017-18,0.095,0.154,0.495
02M507,0.207,2017-18,0.083,0.22,0.204
02M425,0.164,2017-18,0.075,0.185,0.562
02M217,0.109,2017-18,0.3,0.115,0.51
02M051,0.181,2017-18,0.179,0.199,0.512
02M408,0.145,2017-18,0.065,0.149,0.749
01M019,0.272,2017-18,0.089,0.339,0.444
02M529,0.15,2017-18,0.062,0.183,0.557
02M198,0.208,2017-18,0.208,0.215,0.477
02M580,0.17,2017-18,0.072,0.182,0.665
02M003,0.183,2017-18,0.086,0.185,0.49
02M167,0.15,2017-18,0.21,0.162,0.473
03M243,0.157,2017-18,0.06,0.14,0.528
02M459,0.021,2017-18,0.175,0.027,0.448
02M519,0.144,2017-18,0.036,0.153,0.797
02M412,0.193,2017-18,0.197,0.195,0.514
02M111,0.157,2017-18,0.167,0.203,0.448
