school_name,english_language_learners,multiple_race_categories,iep_recommended_portion_of_1,hispanic
Earth School,0.059,0.087,0.0,0.392
P.S. 002 Meyer London,0.326,0.004,0.0,0.149
Lafayette Academy,0.159,0.036,0.0,0.348
Emma Lazarus High School,0.801,0.027,0.0,0.331
"Urban Assembly School for Media Studies, The",0.071,0.028,0.0,0.582
The River School,0.184,0.026,0.0,0.129
M.S. 297,0.031,0.026,0.0,0.192
Pace High School,0.024,0.045,0.0,0.507
Lower East Side Preparatory High School,0.702,0.011,0.0,0.296
Art and Design High School,0.007,0.05,0.015,0.565
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.647,0.0,0.004,0.918
Frederick Douglass Academy II Secondary School,0.116,0.011,0.011,0.311
Urban Assembly Maker Academy,0.047,0.065,0.0,0.466
Tompkins Square Middle School,0.021,0.038,0.0,0.386
Stephen T. Mather Building Arts & Craftsmanship Hi,0.066,0.013,0.0,0.66
Business Of Sports School,0.085,0.014,0.0,0.613
P.S. 020 Anna Silver,0.173,0.038,0.0,0.531
P.S. 034 Franklin D. Roosevelt,0.075,0.009,0.0,0.613
P.S. 011 William T. Harris,0.033,0.065,0.0,0.242
Repertory Company High School for Theatre Arts,0.004,0.062,0.0,0.475
City Knoll Middle School,0.085,0.042,0.004,0.508
P.S. 527 - East Side School for Social Action,0.047,0.116,0.0,0.176
P.S. 015 Roberto Clemente,0.042,0.011,0.0,0.579
East Side Community School,0.009,0.032,0.0,0.537
Community Action School - MS 258,0.04,0.004,0.0,0.466
The Peck Slip School,0.025,0.129,0.0,0.118
P.S. 116 Mary Lindley Murray,0.082,0.069,0.0,0.202
P.S. 076 A. Philip Randolph,0.087,0.002,0.0,0.214
P.S. 110 Florence Nightingale,0.037,0.029,0.026,0.443
P.S. 059 Beekman Hill International,0.037,0.093,0.0,0.104
P.S. 212 Midtown West,0.036,0.087,0.0,0.243
"New Explorations into Science, Technology and Math",0.008,0.074,0.0,0.118
I.S. 289,0.018,0.021,0.0,0.113
"East Side Elementary School, PS 267",0.053,0.018,0.0,0.113
Manhattan Comprehensive Night and Day High School,0.526,0.014,0.0,0.4
The High School of Fashion Industries,0.032,0.011,0.036,0.553
P.S. 333 Manhattan School for Children,0.023,0.057,0.0,0.179
Food and Finance High School,0.053,0.034,0.0,0.497
N.Y.C. Museum School,0.013,0.047,0.0,0.338
STEM Institute of Manhattan,0.172,0.015,0.0,0.328
The STAR Academy - P.S.63,0.01,0.039,0.005,0.631
P.S. 126 Jacob August Riis,0.167,0.027,0.0,0.18
Frank Mccourt High School,0.024,0.061,0.0,0.448
M.S. 260 Clinton School Writers & Artists,0.003,0.073,0.0,0.114
Forsyth Satellite Academy,0.079,0.01,0.005,0.596
P.S. 001 Alfred E. Smith,0.201,0.013,0.0,0.258
Ella Baker School,0.009,0.084,0.0,0.322
The 47 American Sign Language & English Lower Scho,0.259,0.086,0.0,0.431
P.S. 124 Yung Wing,0.305,0.019,0.0,0.021
River East Elementary,0.047,0.031,0.01,0.536
Fiorello H. LaGuardia High School of Music & Art a,0.002,0.079,0.0,0.173
P.S. 158 Bayard Taylor,0.048,0.058,0.0,0.076
P.S. 075 Emily Dickinson,0.154,0.039,0.0,0.582
P.S. 006 Lillie D. Blake,0.029,0.017,0.0,0.065
Innovation Diploma Plus,0.021,0.0,0.0,0.601
Neighborhood School,0.036,0.036,0.0,0.349
Yorkville East Middle School,0.017,0.047,0.0,0.253
Edward A. Reynolds West Side High School,0.118,0.008,0.0,0.676
J.H.S. 104 Simon Baruch,0.041,0.052,0.002,0.19
Unity Center for Urban Technologies,0.078,0.043,0.008,0.592
Orchard Collegiate Academy,0.135,0.023,0.006,0.567
The Urban Assembly School for Green Careers,0.129,0.023,0.0,0.614
University Neighborhood Middle School,0.054,0.01,0.005,0.631
"Urban Assembly Academy of Government and Law, The",0.055,0.01,0.003,0.528
Washington Irving Yabc,0.117,0.031,0.0,0.493
New York City Lab Middle School for Collaborative,0.014,0.065,0.0,0.065
