school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach_health
04M012,4,8,Tag Young Scholars,1
03M208,3,9,P.S. 208 Alain L. Locke,0
02M392,2,3,MANHATTAN BUSINESS ACADEMY,12
03M009,3,6,P.S. 009 Sarah Anderson,34
02M546,2,2,Academy for Software Engineering,1
03M149,3,9,P.S. 149 Sojourner Truth,7
02M051,2,3,P.S. 051 Elias Howe,19
02M500,2,2,Unity Center for Urban Technologies,2
02M896,2,1,Lower Manhattan Community Middle School,0
01M019,1,2,P.S. 019 Asher Levy,28
02M276,2,1,Battery Park City School,1
02M006,2,4,P.S. 006 Lillie D. Blake,30
02M531,2,4,Repertory Company High School for Theatre Arts,1
03M417,3,6,Frank Mccourt High School,1
03M165,3,7,P.S. 165 Robert E. Simon,37
03M415,3,9,Wadleigh Secondary School for the Performing & Visual Arts,3
02M432,2,2,Murray Hill Academy,2
02M308,2,1,Lower Manhattan Arts Academy,3
03M163,3,7,P.S. 163 Alfred E. Smith,32
02M580,2,1,Richard R. Green High School of Teaching,4
02M114,2,5,East Side Middle School,1
02M198,2,5,P.S. 198 Isador E. Ida Straus,26
02M294,2,1,Essex Street Academy,8
03M494,3,6,High School of Arts and Technology,2
02M001,2,1,P.S. 001 Alfred E. Smith,26
01M292,1,1,Orchard Collegiate Academy,1
03M258,3,6,Community Action School - MS 258,3
02M281,2,4,The River School,10
01M315,1,2,The East Village Community School,20
01M458,1,1,Forsyth Satellite Academy,1
02M124,2,1,P.S. 124 Yung Wing,35
02M002,2,1,P.S. 002 Meyer London,38
01M696,1,2,Bard High School Early College,2
02M527,2,5,P.S. 527 - East Side School for Social Action,1
01M188,1,2,P.S. 188 The Island School,0
02M135,2,1,The Urban Assembly School for Emergency Management,2
03M245,3,6,M.S. M245 The Computer School,2
01M184,1,1,P.S. 184m Shuang Wen,2
02M298,2,1,Pace High School,3
02M437,2,3,Hudson High School of Learning Technologies,3
02M427,2,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2
02M217,2,5,P.S./I.S. 217 Roosevelt Island,21
03M076,3,9,P.S. 076 A. Philip Randolph,16
02M625,2,3,High School of Graphic Communication Arts,5
02M040,2,2,P.S. 040 Augustus Saint-Gaudens,27
03M256,3,6,M.S. 256 Academic & Athletic Excellence,1
01M110,1,1,P.S. 110 Florence Nightingale,0
03M421,3,7,West Prep Academy,2
04M007,4,8,P.S. 007 Samuel Stern,19
02M411,2,2,Baruch College Campus High School,4
01M064,1,2,P.S. 064 Robert Simon,0
02M630,2,4,Art and Design High School,2
01M839,1,2,Tompkins Square Middle School,0
02M551,2,1,Urban Assembly New York Harbor School,2
02M089,2,1,P.S. 89,22
03M307,3,6,"Urban Assembly School for Media Studies, The",1
02M130,2,1,P.S. 130 Hernando De Soto,37
03M199,3,6,P.S. 199 Jessie Isador Straus,3
02M131,2,1,M.S. 131,1
03M241,3,9,STEM Institute of Manhattan,7
02M116,2,2,P.S. 116 Mary Lindley Murray,31
02M151,2,5,Yorkville Community School,31
02M655,2,5,Life Sciences Secondary School,3
01M020,1,1,P.S. 020 Anna Silver,1
02M489,2,1,High School of Economics and Finance,2
03M191,3,6,P.S. 191 Amsterdam,21
02M282,2,1,Urban Assembly Maker Academy,2
03M404,3,6,Innovation Diploma Plus,2
02M183,2,5,P.S. 183 Robert L. Stevenson,24
02M212,2,3,P.S. 212 Midtown West,3
02M543,2,1,New Design High School,4
01M515,1,1,Lower East Side Preparatory High School,3
01M450,1,2,East Side Community School,16
02M600,2,3,The High School of Fashion Industries,7
03M485,3,6,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,6
02M033,2,3,P.S. 033 Chelsea Prep,27
02M313,2,3,"James Baldwin School, The: A School for Expeditionary Learning",3
03M334,3,6,The Anderson School,2
01M539,1,2,"New Explorations into Science, Technology and Math High School",3
02M104,2,2,J.H.S. 104 Simon Baruch,2
02M400,2,3,High School for Environmental Studies,4
03M054,3,7,J.H.S. 054 Booker T. Washington,8
03M333,3,6,P.S. 333 Manhattan School for Children,28
01M301,1,2,"Technology, Arts, and Sciences Studio",1
03M247,3,6,M.S. M247 Dual Language Middle School,0
01M448,1,1,University Neighborhood High School,2
03M859,3,6,Special Music School,4
02M296,2,3,High School of Hospitality Management,7
03M862,3,7,Mott Hall II,0
02M570,2,3,Satellite Academy High School,14
02M042,2,1,P.S. 042 Benjamin Altman,39
02M519,2,5,Talent Unlimited High School,4
02M397,2,1,Spruce Street School,0
02M111,2,3,P.S. 111 Adolph S. Ochs,0
02M605,2,3,Humanities Preparatory Academy,10
02M177,2,5,Yorkville East Middle School,0
04M038,4,8,P.S. 38 Roberto Clemente,0
02M520,2,1,Murry Bergtraum High School for Business Careers,1
02M290,2,5,P.S. 290 Manhattan New School,1
02M575,2,2,Manhattan Comprehensive Night and Day High School,7
01M364,1,2,Earth School,1
02M126,2,1,P.S. 126 Jacob August Riis,3
02M150,2,1,P.S. 150,6
01M142,1,1,P.S. 142 Amalia Castro,0
02M267,2,4,"East Side Elementary School, PS 267",22
02M534,2,3,Harvest Collegiate High School,15
02M544,2,3,Independence High School,3
03M505,3,7,Edward A. Reynolds West Side High School,7
03M479,3,3,Beacon High School,69
03M087,3,6,P.S. 087 William Sherman,48
03M860,3,9,Frederick Douglass Academy II Secondary School,1
02M533,2,2,Union Square Academy for Health Sciences,1
01M063,1,2,The STAR Academy - P.S.63,1
02M418,2,1,Millennium High School,1
02M047,2,2,47 The American Sign Language and English Secondary School,1
02M289,2,1,I.S. 289,0
03M492,3,6,"High School for Law, Advocacy and Community Justice",3
02M933,2,3,City Knoll Middle School,1
02M340,2,3,Sixth Avenue Elementary School,5
02M545,2,1,High School for Dual Language and Asian Studies,2
01M363,1,2,Neighborhood School,0
02M425,2,1,Leadership and Public Service High School,13
01M509,1,1,Marta Valle High School,4
02M158,2,5,P.S. 158 Bayard Taylor,32
01M015,1,2,P.S. 015 Roberto Clemente,1
02M439,2,3,Manhattan Village Academy,1
03M291,3,6,West End Secondary School,0
02M260,2,2,M.S. 260 Clinton School Writers & Artists,2
02M305,2,1,"Urban Assembly Academy of Government and Law, The",2
02M560,2,3,High School M560 - City As School,34
02M615,2,3,Chelsea Career and Technical Education High School,2
02M449,2,5,Vanguard High School,4
04M050,4,8,P.S. 050 Vito Marcantonio,1
03M452,3,6,P.S. 452,19
02M374,2,2,Gramercy Arts High School,4
03M166,3,6,P.S. 166 The Richard Rodgers School of The Arts and Technology,0
02M414,2,3,N.Y.C. Museum School,2
02M438,2,2,International High School at Union Square,2
02M408,2,3,Professional Performing Arts High School,6
03M299,3,6,The Maxine Greene HS for Imaginative Inquiry,2
02M459,2,5,Manhattan International High School,2
02M255,2,2,M.S. 255 Salk School of Science,0
02M280,2,1,Manhattan Early College School for Advertising,1
03M075,3,6,P.S. 075 Emily Dickinson,43
04M057,4,8,James Weldon Johnson,7
02M542,2,3,Manhattan Bridges High School,4
02M003,2,3,P.S. 003 Charrette School,39
01M137,1,1,P.S. 137 John L. Bernstein,10
01M140,1,1,P.S. 140 Nathan Straus,11
03M402,3,6,The Urban Assembly School for Green Careers,6
03M541,3,6,Manhattan / Hunter Science High School,5
03M242,3,9,P.S. 242 - The Young Diplomats Magnet Academy,0
02M507,2,3,Urban Assembly Gateway School for Technology,2
03M180,3,9,P.S. 180 Hugo Newman,1
01M378,1,1,School for Global Leaders,1
02M376,2,3,NYC iSchool,1
04M037,4,8,River East Elementary,0
02M234,2,1,P.S. 234 Independence School,38
02M416,2,5,Eleanor Roosevelt High School,1
03M145,3,7,"P.S. 145, The Bloomingdale School",1
02M412,2,3,N.Y.C. Lab School for Collaborative Studies,2
02M011,2,3,P.S. 011 William T. Harris,43
02M288,2,3,Food and Finance High School,3
02M565,2,5,Urban Academy Laboratory High School,1
02M077,2,5,P.S. 77 Lower Lab School,13
03M243,3,6,M.S. 243 Center School,0
02M393,2,3,Business Of Sports School,1
02M316,2,1,"Urban Assembly School of Business for Young Women, the",5
02M343,2,1,The Peck Slip School,18
02M312,2,3,New York City Lab Middle School for Collaborative Studies,1
02M303,2,3,"Facing History School, The",9
02M041,2,3,P.S. 041 Greenwich Village,35
03M250,3,6,M.S. 250 West Side Collaborative Middle School,4
02M225,2,5,Ella Baker School,1
02M394,2,1,Emma Lazarus High School,2
02M399,2,2,The High School For Language And Diplomacy,2
03M403,3,6,The Global Learning Collaborative,2
02M419,2,3,Landmark High School,9
02M586,2,2,Harvey Milk High School,1
01M134,1,1,P.S. 134 Henrietta Szold,3
03M185,3,9,P.S. 185 - The Early Childhood Discovery and Design Magnet School,11
02M300,2,3,"Urban Assembly School of Design and Construction, The",1
