the_geom,address
"{'type': 'Point', 'coordinates': [-73.80210191269778, 40.70278235455324]}",153-10 Jamaica Ave
"{'type': 'Point', 'coordinates': [-73.91610161084513, 40.77279783735192]}",29-19 24th Ave
"{'type': 'Point', 'coordinates': [-73.92751532369347, 40.818085390426994]}",500 Grand Concourse
"{'type': 'Point', 'coordinates': [-73.95265608922372, 40.63169106148595]}",2900 Bedford Ave
"{'type': 'Point', 'coordinates': [-73.94795633514853, 40.80949447204243]}",2116 Adam Clayton Powell Blvd
"{'type': 'Point', 'coordinates': [-74.08122207852374, 40.64473456515713]}",105 Hamilton Ave
"{'type': 'Point', 'coordinates': [-73.99389791229842, 40.699337461662616]}",75 Hicks St
"{'type': 'Point', 'coordinates': [-73.89285948173891, 40.875027548892824]}",250 Bedford Park Boulevard West
"{'type': 'Point', 'coordinates': [-74.00295498990909, 40.73017772062637]}",25 Carmine St
