name,y,borough
Bohemian Hall,220839.015392646,QN
Jamaica Performing Arts Center,195381.015455723,QN
Hostos Community College,237336.015535057,BX
Our Lady of Pompeii,205300.015630811,MN
Brooklyn College,169422.015536562,BK
Alhambra Ballroom,234202.015569478,MN
Lehman College,258092.015361562,BX
Plymouth Church,194064.015465066,BK
Curtis High School,174181.01553297,SI
