address,long
250 Bedford Park Boulevard West,-73.8928594817389
2900 Bedford Ave,-73.9526560892237
75 Hicks St,-73.9938979122984
29-19 24th Ave,-73.9161016108451
153-10 Jamaica Ave,-73.8021019126978
500 Grand Concourse,-73.9275153236935
25 Carmine St,-74.0029549899091
105 Hamilton Ave,-74.0812220785237
2116 Adam Clayton Powell Blvd,-73.9479563351485
