manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-01883-0026,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""503 111 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",484617,18960,24.0,2260000,0.35,60.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""419 115 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.6,
1-02108-0073,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""499 158 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",324420,20026,,1480000,0.05,38.0,1920,,17.38,
1-01144-0043,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""126 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",811668,24596,30.0,4030000,0.7,158.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""306 80 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.3,
1-00230-0031,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""31 MERCER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",930000,30000,17.0,6860000,0.4,148.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""25 MERCER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.3,40.720991
1-00732-0016,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""433 34 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3450000,142971,118.0,16200000,2.65,105.0,1961,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""157 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.2,
1-01360-9001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""404 49 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13083899,443522,276.0,34100000,1.4,141.0,1974,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""747 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.0,
1-00551-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",15000000,469263,274.0,37300000,3.9,153.0,1968,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1775 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,40.731921
1-01562-0009,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""413 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",248620,8020,20.0,1270000,0.15,148.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""412 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.4,
1-01963-0034,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""431 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",682382,17034,17.0,2130000,0.15,94.0,1926,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1268 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.1,
1-01413-0027,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""167 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1844139,55883,40.0,6580000,0.35,158.0,1966,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""244 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.6,
1-01397-0004,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""565 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2002350,66745,65.0,7300000,0.35,144.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""900 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.78,40.764974
1-02119-0056,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""527 160 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",217485,15370,25.0,755000,0.2,33.1,1906,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""509 159 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.15,
1-00386-0058,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""223 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",398508,18114,47.0,2090000,0.25,52.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""184 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.28,
1-01367-0026,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""20 SUTTON PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4366264,155938,206.0,12700000,1.5,134.0,1957,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""330 46 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.81,40.757855
1-01494-0069,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1016 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4165000,166600,145.0,25000000,0.65,109.0,1964,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1347 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,40.779311
1-00382-0100,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""162 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8996975,553660,608.0,36200000,1.4,38.1,2005,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1307 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.19,
1-01870-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""782 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1011416,53971,50.0,3300000,0.0,74.0,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""976 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",15.31,
1-01494-0050,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1095 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2514875,81125,111.0,11600000,0.35,148.0,1929,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""228 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.0,40.778531
1-01582-0046,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""510 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3576657,123333,,15400000,0.4,139.0,1959,,28.3,
1-01889-0043,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""293 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",216235,9619,28.0,866000,1.9,98.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""62 125 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.48,40.799383
1-00890-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""7 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",6600000,200000,311.0,39900000,0.1,158.0,1975,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""471 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.5,40.747243
1-01124-0042,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""12 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",5411513,178893,145.0,32600000,0.85,145.0,1931,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""10 STANTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.3,
1-01327-0037,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""220 54 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3565620,115020,142.0,16700000,0.3,149.0,1956,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""939 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.2,
1-01533-0040,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""214 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",363240,10090,20.0,1910000,0.15,180.0,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""348 87 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.1,
1-01537-0022,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1749 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23522129,693459,698.0,58600000,0.35,79.0,1967,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1660 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.71,40.781159
1-01330-0007,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""209 56 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2525900,87100,66.0,11500000,0.05,139.0,1959,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.6,
1-01583-0012,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""525 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",6592453,223473,156.0,30400000,0.55,141.0,1963,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1511 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.4,
1-00532-0020,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""77 BLEECKER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",7550000,196920,116.0,28800000,0.95,192.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1081 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.6,40.726634
1-02180-0082,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""20 MAGAW PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",633108,45222,63.0,2230000,0.4,51.0,1928,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""36 ELLWOOD STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.1,40.850995
1-00404-0013,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""518 11 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",330894,10674,12.0,1460000,0.05,149.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""529 13 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.4,
1-01567-0040,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""414 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",279345,8465,18.0,1270000,0.25,158.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""352 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.4,
1-00517-0006,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""143 SULLIVAN STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",321411,9398,24.0,1940000,0.15,164.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""22 KING STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.2,40.726947
1-00759-0053,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""316 36 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",280000,9455,24.0,1260000,1.4,69.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""242 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.7,
1-02070-0037,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""504 139 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",229550,20868,20.0,1500000,0.2,25.7,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""621 135 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.82,
1-00908-0037,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""236 28 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",524335,14981,16.0,3510000,0.55,168.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""231 14 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",45.5,
1-00545-0007,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""710 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",910000,29351,38.0,1370000,0.8,149.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""22 JONES STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.1,
1-01448-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""345 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4635180,154506,,34700000,0.5,144.0,1931,,42.0,
1-01527-0014,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""229 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",222076,5608,,1430000,0.2,198.0,1925,,39.3,
1-00389-0020,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""204 7 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",270000,10800,20.0,1430000,0.2,108.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""640 14 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.5,
1-01604-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1170 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4285792,153064,146.0,14800000,0.6,134.0,1962,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""110 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.79,40.789156
1-00770-0059,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""234 21 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",982000,32718,25.0,3030000,0.4,144.0,1927,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""274 19 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.1,
1-01250-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""160 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2849684,139009,107.0,10900000,0.8,89.0,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""740 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.85,40.791181
1-02136-0124,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""664 161 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",605220,52950,43.0,1770000,0.55,26.8,1929,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""271 FT WASHINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.43,
1-01378-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""820 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4640000,116000,152.0,15400000,1.0,201.0,1959,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.3,40.766946
1-01409-0009,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""121 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1623468,49196,,11100000,0.6,158.0,1996,,44.1,
1-01167-0061,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""336 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3931141,126811,115.0,17000000,0.25,148.0,1917,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2181 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.2,
1-02073-0028,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""503 141 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",252460,24275,27.0,1050000,0.6,24.35,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""79 ST NICHOLAS PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.08,
1-01512-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""983 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",6722298,203706,212.0,45000000,0.25,158.0,1980,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""345 94 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.7,40.778415
1-00189-0025,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""34 MOORE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",897750,28500,24.0,4480000,0.9,151.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""422 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.7,
1-01244-0019,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""411 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3019424,147289,64.0,9510000,0.05,89.0,1927,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""27 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.9,
1-00771-0073,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""264 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",339000,9700,18.0,1600000,0.8,167.0,1890,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 VANDAM STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.6,
1-01427-0034,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""220 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2902400,90700,87.0,12500000,0.1,153.0,1961,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,
1-01893-0006,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""329 108 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",791645,31590,40.0,3840000,0.25,109.0,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2659 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.1,
1-00738-0051,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""318 15 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",221000,6500,16.0,1100000,1.3,163.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""72 CARMINE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.9,
1-01225-0023,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""109 94 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",870856,44094,30.0,2890000,1.25,86.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""529 85 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.01,
1-01369-0033,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""434 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",354815,12235,26.0,2100000,0.8,139.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""488 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.5,
1-01196-0029,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",6878928,245676,120.0,30500000,0.65,134.0,1923,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""737 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.1,40.782295
1-01183-0042,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""322 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3462876,107376,64.0,16200000,0.8,155.0,1915,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""25 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.3,
1-01923-0035,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 118 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",237876,13830,20.0,1040000,1.1,40.3,1926,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""153 EDGECOMBE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.2,
1-01562-0018,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""431 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",390720,10560,27.0,2370000,0.5,186.0,1960,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.5,
1-01534-0007,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",355810,10465,20.0,1560000,0.05,162.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""223 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.1,
1-01349-0041,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""322 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2792880,93096,98.0,16000000,0.8,144.0,1929,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.6,
1-01145-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""175 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4032830,120383,71.0,17000000,0.25,160.0,1917,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""242 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.2,
1-01243-0028,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""205 95 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1149754,56778,55.0,5520000,3.5,88.0,1961,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""55 92 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.4,
