manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-00611-0065,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""23 GREENWICH AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4660000,142941,318.0,20200000,1.9,156.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""307 44 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,40.734776
1-00401-0057,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""513 5 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",243885,6870,15.0,1230000,0.0,170.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""217 4 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.0,
1-00475-0028,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""66 GRAND STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1776158,46741,41.0,9140000,0.8,191.0,1923,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""40 PRINCE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.5,40.72213
1-00575-0057,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""13 11 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1840000,51113,79.0,10600000,0.65,181.0,1977,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 30 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.7,
1-01227-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""400 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4187898,190359,129.0,16000000,0.45,96.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""525 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.44,
1-00616-0011,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""54 8 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4100000,127072,160.0,14900000,0.45,154.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""40 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.0,40.738613
1-01056-0025,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""415 46 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",309070,9970,20.0,1500000,0.2,148.0,1901,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""709 9 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,
1-02082-0050,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""524 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",153890,13535,20.0,493000,0.0,26.6,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""533 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.87,
1-00529-0005,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""652 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1360000,45240,69.0,9190000,1.5,144.0,1904,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""91 7 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.1,
1-00889-0015,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""139 33 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4793152,149786,146.0,39900000,0.1,154.0,1975,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""106 38 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.5,
