manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_building_classification,postcode,community_council
728000,D4-ELEVATOR,,
1871568,D4-ELEVATOR,,
6284800,D4-ELEVATOR,,
304150,C6-WALK-UP,10002.0,1.0
3565620,D4-ELEVATOR,,
916203,D4-ELEVATOR,,
310310,C6-WALK-UP,,
4635180,D4-ELEVATOR,,
3576657,D4-ELEVATOR,,
398508,D4-ELEVATOR,,
250473,D4-ELEVATOR,,
1529814,D4-ELEVATOR,10040.0,10.0
385402,C6-WALK-UP,,
2514875,D4-ELEVATOR,10028.0,4.0
957000,D4-ELEVATOR,10075.0,4.0
400000,C6-WALK-UP,,
4100000,D4-ELEVATOR,10014.0,3.0
1360000,D0-ELEVATOR,,
2740842,D4-ELEVATOR,,
273600,C6-WALK-UP,10033.0,10.0
930000,D4-ELEVATOR,10013.0,1.0
281760,C6-WALK-UP,,
370214,C6-WALK-UP,,
336700,C6-WALK-UP,,
1472345,D0-ELEVATOR,,
2002350,D4-ELEVATOR,10065.0,4.0
1011416,D4-ELEVATOR,,
143090,C6-WALK-UP,,
3154560,C6-WALK-UP,,
549231,D4-ELEVATOR,,
390720,D4-ELEVATOR,,
363240,C6-WALK-UP,,
237876,C6-WALK-UP,,
1730000,D4-ELEVATOR,10014.0,3.0
2525900,D4-ELEVATOR,,
1823976,D4-ELEVATOR,,
2104342,D4-ELEVATOR,10128.0,4.0
577200,D4-ELEVATOR,,
727624,C6-WALK-UP,,
4165000,D4-ELEVATOR,10028.0,4.0
195331,D4-ELEVATOR,,
243885,C6-WALK-UP,,
8996975,D4-ELEVATOR,,
298368,C6-WALK-UP,,
408430,D4-ELEVATOR,10026.0,9.0
195000,C6-WALK-UP,,
15000000,D4-ELEVATOR,10011.0,1.0
1840000,D4-ELEVATOR,,
3359215,D4-ELEVATOR,,
1197477,D4-ELEVATOR,,
3471189,D4-ELEVATOR,10025.0,7.0
2792880,D4-ELEVATOR,,
5770380,D4-ELEVATOR,10028.0,4.0
7550000,D0-ELEVATOR,10012.0,1.0
2424684,D4-ELEVATOR,10016.0,4.0
2856992,D4-ELEVATOR,,
5947922,D4-ELEVATOR,10065.0,5.0
870856,D4-ELEVATOR,,
2433990,D4-ELEVATOR,,
636196,C6-WALK-UP,,
780570,D4-ELEVATOR,,
870870,D4-ELEVATOR,10033.0,10.0
2485000,D4-ELEVATOR,,
682382,C6-WALK-UP,,
4660000,D4-ELEVATOR,10014.0,3.0
316200,C6-WALK-UP,,
1776158,D0-ELEVATOR,10013.0,1.0
23522129,D4-ELEVATOR,10128.0,5.0
6563749,D4-ELEVATOR,10021.0,4.0
2337660,D4-ELEVATOR,10021.0,4.0
300000,C6-WALK-UP,10014.0,3.0
1844139,D4-ELEVATOR,,
760000,C6-WALK-UP,10014.0,3.0
133875,C6-WALK-UP,,
2476565,D0-ELEVATOR,,
279345,C6-WALK-UP,,
283840,C6-WALK-UP,,
7412751,D0-ELEVATOR,10004.0,1.0
3961122,D4-ELEVATOR,10028.0,5.0
