manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_1_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,nta
20945,3.35,19615.0,1-01232-0029,2510000.0,C5-WALK-UP,CHELSEA,
26110,0.2,16595.0,1-00525-0027,2340000.0,C4-WALK-UP,GREENWICH VILLAGE-WEST,West Village                                                               
9619,1.7,16875.0,1-01920-0020,1440000.0,C4-WALK-UP,HARLEM-CENTRAL,Upper West Side                                                            
56778,0.35,55535.0,1-00775-0017,2790000.0,D1-ELEVATOR,UPPER WEST SIDE (79-96),
693459,0.3,690703.0,1-01514-0039,92900000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),Yorkville                                                                  
196920,3.0,174273.0,1-00878-0004,34400000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),West Village                                                               
18960,0.25,28188.0,1-01876-0060,2990000.0,D1-ELEVATOR,UPPER WEST SIDE (96-116),
208373,0.45,205261.0,1-01417-0028,45000000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
69649,0.5,66403.0,1-00571-0025,9050000.0,D6-ELEVATOR,MURRAY HILL,
271388,0.45,83402.0,1-02149-0084,3500000.0,D1-ELEVATOR,WASHINGTON HEIGHTS UPPER,Washington Heights North                                                   
12695,0.0,12695.0,1-02054-0035,609000.0,C1-WALK-UP,HARLEM-CENTRAL,Hamilton Heights                                                           
31590,0.35,37633.0,1-01877-0031,3720000.0,D7-ELEVATOR,UPPER WEST SIDE (96-116),
42814,0.5,38016.0,1-01437-0032,4180000.0,D9-ELEVATOR,UPPER WEST SIDE (79-96),
53971,0.5,51080.0,1-01870-0056,3790000.0,D7-ELEVATOR,UPPER WEST SIDE (96-116),
26000,0.15,27124.0,1-01469-0043,4930000.0,D9-ELEVATOR,UPPER EAST SIDE (59-79),
11935,0.0,11855.0,1-00883-0046,2450000.0,C4-WALK-UP,GRAMERCY,
13535,0.05,14410.0,1-02082-0039,565000.0,C1-WALK-UP,HARLEM-UPPER,
20868,0.25,18905.0,1-01988-0050,1210000.0,C1-WALK-UP,HARLEM-WEST,
12585,0.05,17920.0,1-02072-0008,506000.0,C1-WALK-UP,HARLEM-UPPER,
114992,0.05,103612.0,1-01054-0056,10500000.0,D3-ELEVATOR,CLINTON,
12235,0.8,13482.0,1-01468-0031,2140000.0,D1-ELEVATOR,UPPER EAST SIDE (59-79),
166600,0.75,165527.0,1-01427-0028,22100000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
189616,0.8,438635.0,1-00934-0015,96300000.0,D6-ELEVATOR,KIPS BAY,Gramercy                                                                   
13830,1.3,11510.0,1-02025-0043,390000.0,C1-WALK-UP,HARLEM-CENTRAL,
17410,0.1,17600.0,1-02202-0031,847000.0,C1-WALK-UP,INWOOD,Marble Hill-Inwood                                                         
66745,0.55,66731.0,1-01437-0029,14400000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
18114,0.15,21600.0,1-00378-0035,2070000.0,D9-ELEVATOR,ALPHABET CITY,
107780,0.3,105282.0,1-01473-0038,20200000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),
51113,1.05,47903.0,1-00877-0060,8090000.0,D3-ELEVATOR,MURRAY HILL,
8000,0.4,8140.0,1-01621-0063,558000.0,C1-WALK-UP,HARLEM-EAST,
174779,0.55,170424.0,1-01418-0045,19900000.0,D7-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
50820,1.45,56310.0,1-00927-0038,8840000.0,D9-ELEVATOR,KIPS BAY,West Village                                                               
89281,0.1,83220.0,1-01490-0122,12500000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),
10465,0.05,10465.0,1-01535-0019,1710000.0,C5-WALK-UP,UPPER EAST SIDE (79-96),
80600,,,1-02215-0470,,,,Washington Heights North                                                   
