manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_full_market_value,comparable_rental_2_year_built,comparable_rental_2_boro_block_lot,bin,community_board,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_1_total_units,bbl,longitude,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income
1-01413-0045,9390000,1911.0,1-01490-0015,,,228.0,UPPER EAST SIDE (59-79),36.0,92,,,47008,2140977
1-01494-0050,12000000,1986.0,1-01531-0035,1046768.0,8.0,144.0,UPPER EAST SIDE (79-96),31.0,98,1014940050.0,-73.960502,80351,2414297
1-01827-0036,891000,1910.0,1-01828-0038,,,69.0,HARLEM-CENTRAL,13.0,31,,,20350,353703
1-00588-0048,4560000,1920.0,1-00417-0018,1010036.0,2.0,207.0,GREENWICH VILLAGE-CENTRAL,39.5,43,1005880048.0,-74.005297,23238,961822
1-01876-0029,867000,1901.0,1-01958-0047,,,142.0,HARLEM-CENTRAL,29.8,20,,,14480,430877
1-00259-0001,4730000,1983.0,1-02119-0036,1003212.0,3.0,75.0,HARLEM-WEST,16.0,130,1002590001.0,-73.984533,120570,2272139
1-01144-0043,3890000,1910.0,1-01244-0020,,,164.0,UPPER WEST SIDE (79-96),33.0,48,,,24544,841525
1-01512-0123,19000000,1963.0,1-01583-0050,1047667.0,8.0,188.0,UPPER EAST SIDE (79-96),33.0,41,1015120123.0,-73.957149,113052,4223193
1-00770-0059,4700000,1920.0,1-00768-0077,,,144.0,CHELSEA,30.0,35,,,21012,632000
1-00892-0020,12200000,1920.0,1-00888-0031,1018952.0,6.0,235.0,MURRAY HILL,37.0,102,1008920020.0,-73.978494,71115,3321360
1-02136-0124,1420000,1917.0,1-02139-0200,,,39.5,WASHINGTON HEIGHTS LOWER,11.43,48,,,44820,512348
1-01725-0055,457000,1920.0,1-01829-0017,,,54.0,HARLEM-CENTRAL,11.7,26,,,21624,317690
1-01489-0037,15100000,1920.0,1-01532-0034,,,66.0,UPPER EAST SIDE (59-79),32.0,190,,,84826,1423318
1-01211-0135,4100000,1920.0,1-01578-0023,,,140.0,UPPER WEST SIDE (59-79),29.0,25,,,33600,980488
1-01567-0040,1340000,1915.0,1-01551-0032,,,151.0,UPPER EAST SIDE (79-96),33.0,20,,,8420,264659
1-00611-0065,22300000,1929.0,1-01337-0006,1010852.0,2.0,154.0,MIDTOWN CBD,32.6,202,1006110065.0,-74.00004,131175,4220205
1-01827-0012,586000,1920.0,1-01829-0017,,,54.0,HARLEM-CENTRAL,11.7,26,,,21624,317690
1-01880-0010,3920000,1925.0,1-01877-0031,,,99.0,UPPER WEST SIDE (96-116),25.1,40,,,37633,855981
1-00404-0013,1590000,1900.0,1-00407-0046,,,150.0,ALPHABET CITY,31.0,20,,,9730,305056
1-00421-0043,712000,1900.0,1-00412-0040,1005605.0,3.0,113.0,LOWER EAST SIDE,25.0,30,1004210043.0,-73.991349,12456,324500
1-00889-0015,23000000,1930.0,1-00893-0082,,,218.0,MURRAY HILL,32.0,223,,,182767,7949233
1-01184-0087,11400000,1928.0,1-01163-0053,,,144.0,UPPER EAST SIDE (79-96),30.7,98,,,80351,2414297
1-01369-0031,1850000,1920.0,1-01456-0005,,,144.0,UPPER EAST SIDE (59-79),31.5,24,,,11520,346514
1-02179-0489,5580000,1936.0,1-02250-0058,1064380.0,12.0,49.7,WASHINGTON HEIGHTS UPPER,13.0,91,1021790489.0,-73.936894,114541,1558978
1-01120-0029,18500000,1917.0,1-01162-0046,1000000.0,64.0,137.0,UPPER EAST SIDE (59-79),33.0,71,1011110001.0,-73.965126,97750,2805654
1-01501-0016,17300000,1925.0,1-01524-0001,1046971.0,8.0,117.0,UPPER EAST SIDE (59-79),25.5,257,1015010016.0,-73.957311,170424,4578460
1-01166-0154,5740000,1930.0,1-01437-0022,,,135.0,UPPER WEST SIDE (79-96),27.0,36,,,41137,1160460
1-00382-0100,21100000,1974.0,1-01616-0001,,,85.0,FLATIRON,16.25,409,,,428340,8221000
1-00401-0057,1170000,1900.0,1-00400-0049,,,180.0,ALPHABET CITY,35.5,14,,,6825,245558
1-02071-0030,543000,,,1061736.0,9.0,50.0,HARLEM-WEST,13.47,20,1020710030.0,-73.950248,17265,237280
1-02180-0169,3180000,1927.0,1-02243-0372,1064435.0,12.0,32.4,WASHINGTON HEIGHTS UPPER,13.0,81,1021800169.0,-73.935274,63935,725890
1-00890-0001,31600000,1972.0,1-00913-0001,1078762.0,6.0,218.0,MURRAY HILL,33.0,223,1008900001.0,-73.981208,182767,7949233
1-00625-0021,2610000,1913.0,1-01325-0036,1078200.0,2.0,157.0,GREENWICH VILLAGE-WEST,34.0,29,1006250021.0,-74.006474,14680,482000
1-01988-0093,903000,1905.0,1-01987-0029,,,71.0,HARLEM-WEST,17.33,24,,,16404,292501
1-00374-0065,997000,1910.0,1-00386-0053,,,113.0,ALPHABET CITY,22.0,30,,,18732,486489
1-01371-0014,77000000,1972.0,1-01314-0021,1040747.0,6.0,149.0,MIDTOWN EAST,31.5,295,1013720073.0,-73.95981,312416,9704630
1-01360-9001,62700000,1972.0,1-01314-0021,,,148.0,MIDTOWN WEST,29.5,276,,,229973,7122780
1-02180-0082,2310000,1935.0,1-02171-0028,1064408.0,12.0,45.3,WASHINGTON HEIGHTS UPPER,14.0,60,1021800082.0,-73.937221,49242,645102
1-01244-0019,13100000,1926.0,1-01200-0015,,,71.0,UPPER WEST SIDE (59-79),20.5,114,,,134183,2402126
1-01225-0023,3780000,1920.0,1-01582-0015,,,75.0,UPPER WEST SIDE (59-79),19.75,37,,,38463,731275
1-02084-0050,335000,1910.0,1-02083-0011,,,40.9,HARLEM-UPPER,11.37,15,,,12040,142961
1-00753-0006,1920000,1913.0,1-01325-0036,,,157.0,GREENWICH VILLAGE-WEST,30.8,29,,,14680,482000
1-01120-0014,7690000,1920.0,1-01585-0036,,,200.0,UPPER EAST SIDE (59-79),27.0,50,,,41898,1669663
1-00616-0011,19600000,1950.0,1-00866-0035,1011066.0,2.0,153.0,GREENWICH VILLAGE-WEST,32.3,137,1006160011.0,-74.003598,97290,3113426
1-01245-0037,3040000,1900.0,1-01198-0017,,,136.0,UPPER WEST SIDE (59-79),25.0,42,,,26910,764073
1-01215-0061,1180000,1920.0,1-00767-0002,,,109.0,UPPER WEST SIDE (79-96),24.0,22,,,19573,491940
1-00589-0014,3640000,1900.0,1-00583-0040,1078013.0,2.0,137.0,GREENWICH VILLAGE-CENTRAL,29.1,20,1005890014.0,-74.002078,10816,308948
1-01889-0043,939000,1900.0,1-01749-0046,1057149.0,7.0,53.0,HARLEM-CENTRAL,22.48,18,1018890043.0,-73.972261,16446,369696
1-01243-0028,4990000,1951.0,1-01206-0010,,,110.0,CHELSEA,20.25,69,,,50029,1270443
1-01537-0022,55100000,1964.0,1-01549-0001,1048914.0,8.0,90.0,UPPER EAST SIDE (79-96),33.9,460,1015370022.0,-73.949361,651162,13485321
1-00532-0020,37900000,1968.0,1-01418-0045,1084761.0,2.0,198.0,GRAMERCY,38.3,190,1005320020.0,-73.996042,145299,5747773
1-01883-0026,1130000,1925.0,1-01867-0046,,,111.0,UPPER WEST SIDE (96-116),25.6,31,,,20340,519796
1-01390-0023,31400000,1980.0,1-01527-0045,1041695.0,8.0,134.0,UPPER EAST SIDE (59-79),31.5,191,1013900023.0,-73.963932,207284,5780380
1-00830-0046,7380000,1967.0,1-00910-0061,,,129.0,GREENWICH VILLAGE-CENTRAL,24.41,95,,,59299,1600000
1-02170-0520,7260000,1949.0,1-02180-0610,1064114.0,12.0,39.4,WASHINGTON HEIGHTS UPPER,11.42,84,1021700520.0,-73.929432,88578,1011475
