manhattan_cooperatives_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,borough,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_est_gross_income,comparable_rental_2_market_value_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_address,manhattan_cooperatives_comparable_properties_year_built,census_tract
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""168 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.4,1,26,1675818.0,188.0,UPPER EAST SIDE (59-79),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""329 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1927,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1095 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.7,1,34,3222573.0,200.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1912,142.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 112 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8.84,1,44,190155.0,22.83,HARLEM-CENTRAL,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2018 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""114 CHRISTOPHER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.6,1,36,961100.0,199.0,GREENWICH VILLAGE-WEST,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""170 THOMPSON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1908,73.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""201 104 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.3,1,12,430877.0,140.0,UPPER WEST SIDE (96-116),C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""440 ST NICHOLAS AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1926,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""604 WATER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.93,1,124,1836495.0,54.0,LOWER EAST SIDE,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1423 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1964,202.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""126 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.4,1,40,713111.0,150.0,UPPER WEST SIDE (59-79),D2-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""328 85 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1915,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1223 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.05,1,61,2436032.0,87.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1125 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1961,140.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""234 21 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.1,1,35,656000.0,140.0,CHELSEA,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""421 24 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1913,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""288 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.1,1,100,2367139.0,191.0,MURRAY HILL,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""15 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1955,80.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""664 161 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",10.84,1,42,452718.0,33.8,WASHINGTON HEIGHTS LOWER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""711 171 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1916,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""38 128 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8.69,1,12,189052.0,22.43,HARLEM-CENTRAL,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1858 ADAM"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""508 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,1,384,1622270.0,134.0,UPPER EAST SIDE (59-79),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""429 64 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,1,17,974577.0,134.0,UPPER WEST SIDE (79-96),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""251 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""414 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.2,1,19,280295.0,159.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""328 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""23 GREENWICH AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.8,1,156,5919537.0,152.0,GREENWICH VILLAGE-WEST,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""140 46 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1961,71.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""241 111 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8.69,1,18,189052.0,22.43,HARLEM-CENTRAL,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1858 ADAM"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
