neighborhoods,cb_office_address,cb_office_phone,cb_chair,cb_website,bbl,postcode
"Brooklyn Heights, Fulton Mall, Boerum Hill, Fort Greene, Brooklyn Navy Yard, Fulton Ferry, and Clinton Hill","350 Jay Street Brooklyn, NY 11201",(718) 596-5410,Lenny H. Singletary III,{'url': 'https://www1.nyc.gov/site/brooklyncb2/index.page'},3001407501.0,11201
"Stuyvesant Town, Tudor City, Turtle Bay, Peter Cooper Village, Murray Hill, Gramercy Park, Kips Bay, Sutton Place","211 East 43rd Street, New York, NY",(212) 319-3750,Sandra McKee,{'url': 'http://cbsix.org/'},1013170007.0,10017
"Manhattan Valley, Upper West Side, and Lincoln Square","250 W. 87th Street, New York, NY",(212) 362-4008,Steven Brown,{'url': 'http://www.nyc.gov/mcb7'},1012347501.0,10024
"Bay Ridge, Dyker Heights, and Fort Hamilton","8119 5th Ave, Brooklyn, NY 11209",(718) 745-6827,Jaynemarie Capetanakis,{'url': 'https://cbbrooklyn.cityofnewyork.us/cb10/'},3059990004.0,11209
"HighBridge, Concourse, Mt. Eden, and Concourse Village","1650 Selwyn Ave. Suite #11A  Bronx, NY 10457",(718) 299-0800,Robert Garmendiz,{'url': 'https://www1.nyc.gov/site/bronxcb4/index.page'},2028240005.0,10457
"Edenwald, Wakefield, Williamsbridge, Woodlawn, Norwood, Fish Bay, Eastchester, Olinville, and Baychester","4101 White Plains Rd Bronx, NY 10466",(718) 944-3300,Beatriz Coronel,{'url': 'https://www1.nyc.gov/site/bronxcb12/index.page'},2048320009.0,10466
"Arrochar, Bloomfield, Bulls Heads, Chelsea, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, High Rock, Lighthouse Hill, Midland Beach, New Dorp, New Springville, Oakwood, Ocean Breeze, Old Town, Richmondtown, South Beach, Todt Hill, and Travis","900 South Ave Staten Island, NY 10314",718-568-3581,Fred R. Guinta,{'url': 'https://www1.nyc.gov/site/statenislandcb2/index.page'},5017250085.0,10314
Sunset Park and Windsor Terrace,"4201 4th Ave, Brooklyn, NY 11232",(718) 854-0003,Julio Peña III,{'url': 'http://www1.nyc.gov/site/brooklyncb7/index.page'},3007240001.0,11232
"Co-op City, City Island, Spencer Estates, Throgs Neck, Country Club, Zerega, Westchester Square, Pelham Bay Park, Eastchester Bay, Schuylerville, Edgewater, Locust Point, and Silver Beach","3165 E Tremont Ave Bronx, NY 10461",(718) 892-1161,Joseph Russo,{'url': 'https://www1.nyc.gov/site/bronxcb10/index.page'},2053510019.0,10461
"Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, and Van Cortlandt Village","5676 Riverdale Ave,  Suite 100 Bronx, NY 10471",(718) 884-3959,Julie Reyes,{'url': 'https://www1.nyc.gov/site/bronxcb8/index.page'},2058630129.0,10471
"Belmont, Bathgate, West Farms, and E Tremont","1932 Arthur Avenue, Rm. 403-A Bronx, NY 10457",(718) 579-6990,Evonne Capers,{'url': 'https://cbbronx.cityofnewyork.us/cb6/'},2029470018.0,10457
"Boro Park, Kensington, Ocean Parkway, and Midwood","5910 13th Ave, Brooklyn, NY 11219",(718) 851-0800,Yidel Perlstein,{'url': 'http://www.brooklyncb12.org/'},3057110040.0,11219
"Ridgewood, Glendale, Middle Village, Maspeth, and Liberty Park","61-23 Myrtle Ave., Middle Village",(718) 366-1834,"Vincent Arcuri, Jr.",{'url': 'https://www1.nyc.gov/site/queenscb5/index.page'},4036380065.0,11385
"Canarsie, Bergen Beach, Mill Basin, Flatlands, Marine Park, Georgetown, and Mill Island","1097 Bergen Ave, Brooklyn, NY 11234",(718) 241-0422,Naomi Hopkins,{'url': 'https://www1.nyc.gov/site/brooklyncb18/index.page'},3083380001.0,11234
"East Flatbush, Remsen Village, Farragut, Rugby, Erasmus and Ditmas Village","4112 Farragut Road Brooklyn, New York 11210",(718) 434-3461,Rodrick F. Daley,{'url': 'https://cbbrooklyn.cityofnewyork.us/cb17/'},3050160035.0,11210
Washington Heights,"530 West 166th Street New York, NY 10032",(212) 568-8500,Eleazar Bueno,{'url': 'https://cbmanhattan.cityofnewyork.us/cb12/'},1021240001.0,10032
"Tribeca, Seaport/Civic Center, Financial District, Battery Park City","1 Centre Street New York, NY",(212)602-6300,Tammy Meltzer,{'url': 'http://www1.nyc.gov/site/manhattancb1/index.page'},1001210001.0,10007
"Flatbush, Midwood, Kensington, and Ocean Parkway","810 East 16th St, Brooklyn, NY 11230",(718) 859-6357,Jo Ann Brown,{'url': 'http://www.cb14brooklyn.com/'},3066990010.0,11230
Midtown,"450 7th Avenue, New York, NY",(212) 465-0907,Vikki Babero,{'url': 'http://www.cb5.org/'},1007840041.0,10123
"Bath Beach, Gravesend, Mapleton, and Bensonhurst","2214 Bath Ave, Brooklyn, NY 11214",(718) 266-8800,Laurie Windsor,{'url': 'http://www.brooklyncb11.org/'},3064480034.0,11214
"Fordham, University Heights, Morris Heights, Bathgate, and Mount Hope","2155 University Avenue,BCC Campus Gould Hall - Room 200",(718) 364-2030,Angel Caballero,{'url': 'http://www.nyc.gov/html/bxcb5/html/home/home.shtml'},2032170060.0,10453
Brownsville and Ocean Hill,"444 Thomas Boyland Street, Rm. 103 Brooklyn, NY 11212",(718) 385-0323,Genese T. Morgan,{'url': 'https://www1.nyc.gov/site/brooklyncb16/index.page'},3034960004.0,11212
"Tompkins Square, East Village, Lower East Side, Chinatown, Two Bridges","59 East 4th Street, New York, NY",(212) 533-5300,Andrea Gordillo,{'url': 'http://www.nyc.gov/manhattancb3'},1004600056.0,10003
"Bayside, Douglaston, Little Neck, Auburndale, East Flushing, Oakland Gardens, and Hollis Hills","46-21 Little Neck Parkway, Little Neck, NY 11362",(718) 225-1054,Michael Budabin,{'url': 'https://www1.nyc.gov/site/queenscb11/index.page'},4082610085.0,11362
"Breezy Point, Belle Harbor, Broad Channel, Neponsit, Arverne, Bayswater, Edgemere, Rockaway Park, Rockaway and Far Rockaway","1931 Mott Avenue, Far Rockaway, NY 11691",(718) 471-7300,Dolores Orr,{'url': 'https://www1.nyc.gov/site/queenscb14/index.page'},4155610029.0,11691
Forest Hills and Rego Park,"104-01 Metropolitan Ave., Forest Hills/Rego Park",(718) 263-9250,Heather Beers-Dimitriadis,{'url': 'https://www1.nyc.gov/site/queenscb6/index.page'},4032400041.0,11375
"Hunts Point, Longwood, and Morrisania","1029 E 163rd St. Bronx, NY 10459",(718) 328-9125,Roberto Crespo,,2027240190.0,10459
"Parkchester, Westchester Square, Unionport, Soundview, Castle Hill, Bruckner, Harding Park, and Clason Point","1967 Turnbull Ave, Rm 7  Bronx, NY 10473",(718) 823-3034,Mohammed Mujumder,{'url': 'http://www.nyc.gov/html/bxcb9/html/home/home.shtml'},2036730001.0,10473
"Sheepshead Bay, Manhattan Beach, Kings Bay, Gerritsen Beach, Kings Highway, East Gravesend, Madison, Homecrest, and Plum Beach","Kingsboro Community College, 2001 Oriental Boulevard, Room C124 Brooklyn, NY 11235",(718) 332-3008,Theresa Scavo,{'url': 'http://www1.nyc.gov/site/brooklyncb15/index.page'},3087600060.0,11235
"Upper East Side, LenoxHill, Yorkville, and Roosevelt Island","505 Park Avenue New York, NY 10022",(212) 758-4340,Alida Camp,{'url': 'http://www.cb8m.com'},1013940001.0,10022
"Jamaica, Hollis, St. Albans, Springfield Gardens, Baisley Park, Rochdale Village, and South Jamaica","90-28 161st Street, Jamaica, NY 11432",(718) 658-3308,Carlene Thorbs,{'url': 'https://www1.nyc.gov/site/queenscb12/index.page'},4097570040.0,11432
"Greenwich Village, West Village, NoHo, SoHo, Lower East Side, Chinatown, Little Italy","3 Washington Square Village, #1A, New York, NY",(212) 979-2272,Susan Kent,{'url': 'https://cbmanhattan.cityofnewyork.us/cb2/'},1005330001.0,10012
"Jackson Heights, East Elmhurst, North Corona, and La Guardia Airport","82-11 37th Ave., Jackson Heights",(718) 458-2707,Frank Taylor,{'url': 'https://queenscb3.cityofnewyork.us/'},4014560041.0,11372
"Bedford-Stuyvesant, Stuyvesant Heights, and Ocean Hill","1360 Fulton Street,  Brooklyn NY11216",(718) 622-6601,Anthony Buissereth,{'url': 'https://www1.nyc.gov/site/brooklyncb3/index.page'},3018620001.0,11216
"Annadale, Arden Heights, Bay Terrace, Charleston, Eltingville, Great Kills, Greenridge, Huguenot, Pleasant Plains, Prince's Bay, Richmondtown, Richmond Valley, Rossville, Tottenville, and Woodrow","1243 Woodrow Road Staten Island, N. Y. 10309",718 356-7900,Frank Morano,{'url': 'http://www.nyc.gov/sicb3'},5061450013.0,10309
"Bedford Park, Fordham,  Jerome Park, Kingsbridge Heights,  Mosholu Parkway,  Norwood,  University Heights","229A E. 204th St. Bronx, NY 10458",(718) 933-5650,Yajaira Arias,{'url': 'https://www1.nyc.gov/site/bronxcb7/index.page'},2033110152.0,10458
"Fresh Meadows, Cunningham Heights, Hilltop Village, Pomonak Houses, Fresh Meadows, Jamaica Estates, Holliswood, Flushing South, Utopia, Kew Gardens Hills, and Briarwood","197-15 Hillside Avenue, Hollis, NY 11423",(718) 264-7895,Martha Taylor,{'url': 'https://www1.nyc.gov/site/queenscb8/index.page'},4105300001.0,11423
"Flushing, Bay Terrace, College Point, Whitestone, Malba, Beechhurst, Queensboro Hill, and Willets Point",30-50 Whitestone Expressway Flushing/Whitestone,(718) 359-2800,"Eugene T. Kelty, Jr.",{'url': 'https://www1.nyc.gov/site/queenscb7/index.page'},4043630100.0,11357
East Harlem,"1664 Park Avenue New York, NY 10035",(212) 831-8929,Nilsa Orama,{'url': 'http://www.cb11m.org'},1016230035.0,10035
"Clinton, Chelsea","424 West 33rd Street New York, NY",(212) 736-4536,Jessica Chait,{'url': 'https://cbmanhattan.cityofnewyork.us/cb4/'},1007290163.0,10001
"Richmond Hill, Woodhaven, Ozone Park, and Kew Gardens","Queens Borough Hall, 120-55 Queens Blvd, Kew Gardens, NY 11424",(718) 286-2686,Kenichi Wilson,{'url': 'https://www1.nyc.gov/site/queenscb9/index.page'},4022740002.0,11415
"Corona, Corona Heights, Elmhurst, and Newtown","46-11 104th Street., Elmhurst",(718) 760-3141,Marialena Giampino,{'url': 'https://www1.nyc.gov/site/queenscb4/index.page'},4019900092.0,11368
"East New York, Cypress Hills, Highland Park, New Lots, City Line, Starrett City, and Ridgewood","127 Pennsylvania Avenue, 2nd Floor
Brooklyn, New York 11207",(718) 819-5487,Alice Lowman,{'url': 'https://www.brooklyncb5.org/'},3042140001.0,11208
"Hamilton Heights, Manhattanville, Morningside Heights, and West Harlem","16-18 Old Broadway New York, NY 10027",(212) 864-6200,Padmore John,{'url': 'https://www.cb9m.org'},1019820067.0,10027
"Crotona Park, Claremont Village, Concourse Village, Woodstock, and Morrisania","1426 Boston Rd Bronx, NY 10456",(718) 378-8054,Rev. Frederick Crawford,{'url': 'https://www1.nyc.gov/site/bronxcb3/index.page'},2029620030.0,10456
"Crown Heights, Prospect Lefferts Gardens, and Wingate","890 Nostrand Avenue, Brooklyn, NY 11225",(718) 778-9279,Fred P. Baptiste,{'url': 'https://cbbrooklyn.cityofnewyork.us/cb9/'},3012820046.0,11225
"Morris Park, Pelham Parkway, Pelham Gardens, Allerton, Bronxdale, Laconia and Van Nest","1741 Colden Ave Bronx, NY 10462",(718) 892-6262,Bernadette Ferrara,{'url': 'https://www1.nyc.gov/site/bronxcb11/index.page'},2041010008.0,10462
"Mott Haven, Port Morris, and Melrose","3024 3rd Ave. Bronx, NY 10455",(718) 585-7117,Clarisa M. Alayeto,{'url': 'https://www1.nyc.gov/site/bronxcb1/index.page'},2023630024.0,10455
"Arlington, Castleton Corners, Clifton, Concord, Elm Park, Fort Wadsworth, Graniteville, Grymes Hill, Livingston, Mariners Harbor, Meiers Corners, New Brighton, Port Ivory, Port Richmond, Randall Manor, Rosebank, St. George, Shore Acres, Silver Lake, Stapleton, Sunnyside, Tompkinsville, West Brighton, Westerleigh","1 Edgewater Plaza Staten Island, NY 10305",718-981-6900,Nicholas Siclari,{'url': 'http://www.nyc.gov/sicb1'},5028200095.0,10305
"Astoria, Old Astoria, Long Island City, Queensbridge, Ditmars, Ravenswood, Steinway, Garden Bay, and Woodside","45-02 Ditmars Blvd., Astoria",(718) 626-1021,Marie Torniali,{'url': 'https://www1.nyc.gov/site/queenscb1/index.page'},4007697501.0,11105
"Flushing Avenue, Williamsburg, Greenpoint, Northside, and Southside","435 Graham Avenue, Brooklyn, NY 11211",(718) 389-0009,Dealice Fuller,{'url': 'https://www1.nyc.gov/site/brooklyncb1/index.page'},3027340027.0,11211
"Crown Heights, Prospect Heights, and Weeksville","1291 St. Marks Avenue, Brooklyn, NY 11213",(718) 467-5574,Irsa Weatherspoon,{'url': 'https://www.brooklyncb8.org/'},3013560059.0,11213
"Queens Village, Glen Oaks, New Hyde Park, Bellerose, Cambria Heights, Laurelton, Rosedale, Floral Park, and Brookville","219-41 Jamaica Avenue, Queens Village, NY 11428",(718) 464-9700,Bryan Block,{'url': 'https://www1.nyc.gov/site/queenscb13/index.page'},4107240045.0,11428
