cb_chair,borough,:@computed_region_yeji_bk3q
Mohammed Mujumder,Bronx,5
Yajaira Arias,Bronx,5
Andrea Gordillo,Manhattan,4
Bryan Block,Queens,3
Cicely Harris,Manhattan,4
Vikki Babero,Manhattan,4
Lenny H. Singletary III,Brooklyn,2
Rodrick F. Daley,Brooklyn,2
Fred R. Guinta,Staten Island,1
Susan Kent,Manhattan,4
Nicholas Siclari,Staten Island,1
Beatriz Coronel,Bronx,5
Kenichi Wilson,Queens,3
Bernadette Ferrara,Bronx,5
Roberto Crespo,Bronx,5
Michael Budabin,Queens,3
Padmore John,Manhattan,4
Julio Peña III,Brooklyn,2
Frank Taylor,Queens,3
Marie Torniali,Queens,3
Evonne Capers,Bronx,5
Joseph Russo,Bronx,5
"Vincent Arcuri, Jr.",Queens,3
Irsa Weatherspoon,Brooklyn,2
Yidel Perlstein,Brooklyn,2
Anatole Ashraf,Queens,3
Alice Lowman,Brooklyn,2
"Eugene T. Kelty, Jr.",Queens,3
Fred P. Baptiste,Brooklyn,2
Clarisa M. Alayeto,Bronx,5
Anthony Buissereth,Brooklyn,2
Theresa Scavo,Brooklyn,2
Martha Taylor,Queens,3
Jaynemarie Capetanakis,Brooklyn,2
Lucy Mujica Diaz,Brooklyn,2
Dolores Orr,Queens,3
Genese T. Morgan,Brooklyn,2
Marialena Giampino,Queens,3
Nilsa Orama,Manhattan,4
Eleazar Bueno,Manhattan,4
Elizabeth Braton,Queens,3
Frank Morano,Staten Island,1
Tammy Meltzer,Manhattan,4
Robert Camacho,Brooklyn,2
Robert Garmendiz,Bronx,5
Heather Beers-Dimitriadis,Queens,3
Jessica Chait,Manhattan,4
Naomi Hopkins,Brooklyn,2
Eric McClure,Brooklyn,2
Sandra McKee,Manhattan,4
Laurie Windsor,Brooklyn,2
Jo Ann Brown,Brooklyn,2
Steven Brown,Manhattan,4
Julie Reyes,Bronx,5
Rev. Frederick Crawford,Bronx,5
Alida Camp,Manhattan,4
Angel Caballero,Bronx,5
Carlene Thorbs,Queens,3
Dealice Fuller,Brooklyn,2
