cb_office_address,:@computed_region_f5dn_yrer,locationpoint,latitude,:@computed_region_efsh_h5xi,longitude
30-50 Whitestone Expressway Flushing/Whitestone,22,"{'type': 'Point', 'coordinates': [-73.835639, 40.770483]}",40.770483,13832,-73.835639
"900 South Ave Staten Island, NY 10314",30,"{'type': 'Point', 'coordinates': [-74.173997, 40.61431]}",40.61431,10700,-74.173997
"219-41 Jamaica Avenue, Queens Village, NY 11428",63,"{'type': 'Point', 'coordinates': [-73.735032, 40.718636]}",40.718636,24338,-73.735032
"1201 Surf Ave, Brookyn, 3rd Floor NY 11224",21,"{'type': 'Point', 'coordinates': [-73.979791, 40.575549]}",40.575549,18184,-73.979791
"3024 3rd Ave. Bronx, NY 10455",49,"{'type': 'Point', 'coordinates': [-73.913373, 40.819717]}",40.819717,10933,-73.913373
"61-23 Myrtle Ave., Middle Village",54,"{'type': 'Point', 'coordinates': [-73.893734, 40.700875]}",40.700875,15310,-73.893734
"3 Washington Square Village, #1A, New York, NY",57,"{'type': 'Point', 'coordinates': [-73.998557, 40.727881]}",40.727881,12075,-73.998557
"104-01 Metropolitan Ave., Forest Hills/Rego Park",40,"{'type': 'Point', 'coordinates': [-73.848564, 40.710102]}",40.710102,14786,-73.848564
"250 W. 87th Street, New York, NY",20,"{'type': 'Point', 'coordinates': [-73.976245, 40.789078]}",40.789078,12421,-73.976245
"424 West 33rd Street New York, NY",12,"{'type': 'Point', 'coordinates': [-73.997704, 40.753099]}",40.753099,11722,-73.997704
"43-22 50th Ave., Woodside",53,"{'type': 'Point', 'coordinates': [-73.922363, 40.737749]}",40.737749,14787,-73.922363
"2214 Bath Ave, Brooklyn, NY 11214",1,"{'type': 'Point', 'coordinates': [-73.996878, 40.598223]}",40.598223,17616,-73.996878
"1243 Woodrow Road Staten Island, N. Y. 10309",15,"{'type': 'Point', 'coordinates': [-74.206175, 40.541857]}",40.541857,10696,-74.206175
"1967 Turnbull Ave, Rm 7  Bronx, NY 10473",58,"{'type': 'Point', 'coordinates': [-73.856686, 40.823018]}",40.823018,11611,-73.856686
"46-21 Little Neck Parkway, Little Neck, NY 11362",26,"{'type': 'Point', 'coordinates': [-73.734266, 40.770354]}",40.770354,14197,-73.734266
"46-11 104th Street., Elmhurst",66,"{'type': 'Point', 'coordinates': [-73.859814, 40.746246]}",40.746246,14510,-73.859814
"90-28 161st Street, Jamaica, NY 11432",41,"{'type': 'Point', 'coordinates': [-73.799274, 40.70519]}",40.70519,24340,-73.799274
"197-15 Hillside Avenue, Hollis, NY 11423",25,"{'type': 'Point', 'coordinates': [-73.765169, 40.718496]}",40.718496,24332,-73.765169
"450 7th Avenue, New York, NY",11,"{'type': 'Point', 'coordinates': [-73.990367, 40.751359]}",40.751359,11722,-73.990367
"115-01 Lefferts Blvd, South Ozone Park, NY 11420",62,"{'type': 'Point', 'coordinates': [-73.81957, 40.676873]}",40.676873,24016,-73.81957
"1426 Boston Rd Bronx, NY 10456",34,"{'type': 'Point', 'coordinates': [-73.897021, 40.833189]}",40.833189,10934,-73.897021
"4201 4th Ave, Brooklyn, NY 11232",9,"{'type': 'Point', 'coordinates': [-74.008166, 40.650316]}",40.650316,13515,-74.008166
"2155 University Avenue,BCC Campus Gould Hall - Room 200",24,"{'type': 'Point', 'coordinates': [-73.909343, 40.857857]}",40.857857,10931,-73.909343
"127 Pennsylvania Avenue, 2nd Floor
Brooklyn, New York 11207",45,"{'type': 'Point', 'coordinates': [-73.871091, 40.67588]}",40.67588,17215,-73.871091
"1650 Selwyn Ave. Suite #11A  Bronx, NY 10457",50,"{'type': 'Point', 'coordinates': [-73.910407, 40.843248]}",40.843248,10935,-73.910407
"1932 Arthur Avenue, Rm. 403-A Bronx, NY 10457",35,"{'type': 'Point', 'coordinates': [-73.893294, 40.845685]}",40.845685,10935,-73.893294
"1 Centre Street New York, NY",56,"{'type': 'Point', 'coordinates': [-74.004181, 40.713001]}",40.713001,11728,-74.004181
"444 Thomas Boyland Street, Rm. 103 Brooklyn, NY 11212",55,"{'type': 'Point', 'coordinates': [-73.913812, 40.670104]}",40.670104,17614,-73.913812
"229A E. 204th St. Bronx, NY 10458",24,"{'type': 'Point', 'coordinates': [-73.885314, 40.874409]}",40.874409,10936,-73.885314
"82-11 37th Ave., Jackson Heights",65,"{'type': 'Point', 'coordinates': [-73.884103, 40.749775]}",40.749775,14783,-73.884103
"1097 Bergen Ave, Brooklyn, NY 11234",5,"{'type': 'Point', 'coordinates': [-73.916196, 40.628813]}",40.628813,13825,-73.916196
"Queens Borough Hall, 120-55 Queens Blvd, Kew Gardens, NY 11424",46,"{'type': 'Point', 'coordinates': [-73.828838, 40.71398]}",40.71398,24333,-73.828838
"435 Graham Avenue, Brooklyn, NY 11211",36,"{'type': 'Point', 'coordinates': [-73.944994, 40.718173]}",40.718173,17613,-73.944994
"4101 White Plains Rd Bronx, NY 10466",29,"{'type': 'Point', 'coordinates': [-73.858862, 40.89074]}",40.89074,11275,-73.858862
"3165 E Tremont Ave Bronx, NY 10461",43,"{'type': 'Point', 'coordinates': [-73.834306, 40.837337]}",40.837337,11270,-73.834306
