dbn,lgbtqgnc_training_other,lgbtqgnc_training_teachers
02M414,0,1
01M364,0,0
02M507,1,2
02M340,0,0
04M012,0,2
02M114,0,1
02M059,0,0
02M150,0,0
02M290,0,0
02M615,0,1
02M130,0,0
03M009,0,0
03M075,0,1
01M140,0,0
04M057,0,2
03M145,0,1
02M570,0,0
02M427,0,0
03M180,0,1
03M403,0,1
02M896,0,0
02M520,2,0
03M299,0,0
03M541,0,0
02M397,0,0
02M006,0,0
03M166,0,0
03M256,0,1
02M297,0,3
02M550,0,2
02M198,0,0
03M485,0,2
03M421,0,0
02M438,1,1
02M489,0,35
01M839,0,0
03M084,0,0
04M096,0,1
02M527,0,0
03M860,0,0
02M308,0,0
02M042,0,0
02M001,0,0
03M163,0,0
02M040,0,0
02M135,1,1
02M296,0,0
02M442,0,1
03M054,0,0
02M437,0,0
02M047,1,0
02M565,0,0
02M267,0,0
01M650,0,0
02M151,0,0
02M533,0,0
02M600,0,1
02M655,0,0
02M305,0,0
02M298,0,0
03M859,0,0
02M400,2,1
03M076,0,1
04M072,1,0
01M315,0,0
01M515,0,0
02M408,0,0
